branch_id,view,required,meaning,kpi_scope,missing_policy,profit_attribution_boundary
run335C_b01_cost_spread_slippage_grid_guard,Tier A separate,true,full-context sample read,signal/trade/risk/execution names preserved,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b01_cost_spread_slippage_grid_guard,Tier B separate,true,partial-context sample read,same KPI names with partial-context label,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b01_cost_spread_slippage_grid_guard,Tier A+B combined,true,combined read or actual routed total,synthetic sum cannot be called actual routed total,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b02_curve_noncalendar_state_holdout,Tier A separate,true,full-context sample read,signal/trade/risk/execution names preserved,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b02_curve_noncalendar_state_holdout,Tier B separate,true,partial-context sample read,same KPI names with partial-context label,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b02_curve_noncalendar_state_holdout,Tier A+B combined,true,combined read or actual routed total,synthetic sum cannot be called actual routed total,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b03_direction_symmetry_no_side_drop,Tier A separate,true,full-context sample read,signal/trade/risk/execution names preserved,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b03_direction_symmetry_no_side_drop,Tier B separate,true,partial-context sample read,same KPI names with partial-context label,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b03_direction_symmetry_no_side_drop,Tier A+B combined,true,combined read or actual routed total,synthetic sum cannot be called actual routed total,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b04_drawdown_underwater_recovery_quality,Tier A separate,true,full-context sample read,signal/trade/risk/execution names preserved,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b04_drawdown_underwater_recovery_quality,Tier B separate,true,partial-context sample read,same KPI names with partial-context label,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b04_drawdown_underwater_recovery_quality,Tier A+B combined,true,combined read or actual routed total,synthetic sum cannot be called actual routed total,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b05_regime_predeclared_macro_state,Tier A separate,true,full-context sample read,signal/trade/risk/execution names preserved,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b05_regime_predeclared_macro_state,Tier B separate,true,partial-context sample read,same KPI names with partial-context label,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b05_regime_predeclared_macro_state,Tier A+B combined,true,combined read or actual routed total,synthetic sum cannot be called actual routed total,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b06_runtime_identity_strict_handoff,Tier A separate,true,full-context sample read,signal/trade/risk/execution names preserved,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b06_runtime_identity_strict_handoff,Tier B separate,true,partial-context sample read,same KPI names with partial-context label,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b06_runtime_identity_strict_handoff,Tier A+B combined,true,combined read or actual routed total,synthetic sum cannot be called actual routed total,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b07_cp322a_exact_blocker_control,Tier A separate,true,full-context sample read,signal/trade/risk/execution names preserved,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b07_cp322a_exact_blocker_control,Tier B separate,true,partial-context sample read,same KPI names with partial-context label,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b07_cp322a_exact_blocker_control,Tier A+B combined,true,combined read or actual routed total,synthetic sum cannot be called actual routed total,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b08_cost_curve_drawdown_interaction_guard,Tier A separate,true,full-context sample read,signal/trade/risk/execution names preserved,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b08_cost_curve_drawdown_interaction_guard,Tier B separate,true,partial-context sample read,same KPI names with partial-context label,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b08_cost_curve_drawdown_interaction_guard,Tier A+B combined,true,combined read or actual routed total,synthetic sum cannot be called actual routed total,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b09_regime_direction_interaction_guard,Tier A separate,true,full-context sample read,signal/trade/risk/execution names preserved,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b09_regime_direction_interaction_guard,Tier B separate,true,partial-context sample read,same KPI names with partial-context label,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b09_regime_direction_interaction_guard,Tier A+B combined,true,combined read or actual routed total,synthetic sum cannot be called actual routed total,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b10_subject_swap_negative_control,Tier A separate,true,full-context sample read,signal/trade/risk/execution names preserved,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b10_subject_swap_negative_control,Tier B separate,true,partial-context sample read,same KPI names with partial-context label,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b10_subject_swap_negative_control,Tier A+B combined,true,combined read or actual routed total,synthetic sum cannot be called actual routed total,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b11_null_adjacent_period_control,Tier A separate,true,full-context sample read,signal/trade/risk/execution names preserved,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b11_null_adjacent_period_control,Tier B separate,true,partial-context sample read,same KPI names with partial-context label,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
run335C_b11_null_adjacent_period_control,Tier A+B combined,true,combined read or actual routed total,synthetic sum cannot be called actual routed total,missing_required_blocked_or_out_of_scope_by_claim,no per-tier profit claim unless routed account path tracks it directly
