queue_id,branch_id,branch_name,materialization_action,required_inputs,minimum_outputs,forbidden_outputs,ready_for_run335D
run335D_materialize_guarded_branch_research_inputs_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,materialize_branch_input_spec_control_payloads_only,"[""run330F_cost_stress_report"", ""run334F_cost_stress_diagnostics"", ""run334G_axis_failure_heatmap"", ""run335A_materialization_contract""]","[""branch_input_manifest"", ""tier_kpi_view_rows"", ""negative_control_payload"", ""forbidden_repair_receipt"", ""data_integrity_receipt""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim""]",true
run335D_materialize_guarded_branch_research_inputs_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,materialize_branch_input_spec_control_payloads_only,"[""run330F_curve_pocket_report"", ""run330F_underwater_stretch_report"", ""run334F_curve_pocket_diagnostics"", ""run334G_axis_failure_heatmap"", ""run335A_materialization_contract""]","[""branch_input_manifest"", ""tier_kpi_view_rows"", ""negative_control_payload"", ""forbidden_repair_receipt"", ""data_integrity_receipt""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim""]",true
run335D_materialize_guarded_branch_research_inputs_v1__direction_symmetry_no_side_drop,run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,materialize_branch_input_spec_control_payloads_only,"[""run330F_long_short_attribution_report"", ""run334F_direction_diagnostics"", ""run334G_axis_failure_heatmap"", ""run335A_materialization_contract""]","[""branch_input_manifest"", ""tier_kpi_view_rows"", ""negative_control_payload"", ""forbidden_repair_receipt"", ""data_integrity_receipt""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim""]",true
run335D_materialize_guarded_branch_research_inputs_v1__drawdown_underwater_recovery_quality,run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,materialize_branch_input_spec_control_payloads_only,"[""run330F_curve_pocket_report"", ""run330F_underwater_stretch_report"", ""run334F_underwater_diagnostics"", ""run334G_axis_failure_heatmap"", ""run335A_materialization_contract""]","[""branch_input_manifest"", ""tier_kpi_view_rows"", ""negative_control_payload"", ""forbidden_repair_receipt"", ""data_integrity_receipt""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim""]",true
run335D_materialize_guarded_branch_research_inputs_v1__regime_predeclared_macro_state,run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,materialize_branch_input_spec_control_payloads_only,"[""run330F_regime_attribution_report"", ""run330F_session_hour_month_regime_slices"", ""run334F_regime_slice_diagnostics"", ""run334G_axis_failure_heatmap"", ""run335A_materialization_contract""]","[""branch_input_manifest"", ""tier_kpi_view_rows"", ""negative_control_payload"", ""forbidden_repair_receipt"", ""data_integrity_receipt""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim""]",true
run335D_materialize_guarded_branch_research_inputs_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,materialize_branch_input_spec_control_payloads_only,"[""run334B_runtime_parity_receipt"", ""run334B_source_authority_gate"", ""run334F_runtime_identity_diagnostics"", ""run334G_runtime_identity_review"", ""run335A_runtime_parity_bridge""]","[""branch_input_manifest"", ""tier_kpi_view_rows"", ""negative_control_payload"", ""forbidden_repair_receipt"", ""data_integrity_receipt""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim""]",true
run335D_materialize_guarded_branch_research_inputs_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,materialize_branch_input_spec_control_payloads_only,"[""run329H_exact_handoff_feasibility_matrix"", ""run329H_route_signal_coverage_audit"", ""run334B_cp322a_identity_audit_manifest"", ""run334H_failure_memory_handoff"", ""run335A_materialization_contract""]","[""branch_input_manifest"", ""tier_kpi_view_rows"", ""negative_control_payload"", ""forbidden_repair_receipt"", ""data_integrity_receipt""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim""]",true
run335D_materialize_guarded_branch_research_inputs_v1__cost_curve_drawdown_interaction_guard,run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,materialize_branch_input_spec_control_payloads_only,"[""run330F_cost_stress_report"", ""run330F_curve_pocket_report"", ""run330F_underwater_stretch_report"", ""run334F_cost_stress_diagnostics"", ""run334F_curve_pocket_diagnostics"", ""run334F_underwater_diagnostics"", ""run334G_axis_failure_heatmap"", ""run335A_materialization_contract""]","[""branch_input_manifest"", ""tier_kpi_view_rows"", ""negative_control_payload"", ""forbidden_repair_receipt"", ""data_integrity_receipt""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim""]",true
run335D_materialize_guarded_branch_research_inputs_v1__regime_direction_interaction_guard,run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,materialize_branch_input_spec_control_payloads_only,"[""run330F_long_short_attribution_report"", ""run330F_regime_attribution_report"", ""run330F_session_hour_month_regime_slices"", ""run334F_direction_diagnostics"", ""run334F_regime_slice_diagnostics"", ""run334G_axis_failure_heatmap"", ""run335A_materialization_contract""]","[""branch_input_manifest"", ""tier_kpi_view_rows"", ""negative_control_payload"", ""forbidden_repair_receipt"", ""data_integrity_receipt""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim""]",true
run335D_materialize_guarded_branch_research_inputs_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,materialize_branch_input_spec_control_payloads_only,"[""run329H_exact_handoff_feasibility_matrix"", ""run329H_route_signal_coverage_audit"", ""run334B_cp322a_identity_audit_manifest"", ""run334B_runtime_parity_receipt"", ""run334B_source_authority_gate"", ""run334F_runtime_identity_diagnostics"", ""run334G_runtime_identity_review"", ""run334H_failure_memory_handoff"", ""run335A_materialization_contract"", ""run335A_runtime_parity_bridge""]","[""branch_input_manifest"", ""tier_kpi_view_rows"", ""negative_control_payload"", ""forbidden_repair_receipt"", ""data_integrity_receipt""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim""]",true
