run_id,gate,status,evidence,effect,claim_boundary
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,scope_completion_gate(범위 완료 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AT/final_decision.json,AT review(검토) 산출물이 완성됨,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,input_parent_gate(부모 입력 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AS/final_decision.json,AS scout(정찰) 완료와 엄격 통과 확인,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,package_gate_audit(패키지 게이트 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AT/package_gate_audit.csv,프록시 패키지 후보 조건을 감사함,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,split_stability_gate(분할 안정성 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AT/split_stability_review.csv,validation/OOS(검증/표본외)를 분리 검토함,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,session_stress_gate(세션 압박 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AT/session_stress_review.csv,세션별 수익 구조를 검토함,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,month_stress_gate(월 압박 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AT/month_stress_review.csv,월/방향 음수 셀을 기록함,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,positive_clue_gate(긍정 단서 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AT/positive_clues.csv,다음 runtime probe(런타임 탐침) 후보를 기록함,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,failure_memory_gate(실패 기억 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AT/failure_memory.csv,런타임 부재와 월/방향 음수 셀을 제약으로 기록함,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,runtime_probe_queue_gate(런타임 탐침 대기열 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AT/run364AU_runtime_probe_package_queue.csv,다음 MT5 package/probe(패키지/탐침) 대기열을 작성함,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,claim_boundary_audit(주장 경계 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AT/claim_boundary_receipt.json,운영 주장 없음,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AT_review_threshold_edge_pf_gap_repair_scout_without_db_v1,required_gate_coverage_audit(필수 게이트 커버리지 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AT/work_packet.json,작업 묶음 필수 게이트를 산출물에 연결함,research_development_proxy_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
