stage_label,stage_id,model_label,model_family,characteristic_lens,selection_use,avoid_use,axes,reference_run,reference_path,validation_net_profit,validation_pf,oos_net_profit,oos_pf,selected_variant,topic_read,stage_registry_rows,stage_runtime_rows,completed_mt5_runtime_rows,external_verification,mt5_link,source_state,source_paths,boundary,reopen_condition
Stage10(10단계),10_alpha_scout__default_split_model_threshold_scan,LogReg threshold scout(로지스틱 회귀 임계값 탐색),sklearn_logistic_regression(사이킷런 로지스틱 회귀),단순 확률 임계값과 Tier A/B(티어 A/B) 라우팅의 기준 표면을 보여준다.,"새 모델의 기대치를 잡는 낮은 복잡도 기준점(reference point, 참고점)으로 쓴다.","운영 기준선(baseline, 기준선)이나 승자(winner, 승자)로 되살리지 않는다.",threshold|session_timing|tier_b_fallback|hold_length,run01Y_logreg_a_base_no_fallback_hold9_session_mid_second_overlap_200_220_v1,stages/10_alpha_scout__default_split_model_threshold_scan/02_runs/run01Y_logreg_a_base_no_fallback_hold9_session_mid_second_overlap_200_220_v1,318.48,3.88,313.14,3.99,,,29,29,29,completed,multiple MT5 routed threshold probes(복수 MT5 라우팅 임계값 탐침),ok(정상),stages/10_alpha_scout__default_split_model_threshold_scan,runtime_probe_only,모델 비교의 단순 기준면이 필요할 때만 재사용한다.
Stage11(11단계),11_alpha_robustness__wfo_label_horizon_sensitivity,LightGBM horizon/WFO scout(라이트GBM 수평선/워크포워드 탐색),lightgbm_gradient_boosting(라이트GBM 그래디언트 부스팅),"라벨 수평선(label horizon, 라벨 수평선)과 WFO(워크포워드 최적화) 민감도를 읽는다.",시계열 분할과 라벨 길이가 모델 판단을 얼마나 흔드는지 보는 압박축으로 쓴다.,단일 좋은 조각을 전체 성능으로 확대하지 않는다.,label_horizon|wfo_split|threshold|session_timing,run02AA_lgbm_fwd18_inverse_rank_context_adx20_routed_v1,stages/11_alpha_robustness__wfo_label_horizon_sensitivity/02_runs/run02AA_lgbm_fwd18_inverse_rank_context_adx20_routed_v1,480.75,446.14,31.62,2.8,,,42,38,29,completed,registered MT5 follow-up probes(등록된 MT5 후속 탐침),ok(정상),stages/11_alpha_robustness__wfo_label_horizon_sensitivity,mt5_runtime_probe_only,새 모델이 라벨 수평선에 민감할 때 비교 압박축으로만 연다.
Stage12(12단계),12_model_family_challenge__extratrees_training_effect,ExtraTrees(엑스트라트리),sklearn_extra_trees(사이킷런 엑스트라트리),"무작위 분할 앙상블(randomized split ensemble, 무작위 분할 앙상블)의 거친 비선형 반응을 읽는다.",깊은 트리 계열이 잡는 비선형 후보축을 빠르게 확인할 때 쓴다.,"확률 안정성(probability stability, 확률 안정성)이 약하면 다음 단계 모델 선택 근거로 쓰지 않는다.",nonlinear_tree_split|feature_group|threshold|trade_density,run03C_et_standalone_mt5_runtime_probe_v1,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03C_et_standalone_mt5_runtime_probe_v1,-13.18,0.98,249.57,1.69,,,59,55,2,completed,registered MT5 runtime probes(등록된 MT5 런타임 탐침),ok(정상),stages/12_model_family_challenge__extratrees_training_effect,runtime_probe_only,XGBoost/CatBoost(엑스지부스트/캣부스트)와 다른 비선형 축이 보일 때만 비교한다.
Stage13(13단계),13_model_family_challenge__mlp_training_effect,MLP(다층 퍼셉트론),sklearn_mlp_classifier(사이킷런 다층 퍼셉트론),"입력 기하(input geometry, 입력 기하), 활성화(activation, 활성화), 방향 충돌(direction collision, 방향 충돌)을 읽는다.","특징 조합(feature interaction, 피처 상호작용)이 선형/트리와 다르게 접히는지 볼 때 쓴다.","수렴(convergence, 수렴)과 런타임 인계가 불안정하면 단독 후보로 쓰지 않는다.",feature_interaction|activation_geometry|direction_asymmetry|convergence,run04N_mlp_feature_group_interaction_profit_probe_v1,stages/13_model_family_challenge__mlp_training_effect/02_runs/run04N_mlp_feature_group_interaction_profit_probe_v1/summary.json,,,172.22,1.21,no_trend_structure,best_oos_feature_group_no_trend_structure(최고 표본외 피처그룹 no_trend_structure),14,14,7,see_notes(노트 확인),MT5 runtime and attribution packet(메타트레이더5 런타임 및 귀속 묶음),ok(정상),stages/13_model_family_challenge__mlp_training_effect/03_reviews/stage13_closeout_packet.md,feature_group_interaction_profit_probe_only_not_edge_not_alpha_quality_not_baseline_not_promotion_not_runtime_authority,비선형 상호작용 자체가 다음 질문일 때만 연다.
Stage14(14단계),14_model_family_challenge__margin_kernel_training_effect,SVM margin/kernel(서포트 벡터 머신 마진/커널),sklearn_svm_family(사이킷런 서포트 벡터 머신 계열),"마진(margin, 마진)과 커널(kernel, 커널)이 신호를 얼마나 얇게 압축하는지 읽는다.","경계면(boundary surface, 경계면)이 얇은지 확인하는 대조군으로 쓴다.",거래 수가 희박하거나 확률 해석이 약하면 선택 후보로 올리지 않는다.,margin_width|kernel_shape|threshold|signal_density,run05A_svm_margin_kernel_characteristic_runtime_probe_v1,stages/14_model_family_challenge__margin_kernel_training_effect/02_runs/run05A_svm_margin_kernel_characteristic_runtime_probe_v1,-497.55,0.62,61.47,1.05,,,1,1,1,completed,single MT5 margin/kernel runtime probe(단일 MT5 마진/커널 런타임 탐침),ok(정상),stages/14_model_family_challenge__margin_kernel_training_effect/03_reviews/stage14_closeout_packet.md,runtime_probe_only,새 후보가 과도하게 넓을 때 마진 압축 대조군으로만 쓴다.
Stage15(15단계),15_model_family_challenge__untried_learning_methods_scout,LDA covariance scout(선형 판별 분석 공분산 탐색),sklearn_lda(사이킷런 선형 판별 분석),"공분산(covariance, 공분산) 축과 shrinkage(축소) 안정성을 읽는다.",저차원 선형 판별이 트리/부스팅과 다른 안정축을 주는지 확인한다.,"계급 공분산(class covariance, 계급 공분산)이 흔들리면 단독 후보로 쓰지 않는다.",covariance|shrinkage|linear_discriminant|stability,run07J_lda_eigen_balanced_shrinkage005_stability_probe_v1,stages/15_model_family_challenge__untried_learning_methods_scout/02_runs/run07J_lda_eigen_balanced_shrinkage005_stability_probe_v1,60.26,1.03,33.61,1.03,,,20,20,20,completed,LDA MT5 runtime and stability probes(선형 판별 분석 MT5 런타임 및 안정성 탐침),ok(정상),stages/15_model_family_challenge__untried_learning_methods_scout/03_reviews/stage15_closeout_packet.md,runtime_probe_only,공분산 안정성 자체가 모델 선택 질문일 때만 재개한다.
Stage16(16단계),16_model_family_challenge__qda_class_covariance_scout,QDA class covariance(이차 판별 분석 계급 공분산),sklearn_qda(사이킷런 이차 판별 분석),"계급별 공분산(class-specific covariance, 계급별 공분산)과 정규화(reg_param, 정규화 계수)의 민감도를 읽는다.",비선형 계급 경계가 OOS(표본외)에서 살아남는지 보는 압박축으로 쓴다.,검증/표본외 부호가 갈리면 성능 주장이 아니라 민감도 단서로만 둔다.,class_covariance|regularization|coverage_threshold|feature_drop,run10I_qda_reg020_drop_mega10_decision_microprobe_v1,stages/16_model_family_challenge__qda_class_covariance_scout/02_runs/run10I_qda_reg020_drop_mega10_decision_microprobe_v1,140.92,1.14,219.31,1.4,,,39,39,39,completed,broad QDA MT5 decision microprobes(넓은 QDA MT5 결정 미세탐침),ok(정상),stages/16_model_family_challenge__qda_class_covariance_scout/03_reviews/stage16_closeout_packet.md,runtime_probe_only,모델 선택에서 공분산 경계가 핵심 가설일 때만 연다.
Stage17(17단계),17_model_family_challenge__xgboost_regularized_boosting_scout,XGBoost/DART(엑스지부스트/다트),xgboost_regularized_boosting(엑스지부스트 정규화 부스팅),정규화 트리와 DART(다트) 드롭아웃 부스팅의 방향/빈도 압박을 읽는다.,CatBoost/EBM(캣부스트/설명가능 부스팅 머신)과 트리 부스팅 모양을 대조한다.,검증 손실과 표본외 양수의 갈림을 성능으로 과장하지 않는다.,regularized_tree|direction_asymmetry|frequency_pressure|dropout_boosting,run11A_xgb_regularized_boosting_characteristic_scout_v1,stages/17_model_family_challenge__xgboost_regularized_boosting_scout/02_runs/run11A_xgb_regularized_boosting_characteristic_scout_v1,-250.95,0.74,222,1.58,v03_depth4_l1_l2_slow,,7,4,4,completed,XGBoost and DART MT5 runtime probes(엑스지부스트 및 다트 MT5 런타임 탐침),ok(정상),stages/17_model_family_challenge__xgboost_regularized_boosting_scout/03_reviews/stage17_closeout_packet.md,runtime_probe_only,드롭아웃 부스팅과 ordered boosting(순서 부스팅)을 비교할 때만 쓴다.
Stage18(18단계),18_model_family_challenge__catboost_ordered_boosting_scout,CatBoost ordered boosting(캣부스트 순서 부스팅),catboost_ordered_boosting(캣부스트 순서 부스팅),"ordered boosting(순서 부스팅)의 확률 모양, 세션, 변동성, 방향 편향을 읽는다.",트리 부스팅 중 regime/session(국면/세션) 분해가 필요할 때 우선 참고한다.,"압축(compression, 압축) 후에도 약하면 반복 미세조정으로 끌지 않는다.",ordered_boosting|volatility_regime|session_timing|direction_bias|calibration,run12A_catboost_ordered_boosting_characteristic_scout_v1,stages/18_model_family_challenge__catboost_ordered_boosting_scout/02_runs/run12A_catboost_ordered_boosting_characteristic_scout_v1,206.56,1.27,203.52,1.49,NA,ordered_boosting_probability_shape,16,16,16,completed,dense CatBoost MT5 sweep and compression probes(촘촘한 캣부스트 MT5 훑기 및 압축 탐침),ok(정상),stages/18_model_family_challenge__catboost_ordered_boosting_scout/03_reviews/stage18_closeout_packet.md,runtime_probe_only,세션/변동성 분해를 트리 부스팅 안에서 다시 볼 때만 연다.
Stage19(19단계),19_model_family_challenge__ebm_explainable_boosting_shape,EBM(설명가능 부스팅 머신),interpret_ebm_main_effects(해석 가능 주효과 부스팅),"주효과(main effect, 주효과), 보유기간, 하위유형, 방향 압축, 피처 마스크 의존성을 읽는다.",왜 모델이 반응하는지 설명 가능한 축이 필요할 때 최우선 참고한다.,가장 좋은 조각도 후속 소진 판정이 있어 승격 후보로 바꾸지 않는다.,main_effect_shape|hold_length|direction_asymmetry|feature_mask|tier_b_subtype,run13AE_ebm_q90_hold4_mixed_subtype_direction_probe_v1,stages/19_model_family_challenge__ebm_explainable_boosting_shape/02_runs/run13AE_ebm_q90_hold4_mixed_subtype_direction_probe_v1,188.31,1.22,80.89,1.16,v01_main_effects_broad_bins,q90_hold4_mixed_subtype_direction_followup,32,28,27,completed,large EBM MT5 axis exhaustion set(큰 EBM MT5 축 소진 묶음),ok(정상),stages/19_model_family_challenge__ebm_explainable_boosting_shape/03_reviews/stage19_closeout_packet.md,runtime_probe_only,다른 모델의 단서를 설명 가능한 주효과로 해부할 때만 연다.
Stage20(20단계),20_model_family_challenge__gam_additive_smooth_shape,GAM(일반화 가산 모델),pygam_logistic_gam(파이GAM 로지스틱 일반화 가산 모델),"부드러운 가산 반응(smooth additive response, 부드러운 가산 반응)을 읽는다.",EBM(설명가능 부스팅 머신)보다 부드러운 단조/곡선 반응 확인에 쓴다.,score table approximation(점수표 근사) 경계를 넘겨 원본 런타임처럼 말하지 않는다.,smooth_additive_shape|close_open_ratio|log_return|volatility,run14B_gam_runtime_handoff_probe_v1,stages/20_model_family_challenge__gam_additive_smooth_shape/02_runs/run14B_gam_runtime_handoff_probe_v1,8.65,1.01,295.69,1.51,v02_core24_smoother,gam_piecewise_score_table_runtime_handoff,2,2,1,completed,actual routed MT5 rerun for validation/OOS(검증/표본외 실제 라우팅 MT5 재실행),ok(정상),docs/workspace/stage20_27_characteristic_synthesis.md,runtime_probe_only,곡선형 반응을 설명 가능한 형태로 비교할 때만 연다.
Stage21(21단계),21_model_family_challenge__elasticnet_logistic_linear_sanity,ElasticNet Logistic(엘라스틱넷 로지스틱),sklearn_elasticnet_logistic(사이킷런 엘라스틱넷 로지스틱),"희소 선형 압력(sparse linear pressure, 희소 선형 압력)과 계수 부호를 읽는다.",복잡한 모델의 축이 단순 선형에도 보이는지 확인하는 sanity check(정상성 점검)로 쓴다.,단독 거래 신호로는 약하다는 MT5 결과를 무시하지 않는다.,sparse_linear|ema_spread|atr|hl_range,run15B_elasticnet_logistic_onnx_runtime_probe_v1,stages/21_model_family_challenge__elasticnet_logistic_linear_sanity/02_runs/run15B_elasticnet_logistic_onnx_runtime_probe_v1,-113.11,0.9,-49.77,0.94,v01_core42_balanced_enet025,elasticnet_logistic_onnx_runtime_handoff,2,2,1,completed,ONNX probability-only MT5 handoff(온닉스 확률 전용 MT5 인계),ok(정상),docs/workspace/stage20_27_characteristic_synthesis.md,runtime_probe_only,선형 대조군이 필요할 때만 쓴다.
Stage22(22단계),22_regime_model__hmm_hidden_state_segmentation,HMM(은닉 마르코프 모델),hmm_hidden_state_segmentation(은닉 마르코프 상태 분할),"라벨 없는 상태 분할(label-free state segmentation, 라벨 없는 상태 분할)을 읽는다.","상태(context state, 문맥 상태)를 먼저 나누고 다른 모델을 얹을 때 쓴다.","검증 붕괴와 사전 계산 상태(precomputed state, 사전 계산 상태) 경계를 무시하지 않는다.",hidden_state|volatility|session_timing|trend_state,run16B_hmm_state_runtime_probe_v1,stages/22_regime_model__hmm_hidden_state_segmentation/02_runs/run16B_hmm_state_runtime_probe_v1,-497.25,0.69,121.96,1.05,v02_core17_4state_diag,hmm_state_policy_runtime_handoff,2,2,1,completed,precomputed HMM state MT5 handoff(사전 계산 HMM 상태 MT5 인계),ok(정상),docs/workspace/stage20_27_characteristic_synthesis.md,runtime_probe_only,상태 필터와 진입 모델을 분리하는 설계일 때만 연다.
Stage23(23단계),23_regime_model__supervised_regime_classifier_filter,Supervised regime classifier(지도 국면 분류기),sklearn_supervised_regime_classifier(사이킷런 지도 국면 분류기),"p_flat(평탄 확률)을 허용/기권(permission/abstention, 허용/기권) 표면으로 읽는다.",모델 선택에서 permission filter(허용 필터)가 필요하면 1순위 참고축이다.,"높은 손실폭(drawdown, 손실폭)을 무시해 운영 후보로 올리지 않는다.",permission_filter|p_flat|rsi|close_ema20_ratio|minutes_from_cash_open,run17B_supervised_regime_classifier_runtime_probe_v1,stages/23_regime_model__supervised_regime_classifier_filter/02_runs/run17B_supervised_regime_classifier_runtime_probe_v1,324.75,1.16,254.63,1.19,v05_logistic_core24_compact_filter,supervised_regime_classifier_filter_runtime_handoff,2,2,1,completed,positive validation/OOS MT5 routed probe(검증/표본외 양수 MT5 라우팅 탐침),ok(정상),docs/workspace/stage20_27_characteristic_synthesis.md,runtime_probe_only,Stage30(30단계) 보정/기권과 합쳐 permission surface(허용 표면)를 만들 때 연다.
Stage24(24단계),24_exit_model__survival_time_to_event_hold_shape,Survival model(생존 모델),lifelines_weibull_aft_survival(라이프라인즈 와이블 AFT 생존 모델),time-to-event(사건까지 시간)와 hold/exit clock(보유/청산 시계)을 읽는다.,진입 모델이 아니라 청산/보유 위험 overlay(덧씌움)로 쓴다.,거래 밀도가 높다는 이유로 진입 신호로 바꾸지 않는다.,exit_clock|survival_risk|hold_shape|hl_range|historical_vol_20,run18B_survival_time_to_event_runtime_probe_v1,stages/24_exit_model__survival_time_to_event_hold_shape/02_runs/run18B_survival_time_to_event_runtime_probe_v1,-157.74,0.9,-98.54,0.88,v04_weibull_aft_core24_abs_move_3x,survival_permission_flat_close_runtime_handoff,2,2,1,completed,survival permission MT5 runtime probe(생존 허용 MT5 런타임 탐침),ok(정상),docs/workspace/stage20_27_characteristic_synthesis.md,runtime_probe_only,exit-only(청산 전용) 작업 묶음에서만 연다.
