stage_label,model_label,reference_run,completed_mt5_runtime_rows,coverage_read,external_verification,mt5_link,runtime_parity_boundary,backtest_forensics_read
Stage10(10단계),LogReg threshold scout(로지스틱 회귀 임계값 탐색),run01Y_logreg_a_base_no_fallback_hold9_session_mid_second_overlap_200_220_v1,29,broad_existing_mt5(넓은 기존 MT5 근거),completed,multiple MT5 routed threshold probes(복수 MT5 라우팅 임계값 탐침),"existing_probe_or_score_table_only_no_runtime_authority(기존 탐침 또는 점수표 전용, 런타임 권위 없음)",registry_path_and_packet_available(등록부 경로와 묶음 가용) / tester_identity_not_reopened(테스터 정체성 재개방 안 함)
Stage11(11단계),LightGBM horizon/WFO scout(라이트GBM 수평선/워크포워드 탐색),run02AA_lgbm_fwd18_inverse_rank_context_adx20_routed_v1,29,broad_existing_mt5(넓은 기존 MT5 근거),completed,registered MT5 follow-up probes(등록된 MT5 후속 탐침),"existing_probe_or_score_table_only_no_runtime_authority(기존 탐침 또는 점수표 전용, 런타임 권위 없음)",registry_path_and_packet_available(등록부 경로와 묶음 가용) / tester_identity_not_reopened(테스터 정체성 재개방 안 함)
Stage12(12단계),ExtraTrees(엑스트라트리),run03C_et_standalone_mt5_runtime_probe_v1,2,single_or_few_existing_mt5(단일/소수 기존 MT5 근거),completed,registered MT5 runtime probes(등록된 MT5 런타임 탐침),"existing_probe_or_score_table_only_no_runtime_authority(기존 탐침 또는 점수표 전용, 런타임 권위 없음)",registry_path_and_packet_available(등록부 경로와 묶음 가용) / tester_identity_not_reopened(테스터 정체성 재개방 안 함)
Stage13(13단계),MLP(다층 퍼셉트론),run04N_mlp_feature_group_interaction_profit_probe_v1,7,broad_existing_mt5(넓은 기존 MT5 근거),see_notes(노트 확인),MT5 runtime and attribution packet(메타트레이더5 런타임 및 귀속 묶음),"existing_probe_or_score_table_only_no_runtime_authority(기존 탐침 또는 점수표 전용, 런타임 권위 없음)",registry_path_and_packet_available(등록부 경로와 묶음 가용) / tester_identity_not_reopened(테스터 정체성 재개방 안 함)
Stage14(14단계),SVM margin/kernel(서포트 벡터 머신 마진/커널),run05A_svm_margin_kernel_characteristic_runtime_probe_v1,1,single_or_few_existing_mt5(단일/소수 기존 MT5 근거),completed,single MT5 margin/kernel runtime probe(단일 MT5 마진/커널 런타임 탐침),"existing_probe_or_score_table_only_no_runtime_authority(기존 탐침 또는 점수표 전용, 런타임 권위 없음)",registry_path_and_packet_available(등록부 경로와 묶음 가용) / tester_identity_not_reopened(테스터 정체성 재개방 안 함)
Stage15(15단계),LDA covariance scout(선형 판별 분석 공분산 탐색),run07J_lda_eigen_balanced_shrinkage005_stability_probe_v1,20,broad_existing_mt5(넓은 기존 MT5 근거),completed,LDA MT5 runtime and stability probes(선형 판별 분석 MT5 런타임 및 안정성 탐침),"existing_probe_or_score_table_only_no_runtime_authority(기존 탐침 또는 점수표 전용, 런타임 권위 없음)",registry_path_and_packet_available(등록부 경로와 묶음 가용) / tester_identity_not_reopened(테스터 정체성 재개방 안 함)
Stage16(16단계),QDA class covariance(이차 판별 분석 계급 공분산),run10I_qda_reg020_drop_mega10_decision_microprobe_v1,39,broad_existing_mt5(넓은 기존 MT5 근거),completed,broad QDA MT5 decision microprobes(넓은 QDA MT5 결정 미세탐침),"existing_probe_or_score_table_only_no_runtime_authority(기존 탐침 또는 점수표 전용, 런타임 권위 없음)",registry_path_and_packet_available(등록부 경로와 묶음 가용) / tester_identity_not_reopened(테스터 정체성 재개방 안 함)
Stage17(17단계),XGBoost/DART(엑스지부스트/다트),run11A_xgb_regularized_boosting_characteristic_scout_v1,4,single_or_few_existing_mt5(단일/소수 기존 MT5 근거),completed,XGBoost and DART MT5 runtime probes(엑스지부스트 및 다트 MT5 런타임 탐침),"existing_probe_or_score_table_only_no_runtime_authority(기존 탐침 또는 점수표 전용, 런타임 권위 없음)",registry_path_and_packet_available(등록부 경로와 묶음 가용) / tester_identity_not_reopened(테스터 정체성 재개방 안 함)
Stage18(18단계),CatBoost ordered boosting(캣부스트 순서 부스팅),run12A_catboost_ordered_boosting_characteristic_scout_v1,16,broad_existing_mt5(넓은 기존 MT5 근거),completed,dense CatBoost MT5 sweep and compression probes(촘촘한 캣부스트 MT5 훑기 및 압축 탐침),"existing_probe_or_score_table_only_no_runtime_authority(기존 탐침 또는 점수표 전용, 런타임 권위 없음)",registry_path_and_packet_available(등록부 경로와 묶음 가용) / tester_identity_not_reopened(테스터 정체성 재개방 안 함)
Stage19(19단계),EBM(설명가능 부스팅 머신),run13AE_ebm_q90_hold4_mixed_subtype_direction_probe_v1,27,broad_existing_mt5(넓은 기존 MT5 근거),completed,large EBM MT5 axis exhaustion set(큰 EBM MT5 축 소진 묶음),"existing_probe_or_score_table_only_no_runtime_authority(기존 탐침 또는 점수표 전용, 런타임 권위 없음)",registry_path_and_packet_available(등록부 경로와 묶음 가용) / tester_identity_not_reopened(테스터 정체성 재개방 안 함)
