stage_label,stage_id,source_paths_checked,existing_source_paths,registry_rows,runtime_like_rows,reference_run,source_authority_gate,note
Stage10(10단계),10_alpha_scout__default_split_model_threshold_scan,stages/10_alpha_scout__default_split_model_threshold_scan,stages/10_alpha_scout__default_split_model_threshold_scan,29,29,run01Y_logreg_a_base_no_fallback_hold9_session_mid_second_overlap_200_220_v1,passed(통과),Stage36(36단계)는 기존 근거를 종합한다. 새 MT5 테스터 실행은 주장 범위 밖이다.
Stage11(11단계),11_alpha_robustness__wfo_label_horizon_sensitivity,stages/11_alpha_robustness__wfo_label_horizon_sensitivity,stages/11_alpha_robustness__wfo_label_horizon_sensitivity,42,38,run02AA_lgbm_fwd18_inverse_rank_context_adx20_routed_v1,passed(통과),Stage36(36단계)는 기존 근거를 종합한다. 새 MT5 테스터 실행은 주장 범위 밖이다.
Stage12(12단계),12_model_family_challenge__extratrees_training_effect,stages/12_model_family_challenge__extratrees_training_effect,stages/12_model_family_challenge__extratrees_training_effect,59,55,run03C_et_standalone_mt5_runtime_probe_v1,passed(통과),Stage36(36단계)는 기존 근거를 종합한다. 새 MT5 테스터 실행은 주장 범위 밖이다.
Stage13(13단계),13_model_family_challenge__mlp_training_effect,stages/13_model_family_challenge__mlp_training_effect/03_reviews/stage13_closeout_packet.md,stages/13_model_family_challenge__mlp_training_effect/03_reviews/stage13_closeout_packet.md,14,14,run04N_mlp_feature_group_interaction_profit_probe_v1,passed(통과),Stage36(36단계)는 기존 근거를 종합한다. 새 MT5 테스터 실행은 주장 범위 밖이다.
Stage14(14단계),14_model_family_challenge__margin_kernel_training_effect,stages/14_model_family_challenge__margin_kernel_training_effect/03_reviews/stage14_closeout_packet.md,stages/14_model_family_challenge__margin_kernel_training_effect/03_reviews/stage14_closeout_packet.md,1,1,run05A_svm_margin_kernel_characteristic_runtime_probe_v1,passed(통과),Stage36(36단계)는 기존 근거를 종합한다. 새 MT5 테스터 실행은 주장 범위 밖이다.
Stage15(15단계),15_model_family_challenge__untried_learning_methods_scout,stages/15_model_family_challenge__untried_learning_methods_scout/03_reviews/stage15_closeout_packet.md,stages/15_model_family_challenge__untried_learning_methods_scout/03_reviews/stage15_closeout_packet.md,20,20,run07J_lda_eigen_balanced_shrinkage005_stability_probe_v1,passed(통과),Stage36(36단계)는 기존 근거를 종합한다. 새 MT5 테스터 실행은 주장 범위 밖이다.
Stage16(16단계),16_model_family_challenge__qda_class_covariance_scout,stages/16_model_family_challenge__qda_class_covariance_scout/03_reviews/stage16_closeout_packet.md,stages/16_model_family_challenge__qda_class_covariance_scout/03_reviews/stage16_closeout_packet.md,39,39,run10I_qda_reg020_drop_mega10_decision_microprobe_v1,passed(통과),Stage36(36단계)는 기존 근거를 종합한다. 새 MT5 테스터 실행은 주장 범위 밖이다.
Stage17(17단계),17_model_family_challenge__xgboost_regularized_boosting_scout,stages/17_model_family_challenge__xgboost_regularized_boosting_scout/03_reviews/stage17_closeout_packet.md,stages/17_model_family_challenge__xgboost_regularized_boosting_scout/03_reviews/stage17_closeout_packet.md,7,4,run11A_xgb_regularized_boosting_characteristic_scout_v1,passed(통과),Stage36(36단계)는 기존 근거를 종합한다. 새 MT5 테스터 실행은 주장 범위 밖이다.
Stage18(18단계),18_model_family_challenge__catboost_ordered_boosting_scout,stages/18_model_family_challenge__catboost_ordered_boosting_scout/03_reviews/stage18_closeout_packet.md,stages/18_model_family_challenge__catboost_ordered_boosting_scout/03_reviews/stage18_closeout_packet.md,16,16,run12A_catboost_ordered_boosting_characteristic_scout_v1,passed(통과),Stage36(36단계)는 기존 근거를 종합한다. 새 MT5 테스터 실행은 주장 범위 밖이다.
Stage19(19단계),19_model_family_challenge__ebm_explainable_boosting_shape,stages/19_model_family_challenge__ebm_explainable_boosting_shape/03_reviews/stage19_closeout_packet.md,stages/19_model_family_challenge__ebm_explainable_boosting_shape/03_reviews/stage19_closeout_packet.md,32,28,run13AE_ebm_q90_hold4_mixed_subtype_direction_probe_v1,passed(통과),Stage36(36단계)는 기존 근거를 종합한다. 새 MT5 테스터 실행은 주장 범위 밖이다.
Stage20(20단계),20_model_family_challenge__gam_additive_smooth_shape,docs/workspace/stage20_27_characteristic_synthesis.md,docs/workspace/stage20_27_characteristic_synthesis.md,2,2,run14B_gam_runtime_handoff_probe_v1,passed(통과),Stage36(36단계)는 기존 근거를 종합한다. 새 MT5 테스터 실행은 주장 범위 밖이다.
Stage21(21단계),21_model_family_challenge__elasticnet_logistic_linear_sanity,docs/workspace/stage20_27_characteristic_synthesis.md,docs/workspace/stage20_27_characteristic_synthesis.md,2,2,run15B_elasticnet_logistic_onnx_runtime_probe_v1,passed(통과),Stage36(36단계)는 기존 근거를 종합한다. 새 MT5 테스터 실행은 주장 범위 밖이다.
Stage22(22단계),22_regime_model__hmm_hidden_state_segmentation,docs/workspace/stage20_27_characteristic_synthesis.md,docs/workspace/stage20_27_characteristic_synthesis.md,2,2,run16B_hmm_state_runtime_probe_v1,passed(통과),Stage36(36단계)는 기존 근거를 종합한다. 새 MT5 테스터 실행은 주장 범위 밖이다.
Stage23(23단계),23_regime_model__supervised_regime_classifier_filter,docs/workspace/stage20_27_characteristic_synthesis.md,docs/workspace/stage20_27_characteristic_synthesis.md,2,2,run17B_supervised_regime_classifier_runtime_probe_v1,passed(통과),Stage36(36단계)는 기존 근거를 종합한다. 새 MT5 테스터 실행은 주장 범위 밖이다.
Stage24(24단계),24_exit_model__survival_time_to_event_hold_shape,docs/workspace/stage20_27_characteristic_synthesis.md,docs/workspace/stage20_27_characteristic_synthesis.md,2,2,run18B_survival_time_to_event_runtime_probe_v1,passed(통과),Stage36(36단계)는 기존 근거를 종합한다. 새 MT5 테스터 실행은 주장 범위 밖이다.
Stage25(25단계),25_exit_model__hazard_trade_lifecycle_risk,docs/workspace/stage20_27_characteristic_synthesis.md,docs/workspace/stage20_27_characteristic_synthesis.md,2,2,run19B_hazard_trade_lifecycle_runtime_probe_v1,passed(통과),Stage36(36단계)는 기존 근거를 종합한다. 새 MT5 테스터 실행은 주장 범위 밖이다.
Stage26(26단계),26_model_family_challenge__ngboost_probabilistic_distribution_shape,docs/workspace/stage20_27_characteristic_synthesis.md,docs/workspace/stage20_27_characteristic_synthesis.md,2,2,run20B_ngboost_distribution_runtime_probe_v1,passed(통과),Stage36(36단계)는 기존 근거를 종합한다. 새 MT5 테스터 실행은 주장 범위 밖이다.
Stage27(27단계),27_tail_model__quantile_boosting_risk_surface,docs/workspace/stage20_27_characteristic_synthesis.md,docs/workspace/stage20_27_characteristic_synthesis.md,2,2,run21B_quantile_boosting_tail_risk_runtime_probe_v1,passed(통과),Stage36(36단계)는 기존 근거를 종합한다. 새 MT5 테스터 실행은 주장 범위 밖이다.
Stage28(28단계),28_regime_model__markov_switching_regression_state_link,stages/28_regime_model__markov_switching_regression_state_link/03_reviews/run22C_markov_regression_supplement_packet.md,stages/28_regime_model__markov_switching_regression_state_link/03_reviews/run22C_markov_regression_supplement_packet.md,3,3,run22B_markov_regression_state_runtime_probe_v1,passed(통과),Stage36(36단계)는 기존 근거를 종합한다. 새 MT5 테스터 실행은 주장 범위 밖이다.
Stage29(29단계),29_adaptive_model__river_online_drift_learning,docs/workspace/stage29_32_native_revalidation_supplement.md,docs/workspace/stage29_32_native_revalidation_supplement.md,4,4,run23D_river_native_online_runtime_probe_v1,passed(통과),Stage36(36단계)는 기존 근거를 종합한다. 새 MT5 테스터 실행은 주장 범위 밖이다.
Stage30(30단계),30_decision_layer__probability_calibration_abstention,docs/workspace/stage29_32_native_revalidation_supplement.md,docs/workspace/stage29_32_native_revalidation_supplement.md,4,4,run24D_native_source_calibration_runtime_probe_v1,passed(통과),Stage36(36단계)는 기존 근거를 종합한다. 새 MT5 테스터 실행은 주장 범위 밖이다.
Stage31(31단계),31_model_family_challenge__tabnet_attentive_tabular_scout,docs/workspace/stage29_32_native_revalidation_supplement.md,docs/workspace/stage29_32_native_revalidation_supplement.md,4,4,run25D_tabnet_native_attentive_runtime_probe_v1,passed(통과),Stage36(36단계)는 기존 근거를 종합한다. 새 MT5 테스터 실행은 주장 범위 밖이다.
Stage32(32단계),32_sequence_model__tcn_temporal_convolution_context,docs/workspace/stage29_32_native_revalidation_supplement.md,docs/workspace/stage29_32_native_revalidation_supplement.md,4,4,run26D_torch_tcn_native_temporal_runtime_probe_v1,passed(통과),Stage36(36단계)는 기존 근거를 종합한다. 새 MT5 테스터 실행은 주장 범위 밖이다.
Stage34(34단계),34_regime_mechanism__tier_a_markov_long_permission_attribution,stages/34_regime_mechanism__tier_a_markov_long_permission_attribution/03_reviews/stage34_closeout_packet.md,stages/34_regime_mechanism__tier_a_markov_long_permission_attribution/03_reviews/stage34_closeout_packet.md,7,6,stage34_tier_a_markov_long_permission_attribution_closeout_v1,passed(통과),Stage36(36단계)는 기존 근거를 종합한다. 새 MT5 테스터 실행은 주장 범위 밖이다.
Stage35(35단계),35_context_map__unsupervised_market_state_atlas,stages/35_context_map__unsupervised_market_state_atlas/03_reviews/stage35_closeout_packet.md,stages/35_context_map__unsupervised_market_state_atlas/03_reviews/stage35_closeout_packet.md,4,4,stage35_context_map_closeout_v1,passed(통과),Stage36(36단계)는 기존 근거를 종합한다. 새 MT5 테스터 실행은 주장 범위 밖이다.
