axis,axis_read,model_count,stages,models,stage36_use
session_timing,core_cross_model_axis(핵심 교차 모델 축),5,Stage10(10단계)|Stage11(11단계)|Stage18(18단계)|Stage22(22단계)|Stage35(35단계),LogReg threshold scout(로지스틱 회귀 임계값 탐색)|LightGBM horizon/WFO scout(라이트GBM 수평선/워크포워드 탐색)|CatBoost ordered boosting(캣부스트 순서 부스팅)|HMM(은닉 마르코프 모델)|KMeans state atlas(K-평균 상태 지도),"시장 문맥(context, 문맥) 층화와 MT5(메타트레이더5) 재탐침 우선축"
threshold,core_cross_model_axis(핵심 교차 모델 축),4,Stage10(10단계)|Stage11(11단계)|Stage12(12단계)|Stage14(14단계),LogReg threshold scout(로지스틱 회귀 임계값 탐색)|LightGBM horizon/WFO scout(라이트GBM 수평선/워크포워드 탐색)|ExtraTrees(엑스트라트리)|SVM margin/kernel(서포트 벡터 머신 마진/커널),여러 모델에 반복되어 다음 stage(단계) 모델 선택 참고축
direction_asymmetry,repeated_axis(반복 축),3,Stage13(13단계)|Stage17(17단계)|Stage19(19단계),MLP(다층 퍼셉트론)|XGBoost/DART(엑스지부스트/다트)|EBM(설명가능 부스팅 머신),여러 모델에 반복되어 다음 stage(단계) 모델 선택 참고축
calibration,repeated_axis(반복 축),2,Stage18(18단계)|Stage30(30단계),CatBoost ordered boosting(캣부스트 순서 부스팅)|Calibration/abstention(보정/기권),모델 선택 후 decision layer(결정층) 후보축
close_ema20_ratio,repeated_axis(반복 축),2,Stage23(23단계)|Stage25(25단계),Supervised regime classifier(지도 국면 분류기)|Hazard model(위험률 모델),단일 모델 특성으로 보존
historical_vol_20,repeated_axis(반복 축),2,Stage24(24단계)|Stage25(25단계),Survival model(생존 모델)|Hazard model(위험률 모델),"시장 문맥(context, 문맥) 층화와 MT5(메타트레이더5) 재탐침 우선축"
hl_range,repeated_axis(반복 축),2,Stage21(21단계)|Stage24(24단계),ElasticNet Logistic(엘라스틱넷 로지스틱)|Survival model(생존 모델),단일 모델 특성으로 보존
hold_length,repeated_axis(반복 축),2,Stage10(10단계)|Stage19(19단계),LogReg threshold scout(로지스틱 회귀 임계값 탐색)|EBM(설명가능 부스팅 머신),"청산/보유 관리(exit/hold management, 청산/보유 관리) 후보축"
long_permission,repeated_axis(반복 축),2,Stage28(28단계)|Stage34(34단계),Markov regression(마르코프 회귀)|Markov long permission attribution(마르코프 매수 허용 귀속),단일 모델 특성으로 보존
markov_state,repeated_axis(반복 축),2,Stage28(28단계)|Stage34(34단계),Markov regression(마르코프 회귀)|Markov long permission attribution(마르코프 매수 허용 귀속),"상태 필터(state filter, 상태 필터) 후보축"
permission_filter,repeated_axis(반복 축),2,Stage23(23단계)|Stage30(30단계),Supervised regime classifier(지도 국면 분류기)|Calibration/abstention(보정/기권),모델 선택 후 decision layer(결정층) 후보축
tier_b_fallback,repeated_axis(반복 축),2,Stage10(10단계)|Stage27(27단계),LogReg threshold scout(로지스틱 회귀 임계값 탐색)|Quantile boosting(분위수 부스팅),단일 모델 특성으로 보존
volatility,repeated_axis(반복 축),2,Stage20(20단계)|Stage22(22단계),GAM(일반화 가산 모델)|HMM(은닉 마르코프 모델),"시장 문맥(context, 문맥) 층화와 MT5(메타트레이더5) 재탐침 우선축"
abstention,single_model_axis(단일 모델 축),1,Stage30(30단계),Calibration/abstention(보정/기권),모델 선택 후 decision layer(결정층) 후보축
activation_geometry,single_model_axis(단일 모델 축),1,Stage13(13단계),MLP(다층 퍼셉트론),단일 모델 특성으로 보존
adx_20_25,single_model_axis(단일 모델 축),1,Stage34(34단계),Markov long permission attribution(마르코프 매수 허용 귀속),단일 모델 특성으로 보존
atr,single_model_axis(단일 모델 축),1,Stage21(21단계),ElasticNet Logistic(엘라스틱넷 로지스틱),단일 모델 특성으로 보존
attention_mask,single_model_axis(단일 모델 축),1,Stage31(31단계),TabNet(탭넷),단일 모델 특성으로 보존
bollinger_width_20,single_model_axis(단일 모델 축),1,Stage27(27단계),Quantile boosting(분위수 부스팅),단일 모델 특성으로 보존
class_covariance,single_model_axis(단일 모델 축),1,Stage16(16단계),QDA class covariance(이차 판별 분석 계급 공분산),단일 모델 특성으로 보존
close_open_ratio,single_model_axis(단일 모델 축),1,Stage20(20단계),GAM(일반화 가산 모델),단일 모델 특성으로 보존
confidence,single_model_axis(단일 모델 축),1,Stage26(26단계),NGBoost(자연 그래디언트 부스팅),단일 모델 특성으로 보존
convergence,single_model_axis(단일 모델 축),1,Stage13(13단계),MLP(다층 퍼셉트론),단일 모델 특성으로 보존
covariance,single_model_axis(단일 모델 축),1,Stage15(15단계),LDA covariance scout(선형 판별 분석 공분산 탐색),단일 모델 특성으로 보존
coverage_threshold,single_model_axis(단일 모델 축),1,Stage16(16단계),QDA class covariance(이차 판별 분석 계급 공분산),단일 모델 특성으로 보존
dilated_convolution,single_model_axis(단일 모델 축),1,Stage32(32단계),TCN(시간 합성곱 네트워크),단일 모델 특성으로 보존
direction_bias,single_model_axis(단일 모델 축),1,Stage18(18단계),CatBoost ordered boosting(캣부스트 순서 부스팅),단일 모델 특성으로 보존
distribution_uncertainty,single_model_axis(단일 모델 축),1,Stage26(26단계),NGBoost(자연 그래디언트 부스팅),단일 모델 특성으로 보존
drift,single_model_axis(단일 모델 축),1,Stage29(29단계),River online ML(리버 온라인 머신러닝),단일 모델 특성으로 보존
drift_stress,single_model_axis(단일 모델 축),1,Stage35(35단계),KMeans state atlas(K-평균 상태 지도),단일 모델 특성으로 보존
dropout_boosting,single_model_axis(단일 모델 축),1,Stage17(17단계),XGBoost/DART(엑스지부스트/다트),단일 모델 특성으로 보존
ema50_ema200_diff,single_model_axis(단일 모델 축),1,Stage27(27단계),Quantile boosting(분위수 부스팅),단일 모델 특성으로 보존
ema_spread,single_model_axis(단일 모델 축),1,Stage21(21단계),ElasticNet Logistic(엘라스틱넷 로지스틱),단일 모델 특성으로 보존
entropy,single_model_axis(단일 모델 축),1,Stage26(26단계),NGBoost(자연 그래디언트 부스팅),모델 선택 후 decision layer(결정층) 후보축
exit_clock,single_model_axis(단일 모델 축),1,Stage24(24단계),Survival model(생존 모델),"청산/보유 관리(exit/hold management, 청산/보유 관리) 후보축"
feature_drop,single_model_axis(단일 모델 축),1,Stage16(16단계),QDA class covariance(이차 판별 분석 계급 공분산),단일 모델 특성으로 보존
feature_group,single_model_axis(단일 모델 축),1,Stage12(12단계),ExtraTrees(엑스트라트리),단일 모델 특성으로 보존
feature_importance,single_model_axis(단일 모델 축),1,Stage31(31단계),TabNet(탭넷),단일 모델 특성으로 보존
feature_interaction,single_model_axis(단일 모델 축),1,Stage13(13단계),MLP(다층 퍼셉트론),단일 모델 특성으로 보존
feature_mask,single_model_axis(단일 모델 축),1,Stage19(19단계),EBM(설명가능 부스팅 머신),단일 모델 특성으로 보존
frequency_pressure,single_model_axis(단일 모델 축),1,Stage17(17단계),XGBoost/DART(엑스지부스트/다트),단일 모델 특성으로 보존
hazard_elapsed_bar,single_model_axis(단일 모델 축),1,Stage25(25단계),Hazard model(위험률 모델),"청산/보유 관리(exit/hold management, 청산/보유 관리) 후보축"
hidden_state,single_model_axis(단일 모델 축),1,Stage22(22단계),HMM(은닉 마르코프 모델),"상태 필터(state filter, 상태 필터) 후보축"
hold_duration,single_model_axis(단일 모델 축),1,Stage34(34단계),Markov long permission attribution(마르코프 매수 허용 귀속),"청산/보유 관리(exit/hold management, 청산/보유 관리) 후보축"
hold_shape,single_model_axis(단일 모델 축),1,Stage24(24단계),Survival model(생존 모델),단일 모델 특성으로 보존
interval_coverage,single_model_axis(단일 모델 축),1,Stage27(27단계),Quantile boosting(분위수 부스팅),단일 모델 특성으로 보존
kernel_shape,single_model_axis(단일 모델 축),1,Stage14(14단계),SVM margin/kernel(서포트 벡터 머신 마진/커널),단일 모델 특성으로 보존
label_horizon,single_model_axis(단일 모델 축),1,Stage11(11단계),LightGBM horizon/WFO scout(라이트GBM 수평선/워크포워드 탐색),단일 모델 특성으로 보존
linear_discriminant,single_model_axis(단일 모델 축),1,Stage15(15단계),LDA covariance scout(선형 판별 분석 공분산 탐색),단일 모델 특성으로 보존
log_return,single_model_axis(단일 모델 축),1,Stage20(20단계),GAM(일반화 가산 모델),단일 모델 특성으로 보존
main_effect_shape,single_model_axis(단일 모델 축),1,Stage19(19단계),EBM(설명가능 부스팅 머신),단일 모델 특성으로 보존
margin,single_model_axis(단일 모델 축),1,Stage30(30단계),Calibration/abstention(보정/기권),단일 모델 특성으로 보존
margin_width,single_model_axis(단일 모델 축),1,Stage14(14단계),SVM margin/kernel(서포트 벡터 머신 마진/커널),단일 모델 특성으로 보존
minutes_from_cash_open,single_model_axis(단일 모델 축),1,Stage23(23단계),Supervised regime classifier(지도 국면 분류기),단일 모델 특성으로 보존
nonlinear_tree_split,single_model_axis(단일 모델 축),1,Stage12(12단계),ExtraTrees(엑스트라트리),단일 모델 특성으로 보존
online_learning,single_model_axis(단일 모델 축),1,Stage29(29단계),River online ML(리버 온라인 머신러닝),단일 모델 특성으로 보존
ordered_boosting,single_model_axis(단일 모델 축),1,Stage18(18단계),CatBoost ordered boosting(캣부스트 순서 부스팅),단일 모델 특성으로 보존
p_flat,single_model_axis(단일 모델 축),1,Stage23(23단계),Supervised regime classifier(지도 국면 분류기),모델 선택 후 decision layer(결정층) 후보축
position_age,single_model_axis(단일 모델 축),1,Stage25(25단계),Hazard model(위험률 모델),"청산/보유 관리(exit/hold management, 청산/보유 관리) 후보축"
regularization,single_model_axis(단일 모델 축),1,Stage16(16단계),QDA class covariance(이차 판별 분석 계급 공분산),단일 모델 특성으로 보존
regularized_tree,single_model_axis(단일 모델 축),1,Stage17(17단계),XGBoost/DART(엑스지부스트/다트),단일 모델 특성으로 보존
return_range,single_model_axis(단일 모델 축),1,Stage32(32단계),TCN(시간 합성곱 네트워크),단일 모델 특성으로 보존
return_volatility,single_model_axis(단일 모델 축),1,Stage35(35단계),KMeans state atlas(K-평균 상태 지도),"시장 문맥(context, 문맥) 층화와 MT5(메타트레이더5) 재탐침 우선축"
rsi,single_model_axis(단일 모델 축),1,Stage23(23단계),Supervised regime classifier(지도 국면 분류기),단일 모델 특성으로 보존
score_table_handoff,single_model_axis(단일 모델 축),1,Stage29(29단계),River online ML(리버 온라인 머신러닝),단일 모델 특성으로 보존
sequence_model,single_model_axis(단일 모델 축),1,Stage32(32단계),TCN(시간 합성곱 네트워크),단일 모델 특성으로 보존
shrinkage,single_model_axis(단일 모델 축),1,Stage15(15단계),LDA covariance scout(선형 판별 분석 공분산 탐색),단일 모델 특성으로 보존
signal_density,single_model_axis(단일 모델 축),1,Stage14(14단계),SVM margin/kernel(서포트 벡터 머신 마진/커널),단일 모델 특성으로 보존
slow_adaptation,single_model_axis(단일 모델 축),1,Stage29(29단계),River online ML(리버 온라인 머신러닝),단일 모델 특성으로 보존
small_sample,single_model_axis(단일 모델 축),1,Stage26(26단계),NGBoost(자연 그래디언트 부스팅),단일 모델 특성으로 보존
smooth_additive_shape,single_model_axis(단일 모델 축),1,Stage20(20단계),GAM(일반화 가산 모델),단일 모델 특성으로 보존
sparse_linear,single_model_axis(단일 모델 축),1,Stage21(21단계),ElasticNet Logistic(엘라스틱넷 로지스틱),단일 모델 특성으로 보존
sparse_selection,single_model_axis(단일 모델 축),1,Stage31(31단계),TabNet(탭넷),단일 모델 특성으로 보존
stability,single_model_axis(단일 모델 축),1,Stage15(15단계),LDA covariance scout(선형 판별 분석 공분산 탐색),단일 모델 특성으로 보존
state_score_table,single_model_axis(단일 모델 축),1,Stage28(28단계),Markov regression(마르코프 회귀),"상태 필터(state filter, 상태 필터) 후보축"
survival_risk,single_model_axis(단일 모델 축),1,Stage24(24단계),Survival model(생존 모델),"청산/보유 관리(exit/hold management, 청산/보유 관리) 후보축"
switching_variance,single_model_axis(단일 모델 축),1,Stage28(28단계),Markov regression(마르코프 회귀),단일 모델 특성으로 보존
tabular_deep,single_model_axis(단일 모델 축),1,Stage31(31단계),TabNet(탭넷),단일 모델 특성으로 보존
tail_risk,single_model_axis(단일 모델 축),1,Stage27(27단계),Quantile boosting(분위수 부스팅),모델 선택 후 decision layer(결정층) 후보축
temporal_context,single_model_axis(단일 모델 축),1,Stage32(32단계),TCN(시간 합성곱 네트워크),단일 모델 특성으로 보존
tier_b_subtype,single_model_axis(단일 모델 축),1,Stage19(19단계),EBM(설명가능 부스팅 머신),단일 모델 특성으로 보존
trade_density,single_model_axis(단일 모델 축),1,Stage12(12단계),ExtraTrees(엑스트라트리),단일 모델 특성으로 보존
trend_momentum,single_model_axis(단일 모델 축),1,Stage35(35단계),KMeans state atlas(K-평균 상태 지도),단일 모델 특성으로 보존
trend_state,single_model_axis(단일 모델 축),1,Stage22(22단계),HMM(은닉 마르코프 모델),단일 모델 특성으로 보존
unsupervised_state,single_model_axis(단일 모델 축),1,Stage35(35단계),KMeans state atlas(K-평균 상태 지도),"상태 필터(state filter, 상태 필터) 후보축"
vol_high,single_model_axis(단일 모델 축),1,Stage34(34단계),Markov long permission attribution(마르코프 매수 허용 귀속),단일 모델 특성으로 보존
volatility_regime,single_model_axis(단일 모델 축),1,Stage18(18단계),CatBoost ordered boosting(캣부스트 순서 부스팅),단일 모델 특성으로 보존
wfo_split,single_model_axis(단일 모델 축),1,Stage11(11단계),LightGBM horizon/WFO scout(라이트GBM 수평선/워크포워드 탐색),단일 모델 특성으로 보존
