adapter_id,split,atr_enabled,model_risk_enabled,max_model_risk_pct,risk_floor_applied_count,max_actual_risk_pct_after_floor,avg_executed_lot,avg_atr_points,avg_open_sl_points,avg_open_tp_points,risk_bucket,read
s258_short_tight_control,validation_is,True,True,0.0305,0,0.030486622,0.01243600163,3634.39774,7386.913407,16772.74557,mid,ATR(평균 진폭) bracket(브래킷)과 model risk(모델 위험)는 켜져 있고 floor(최소 랏 바닥) 영향은 0으로 보인다.
s258_short_tight_control,oos,True,True,0.0305,0,0.0304802344,0.008739451477,3903.364499,7933.588343,18014.02716,mid,ATR(평균 진폭) bracket(브래킷)과 model risk(모델 위험)는 켜져 있고 floor(최소 랏 바닥) 영향은 0으로 보인다.
s258_tight_plus_lowedge,validation_is,True,True,0.0305,0,0.0304901584,0.009718610321,3634.39774,7386.913407,16772.74557,mid,ATR(평균 진폭) bracket(브래킷)과 model risk(모델 위험)는 켜져 있고 floor(최소 랏 바닥) 영향은 0으로 보인다.
s258_tight_plus_lowedge,oos,True,True,0.0305,0,0.0304440459,0.007691191983,3903.364499,7933.588343,18014.02716,mid,ATR(평균 진폭) bracket(브래킷)과 model risk(모델 위험)는 켜져 있고 floor(최소 랏 바닥) 영향은 0으로 보인다.
s258_tight_plus_highedge,validation_is,True,True,0.0305,0,0.0304678782,0.01264120276,3634.39774,7386.913407,16772.74557,mid,ATR(평균 진폭) bracket(브래킷)과 model risk(모델 위험)는 켜져 있고 floor(최소 랏 바닥) 영향은 0으로 보인다.
s258_tight_plus_highedge,oos,True,True,0.0305,0,0.0304706667,0.007526371308,3903.364499,7933.588343,18014.02716,mid,ATR(평균 진폭) bracket(브래킷)과 model risk(모델 위험)는 켜져 있고 floor(최소 랏 바닥) 영향은 0으로 보인다.
s258_lowedge_only,validation_is,True,True,0.0305,0,0.0304654788,0.009921779764,3634.39774,7386.913407,16772.74557,mid,ATR(평균 진폭) bracket(브래킷)과 model risk(모델 위험)는 켜져 있고 floor(최소 랏 바닥) 영향은 0으로 보인다.
s258_lowedge_only,oos,True,True,0.0305,0,0.0304270367,0.009792985232,3903.364499,7933.588343,18014.02716,mid,ATR(평균 진폭) bracket(브래킷)과 model risk(모델 위험)는 켜져 있고 floor(최소 랏 바닥) 영향은 0으로 보인다.
s258_highedge_only,validation_is,True,True,0.0305,0,0.0304995469,0.01270113775,3634.39774,7386.913407,16772.74557,mid,ATR(평균 진폭) bracket(브래킷)과 model risk(모델 위험)는 켜져 있고 floor(최소 랏 바닥) 영향은 0으로 보인다.
s258_highedge_only,oos,True,True,0.0305,0,0.0303946329,0.009679588608,3903.364499,7933.588343,18014.02716,mid,ATR(평균 진폭) bracket(브래킷)과 model risk(모델 위험)는 켜져 있고 floor(최소 랏 바닥) 영향은 0으로 보인다.
