adapter_id,split,block_mode,directional_threshold_pass_rows,side_filter_block_rows,order_attempted_rows,order_filled_rows,decision_counts,read
s258_short_tight_control,validation_is,short_tight_control,468,158,523,523,"{""flat"":9534,""long"":146,""short"":164}","score surface(점수 표면)와 threshold(임계값)는 고정이고, 차이는 short margin gate(숏 마진 차단문) 공급 변화에서 나온다."
s258_short_tight_control,oos,short_tight_control,348,121,385,385,"{""flat"":7357,""long"":121,""short"":106}","score surface(점수 표면)와 threshold(임계값)는 고정이고, 차이는 short margin gate(숏 마진 차단문) 공급 변화에서 나온다."
s258_tight_plus_lowedge,validation_is,tight_plus_lowedge,468,180,490,490,"{""flat"":9556,""long"":146,""short"":142}","score surface(점수 표면)와 threshold(임계값)는 고정이고, 차이는 short margin gate(숏 마진 차단문) 공급 변화에서 나온다."
s258_tight_plus_lowedge,oos,tight_plus_lowedge,348,134,364,364,"{""flat"":7370,""long"":121,""short"":93}","score surface(점수 표면)와 threshold(임계값)는 고정이고, 차이는 short margin gate(숏 마진 차단문) 공급 변화에서 나온다."
s258_tight_plus_highedge,validation_is,tight_plus_highedge,468,171,504,504,"{""flat"":9547,""long"":146,""short"":151}","score surface(점수 표면)와 threshold(임계값)는 고정이고, 차이는 short margin gate(숏 마진 차단문) 공급 변화에서 나온다."
s258_tight_plus_highedge,oos,tight_plus_highedge,348,135,365,365,"{""flat"":7371,""long"":121,""short"":92}","score surface(점수 표면)와 threshold(임계값)는 고정이고, 차이는 short margin gate(숏 마진 차단문) 공급 변화에서 나온다."
s258_lowedge_only,validation_is,lowedge_only,468,130,562,562,"{""flat"":9506,""long"":146,""short"":192}","score surface(점수 표면)와 threshold(임계값)는 고정이고, 차이는 short margin gate(숏 마진 차단문) 공급 변화에서 나온다."
s258_lowedge_only,oos,lowedge_only,348,99,413,413,"{""flat"":7335,""long"":121,""short"":128}","score surface(점수 표면)와 threshold(임계값)는 고정이고, 차이는 short margin gate(숏 마진 차단문) 공급 변화에서 나온다."
s258_highedge_only,validation_is,highedge_only,468,121,576,576,"{""flat"":9497,""long"":146,""short"":201}","score surface(점수 표면)와 threshold(임계값)는 고정이고, 차이는 short margin gate(숏 마진 차단문) 공급 변화에서 나온다."
s258_highedge_only,oos,highedge_only,348,100,414,414,"{""flat"":7336,""long"":121,""short"":127}","score surface(점수 표면)와 threshold(임계값)는 고정이고, 차이는 short margin gate(숏 마진 차단문) 공급 변화에서 나온다."
