stage_num,stage_id,candidate_id,stage_runtime_probe_status,split_count,completed_split_count,all_signal_counts_match,min_runtime_pf,max_runtime_dd_percent,total_runtime_trades,avg_runtime_trades_per_day,runtime_stage_gap,stage_gap_causes,claim_boundary
11,stage_frontier_11__subperiod_stability_first_onnx_scout,f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3__f10c_f10b_utility_margin_v3_uq0p64_m0p52_cap1p15_c3_lr_c0p50_sw1p60,completed_runtime_probe_observation(런타임 탐침 관찰 완료),2,2,True,0.72,59.46,153.0,0.32552790346907995,signal_compression_execution_gap(신호 압축/실행 간극),"[""account_risk_scaling_gap(계좌 위험 스케일 간극):2"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극):2"", ""profitability_repricing_gap(수익성 재가격화 간극):1"", ""signal_handoff_exact(신호 인계 정확):2""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
15,stage_frontier_15__score_threshold_density_controlled_onnx_scout,f14b_day_q6_h8__lr_plain__utility_tilt__target5,completed_runtime_probe_observation(런타임 탐침 관찰 완료),2,2,True,0.91,34.81,325.0,0.6881598793363499,signal_compression_execution_gap(신호 압축/실행 간극),"[""account_risk_scaling_gap(계좌 위험 스케일 간극):2"", ""drawdown_basis_gap(손실폭 기준 간극):2"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극):2"", ""signal_handoff_exact(신호 인계 정확):2""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
18,stage_frontier_18__asymmetric_exit_lifecycle_profit_lock_onnx_scout,f18b_hold6_reverse_atr1p5_tp3p0__lr_plain__lifecycle,completed_runtime_probe_observation(런타임 탐침 관찰 완료),2,2,True,1.02,26.9,1885.0,4.058832956259427,"entry_preserved_exit_risk_representation_gap(진입 보존, 청산/위험 표현 간극)","[""account_risk_scaling_gap(계좌 위험 스케일 간극):2"", ""drawdown_basis_gap(손실폭 기준 간극):2"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극):2"", ""signal_handoff_exact(신호 인계 정확):2""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
19,stage_frontier_19__boosted_backbone_no_repair_stack_onnx_scout,f19b_cat_ordered_depth3_backbone__argmax_nonflat_backbone_only,completed_runtime_probe_observation(런타임 탐침 관찰 완료),2,2,True,1.12,37.75,1017.0,2.192496229260935,signal_compression_execution_gap(신호 압축/실행 간극),"[""account_risk_scaling_gap(계좌 위험 스케일 간극):2"", ""drawdown_basis_gap(손실폭 기준 간극):2"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극):2"", ""signal_handoff_exact(신호 인계 정확):2""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
20,stage_frontier_20__train_only_feature_state_rule_atlas_onnx_scout,f20b_pair_0359,completed_runtime_probe_observation(런타임 탐침 관찰 완료),2,2,True,0.95,46.38,469.0,1.0131127450980393,rule_proxy_execution_economics_gap(규칙 프록시 실행/경제성 간극),"[""account_risk_scaling_gap(계좌 위험 스케일 간극):2"", ""drawdown_basis_gap(손실폭 기준 간극):2"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극):2"", ""profitability_repricing_gap(수익성 재가격화 간극):1"", ""signal_handoff_exact(신호 인계 정확):2""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
21,stage_frontier_21__f20_seed_lifecycle_dd_containment_onnx_scout,f21c_hold2_atr0p8_tp1p6_cd0,completed_runtime_probe_observation(런타임 탐침 관찰 완료),2,2,True,1.01,17.18,1282.0,2.770361990950226,"entry_preserved_exit_risk_representation_gap(진입 보존, 청산/위험 표현 간극)","[""account_risk_scaling_gap(계좌 위험 스케일 간극):2"", ""drawdown_basis_gap(손실폭 기준 간극):2"", ""signal_handoff_exact(신호 인계 정확):2""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
22,stage_frontier_22__session_return_shock_pf_source_onnx_scout,f22b_0263__hold2_atr0p8_tp1p6_cd0,completed_runtime_probe_observation(런타임 탐침 관찰 완료),2,2,True,1.0,13.41,1305.0,2.8271587481146305,"entry_preserved_exit_risk_representation_gap(진입 보존, 청산/위험 표현 간극)","[""account_risk_scaling_gap(계좌 위험 스케일 간극):2"", ""drawdown_basis_gap(손실폭 기준 간극):2"", ""signal_handoff_exact(신호 인계 정확):2""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
23,stage_frontier_23__payoff_asymmetry_pf_source_onnx_scout,f23c_0123,completed_runtime_probe_observation(런타임 탐침 관찰 완료),2,2,True,0.81,60.81,552.0,1.1881881598793362,rule_proxy_execution_economics_gap(규칙 프록시 실행/경제성 간극),"[""account_risk_scaling_gap(계좌 위험 스케일 간극):2"", ""drawdown_basis_gap(손실폭 기준 간극):2"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극):2"", ""profitability_repricing_gap(수익성 재가격화 간극):1"", ""signal_handoff_exact(신호 인계 정확):2""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
24,stage_frontier_24__density_bridge_payoff_pockets_onnx_scout,f24c_0105,completed_runtime_probe_observation(런타임 탐침 관찰 완료),2,2,True,1.12,33.95,397.0,0.8524509803921569,rule_proxy_execution_economics_gap(규칙 프록시 실행/경제성 간극),"[""account_risk_scaling_gap(계좌 위험 스케일 간극):2"", ""drawdown_basis_gap(손실폭 기준 간극):1"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극):2"", ""signal_handoff_exact(신호 인계 정확):2""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
25,stage_frontier_25__bridge_archetype_preselection_onnx_scout,f25b_0022,completed_runtime_probe_observation(런타임 탐침 관찰 완료),2,2,True,0.9,58.53,449.0,0.9632824283559578,rule_proxy_execution_economics_gap(규칙 프록시 실행/경제성 간극),"[""account_risk_scaling_gap(계좌 위험 스케일 간극):2"", ""drawdown_basis_gap(손실폭 기준 간극):2"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극):2"", ""profitability_repricing_gap(수익성 재가격화 간극):1"", ""signal_handoff_exact(신호 인계 정확):2""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
26,stage_frontier_26__joint_micro_satisfaction_before_bridge_union_onnx_scout,,logic_zero_signal_no_mt5_attempt,0,0,,,,,,"stage_logic_zero_signal_no_mt5_attempt(단계 로직상 신호 0, MT5 시도 없음)",stage_hypothesis_materialized_to_zero_nonflat_signal(단계 가설이 비평탄 신호 0으로 물질화됨),runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
27,stage_frontier_27__soft_joint_satisfaction_penalty_bridge_union_onnx_scout,f27b_0181,completed_runtime_probe_observation(런타임 탐침 관찰 완료),2,2,True,0.89,51.63,483.0,1.0388480392156862,rule_proxy_execution_economics_gap(규칙 프록시 실행/경제성 간극),"[""account_risk_scaling_gap(계좌 위험 스케일 간극):2"", ""drawdown_basis_gap(손실폭 기준 간극):2"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극):2"", ""profitability_repricing_gap(수익성 재가격화 간극):1"", ""signal_handoff_exact(신호 인계 정확):2""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
28,stage_frontier_28__train_only_stability_gap_penalty_for_pf_dd_balance_onnx_scout,f28b_0001,completed_runtime_probe_observation(런타임 탐침 관찰 완료),2,2,True,1.0,40.4,450.0,0.96875,rule_proxy_execution_economics_gap(규칙 프록시 실행/경제성 간극),"[""account_risk_scaling_gap(계좌 위험 스케일 간극):2"", ""drawdown_basis_gap(손실폭 기준 간극):2"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극):2"", ""signal_handoff_exact(신호 인계 정확):2""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
29,stage_frontier_29__train_only_loss_concentration_veto_for_pf_dd_balance_onnx_scout,f29b_0274,completed_runtime_probe_observation(런타임 탐침 관찰 완료),2,2,True,1.1,38.83,182.0,0.3882730015082956,rule_proxy_execution_economics_gap(규칙 프록시 실행/경제성 간극),"[""account_risk_scaling_gap(계좌 위험 스케일 간극):2"", ""drawdown_basis_gap(손실폭 기준 간극):2"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극):2"", ""profitability_repricing_gap(수익성 재가격화 간극):1"", ""signal_handoff_exact(신호 인계 정확):2""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
30,stage_frontier_30__train_density_preserving_selector_before_loss_veto_or_exit_shape_pivot_onnx_scout,f30b_0214,completed_runtime_probe_observation(런타임 탐침 관찰 완료),2,2,True,0.89,51.63,483.0,1.0388480392156862,rule_proxy_execution_economics_gap(규칙 프록시 실행/경제성 간극),"[""account_risk_scaling_gap(계좌 위험 스케일 간극):2"", ""drawdown_basis_gap(손실폭 기준 간극):2"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극):2"", ""profitability_repricing_gap(수익성 재가격화 간극):1"", ""signal_handoff_exact(신호 인계 정확):2""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
31,stage_frontier_31__exit_shape_pivot_for_density_preserved_source_scout_pf_lift_onnx_scout,f31b_0013,completed_runtime_probe_observation(런타임 탐침 관찰 완료),2,2,True,0.98,30.58,600.0,1.2909407993966817,rule_proxy_execution_economics_gap(규칙 프록시 실행/경제성 간극),"[""account_risk_scaling_gap(계좌 위험 스케일 간극):2"", ""drawdown_basis_gap(손실폭 기준 간극):2"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극):2"", ""profitability_repricing_gap(수익성 재가격화 간극):2"", ""signal_handoff_exact(신호 인계 정확):2""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
32,stage_frontier_32__executable_sl_tp_mapping_for_return_space_exit_shape_handoff_surface_onnx_scout,f32b_0004,completed_runtime_probe_observation(런타임 탐침 관찰 완료),2,2,True,0.98,29.23,584.0,1.2578996983408748,rule_proxy_execution_economics_gap(규칙 프록시 실행/경제성 간극),"[""account_risk_scaling_gap(계좌 위험 스케일 간극):2"", ""drawdown_basis_gap(손실폭 기준 간극):2"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극):2"", ""signal_handoff_exact(신호 인계 정확):2""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
33,stage_frontier_33__path_native_exit_label_or_mfe_mae_surface_for_density_edge_onnx_scout,f33b_0176,completed_runtime_probe_observation(런타임 탐침 관찰 완료),2,2,True,0.77,33.36,366.0,0.7896587481146304,rule_proxy_execution_economics_gap(규칙 프록시 실행/경제성 간극),"[""account_risk_scaling_gap(계좌 위험 스케일 간극):2"", ""drawdown_basis_gap(손실폭 기준 간극):2"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극):2"", ""profitability_repricing_gap(수익성 재가격화 간극):1"", ""signal_handoff_exact(신호 인계 정확):2""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
34,stage_frontier_34__path_native_short_scout_dd_compression_state_gate_for_seed_surface_onnx_scout,,logic_zero_signal_no_mt5_attempt,0,0,,,,,,"stage_logic_zero_signal_no_mt5_attempt(단계 로직상 신호 0, MT5 시도 없음)",stage_hypothesis_materialized_to_zero_nonflat_signal(단계 가설이 비평탄 신호 0으로 물질화됨),runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
35,stage_frontier_35__dd_compressed_short_state_pf_source_lift_for_seed_surface_onnx_scout,f35b_0044,completed_runtime_probe_observation(런타임 탐침 관찰 완료),2,2,True,1.25,5.78,22.0,0.046248114630467574,rule_proxy_execution_economics_gap(규칙 프록시 실행/경제성 간극),"[""drawdown_basis_gap(손실폭 기준 간극):1"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극):2"", ""profitability_repricing_gap(수익성 재가격화 간극):1"", ""signal_handoff_exact(신호 인계 정확):2""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
36,stage_frontier_36__short_pf_lift_source_change_or_label_pivot_for_seed_surface_onnx_scout,f36b_0209,completed_runtime_probe_observation(런타임 탐침 관찰 완료),2,2,True,0.99,19.51,561.0,1.2003770739064856,rule_proxy_execution_economics_gap(규칙 프록시 실행/경제성 간극),"[""account_risk_scaling_gap(계좌 위험 스케일 간극):2"", ""drawdown_basis_gap(손실폭 기준 간극):1"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극):2"", ""signal_handoff_exact(신호 인계 정확):2""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
37,stage_frontier_37__short_pf_edge_label_family_pivot_after_source_utility_scout,f37b_0017,completed_runtime_probe_observation(런타임 탐침 관찰 완료),2,2,True,1.06,15.33,1006.0,2.1497737556561085,rule_proxy_execution_economics_gap(규칙 프록시 실행/경제성 간극),"[""account_risk_scaling_gap(계좌 위험 스케일 간극):1"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극):2"", ""signal_handoff_exact(신호 인계 정확):2""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
38,stage_frontier_38__short_pf_edge_source_family_or_model_pivot_after_payoff_label_negative,f38c_0058,completed_runtime_probe_observation(런타임 탐침 관찰 완료),2,2,True,0.97,19.3,1304.0,2.80717383107089,signal_compression_execution_gap(신호 압축/실행 간극),"[""account_risk_scaling_gap(계좌 위험 스케일 간극):2"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극):2"", ""signal_handoff_exact(신호 인계 정확):2""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
39,stage_frontier_39__short_pf_edge_regime_conditioned_score_after_f38_scout_only,f39b_0001,completed_runtime_probe_observation(런타임 탐침 관찰 완료),2,2,True,0.92,21.12,677.0,1.4520833333333334,signal_compression_execution_gap(신호 압축/실행 간극),"[""account_risk_scaling_gap(계좌 위험 스케일 간극):2"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극):2"", ""signal_handoff_exact(신호 인계 정확):2""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
40,stage_frontier_40__short_pf_edge_non_score_source_pivot_after_regime_gate_negative,f40b_0001,completed_runtime_probe_observation(런타임 탐침 관찰 완료),2,2,True,1.13,14.2,766.0,1.6389140271493212,rule_proxy_execution_economics_gap(규칙 프록시 실행/경제성 간극),"[""account_risk_scaling_gap(계좌 위험 스케일 간극):2"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극):2"", ""signal_handoff_exact(신호 인계 정확):2""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
41,stage_frontier_41__short_pf_edge_exit_shape_source_pivot_after_f40_raw_pocket_scout,f40b_0013_initial_exit_family_hold04_s18_t86,completed_runtime_probe_observation(런타임 탐침 관찰 완료),2,2,True,1.04,14.65,1073.0,2.2867269984917042,signal_compression_execution_gap(신호 압축/실행 간극),"[""account_risk_scaling_gap(계좌 위험 스케일 간극):2"", ""drawdown_basis_gap(손실폭 기준 간극):2"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극):2"", ""signal_handoff_exact(신호 인계 정확):2""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
42,stage_frontier_42__short_pf_edge_timing_source_pivot_after_f41_exit_shape_negative,f40b_0010_session_morning_5_120_session_morning_5_120_hold12_s18_t86,completed_runtime_probe_observation(런타임 탐침 관찰 완료),2,2,True,0.94,22.51,1428.0,3.0416478129713425,signal_compression_execution_gap(신호 압축/실행 간극),"[""account_risk_scaling_gap(계좌 위험 스케일 간극):2"", ""drawdown_basis_gap(손실폭 기준 간극):2"", ""position_cap_hold_time_density_gap(단일 포지션/보유시간에 따른 거래 밀도 간극):2"", ""signal_handoff_exact(신호 인계 정확):2""]",runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
