package_id,branch_id,branch_name,branch_type,failure_axes,source_binding_count,missing_source_count,evidence_requirement_count,negative_control_count,stop_condition_count,tier_kpi_rows,runtime_gate_count,payload_path,payload_sha256,package_status,selection_eligible,claim_boundary
run335D_materialize_guarded_branch_research_inputs_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,single_axis_guard,"[""cost_stress""]",4,0,8,1,6,3,0,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335D/branch_payloads/run335C_b01_cost_spread_slippage_grid_guard.json,c53492a0df1a5de639528bb861b83e645509b9490fbc8212943a6c16a7b5db4f,materialized_input_spec_only,false,research_development_only_stage335D_branch_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335D_materialize_guarded_branch_research_inputs_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,single_axis_guard,"[""curve_pocket""]",5,0,8,1,6,3,0,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335D/branch_payloads/run335C_b02_curve_noncalendar_state_holdout.json,4248759a6ade0986271e4e2a63058b8de7be1ecdb2d923a05de1d62b0c663c09,materialized_input_spec_only,false,research_development_only_stage335D_branch_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335D_materialize_guarded_branch_research_inputs_v1__direction_symmetry_no_side_drop,run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,single_axis_guard,"[""direction""]",4,0,8,1,6,3,0,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335D/branch_payloads/run335C_b03_direction_symmetry_no_side_drop.json,488c797287f6a203ca113ccf106f1dee0ee50c2ed43367680d29bc5404e8cdb0,materialized_input_spec_only,false,research_development_only_stage335D_branch_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335D_materialize_guarded_branch_research_inputs_v1__drawdown_underwater_recovery_quality,run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,single_axis_guard,"[""drawdown_shape""]",5,0,8,1,6,3,0,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335D/branch_payloads/run335C_b04_drawdown_underwater_recovery_quality.json,41a1a8c705b1fce90fc3630cb1027eafb65147e8933fcce2d89e607437863fc7,materialized_input_spec_only,false,research_development_only_stage335D_branch_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335D_materialize_guarded_branch_research_inputs_v1__regime_predeclared_macro_state,run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,single_axis_guard,"[""regime_slice""]",5,0,8,1,6,3,0,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335D/branch_payloads/run335C_b05_regime_predeclared_macro_state.json,f365b3aad1ecd8be398820df684a6c65e16e2eb75261651c4caa8400a37544af,materialized_input_spec_only,false,research_development_only_stage335D_branch_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335D_materialize_guarded_branch_research_inputs_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,runtime_guard,"[""runtime_parity""]",5,0,8,1,6,3,5,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335D/branch_payloads/run335C_b06_runtime_identity_strict_handoff.json,c00739a36f6472542dd2310dd096b3db25652541fa105454592f16287705ef43,materialized_input_spec_only,false,research_development_only_stage335D_branch_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335D_materialize_guarded_branch_research_inputs_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,subject_boundary_guard,"[""cp322a_exact_forward_handoff_missing""]",5,0,8,1,6,3,5,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335D/branch_payloads/run335C_b07_cp322a_exact_blocker_control.json,f6333685baaf76681af641921d8b0d049a10b992d52d9adb1688c5c4756a8ff6,materialized_input_spec_only,false,research_development_only_stage335D_branch_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335D_materialize_guarded_branch_research_inputs_v1__cost_curve_drawdown_interaction_guard,run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,cross_axis_guard,"[""cost_stress"", ""curve_pocket"", ""drawdown_shape""]",8,0,8,3,6,3,0,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335D/branch_payloads/run335C_b08_cost_curve_drawdown_interaction_guard.json,d8964e9a50f83d1928bc9b4e7b5f6c5946b89aaa2346a2b68a5547106e3f05b0,materialized_input_spec_only,false,research_development_only_stage335D_branch_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335D_materialize_guarded_branch_research_inputs_v1__regime_direction_interaction_guard,run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,cross_axis_guard,"[""regime_slice"", ""direction""]",7,0,8,2,6,3,0,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335D/branch_payloads/run335C_b09_regime_direction_interaction_guard.json,5cff2728a624a0325ec5ac96723853becf305529f6b55f3ed100397d3ed0b0cd,materialized_input_spec_only,false,research_development_only_stage335D_branch_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335D_materialize_guarded_branch_research_inputs_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,negative_control_guard,"[""runtime_parity"", ""cp322a_exact_forward_handoff_missing""]",10,0,8,2,6,3,5,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335D/branch_payloads/run335C_b10_subject_swap_negative_control.json,ac0c6cc2585c9f9bb0c14c47ae26a97c47045333813a8e9a55eb765db407ecfb,materialized_input_spec_only,false,research_development_only_stage335D_branch_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335D_materialize_guarded_branch_research_inputs_v1__null_adjacent_period_control,run335C_b11_null_adjacent_period_control,null_adjacent_period_control,global_negative_control,"[""cost_stress"", ""curve_pocket"", ""direction"", ""drawdown_shape"", ""regime_slice"", ""runtime_parity"", ""cp322a_exact_forward_handoff_missing""]",22,0,8,7,6,3,5,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335D/branch_payloads/run335C_b11_null_adjacent_period_control.json,746a4d3603fdaf98964f554bb01afe2789dcc2fb746dec10965d4ed4ea5a7392,materialized_input_spec_only,false,research_development_only_stage335D_branch_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
