branch_id,stop_rule_id,trigger,required_action,claim_effect
run335C_b01_cost_spread_slippage_grid_guard,forbidden_tuning_required,"improvement requires threshold, lot, stop, target, or direct pocket filter",stop_or_downgrade,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b01_cost_spread_slippage_grid_guard,negative_control_tracks_target,negative control improves similarly to target branch,downgrade_to_overfit_memory,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b01_cost_spread_slippage_grid_guard,tier_view_missing,"Tier A, Tier B, or combined view is absent without explicit boundary",missing_required_or_blocked,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b01_cost_spread_slippage_grid_guard,runtime_evidence_missing,MT5 tester report or telemetry is absent,no_runtime_claim,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b01_cost_spread_slippage_grid_guard,subject_boundary_break,cp322A exact is mixed with run333E or non-identity evidence,invalid_or_must_reject,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b01_cost_spread_slippage_grid_guard,data_identity_mismatch,"source hash, row count, or time-axis identity mismatches",blocked_until_repaired,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b02_curve_noncalendar_state_holdout,forbidden_tuning_required,"improvement requires threshold, lot, stop, target, or direct pocket filter",stop_or_downgrade,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b02_curve_noncalendar_state_holdout,negative_control_tracks_target,negative control improves similarly to target branch,downgrade_to_overfit_memory,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b02_curve_noncalendar_state_holdout,tier_view_missing,"Tier A, Tier B, or combined view is absent without explicit boundary",missing_required_or_blocked,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b02_curve_noncalendar_state_holdout,runtime_evidence_missing,MT5 tester report or telemetry is absent,no_runtime_claim,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b02_curve_noncalendar_state_holdout,subject_boundary_break,cp322A exact is mixed with run333E or non-identity evidence,invalid_or_must_reject,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b02_curve_noncalendar_state_holdout,data_identity_mismatch,"source hash, row count, or time-axis identity mismatches",blocked_until_repaired,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b03_direction_symmetry_no_side_drop,forbidden_tuning_required,"improvement requires threshold, lot, stop, target, or direct pocket filter",stop_or_downgrade,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b03_direction_symmetry_no_side_drop,negative_control_tracks_target,negative control improves similarly to target branch,downgrade_to_overfit_memory,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b03_direction_symmetry_no_side_drop,tier_view_missing,"Tier A, Tier B, or combined view is absent without explicit boundary",missing_required_or_blocked,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b03_direction_symmetry_no_side_drop,runtime_evidence_missing,MT5 tester report or telemetry is absent,no_runtime_claim,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b03_direction_symmetry_no_side_drop,subject_boundary_break,cp322A exact is mixed with run333E or non-identity evidence,invalid_or_must_reject,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b03_direction_symmetry_no_side_drop,data_identity_mismatch,"source hash, row count, or time-axis identity mismatches",blocked_until_repaired,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b04_drawdown_underwater_recovery_quality,forbidden_tuning_required,"improvement requires threshold, lot, stop, target, or direct pocket filter",stop_or_downgrade,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b04_drawdown_underwater_recovery_quality,negative_control_tracks_target,negative control improves similarly to target branch,downgrade_to_overfit_memory,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b04_drawdown_underwater_recovery_quality,tier_view_missing,"Tier A, Tier B, or combined view is absent without explicit boundary",missing_required_or_blocked,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b04_drawdown_underwater_recovery_quality,runtime_evidence_missing,MT5 tester report or telemetry is absent,no_runtime_claim,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b04_drawdown_underwater_recovery_quality,subject_boundary_break,cp322A exact is mixed with run333E or non-identity evidence,invalid_or_must_reject,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b04_drawdown_underwater_recovery_quality,data_identity_mismatch,"source hash, row count, or time-axis identity mismatches",blocked_until_repaired,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b05_regime_predeclared_macro_state,forbidden_tuning_required,"improvement requires threshold, lot, stop, target, or direct pocket filter",stop_or_downgrade,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b05_regime_predeclared_macro_state,negative_control_tracks_target,negative control improves similarly to target branch,downgrade_to_overfit_memory,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b05_regime_predeclared_macro_state,tier_view_missing,"Tier A, Tier B, or combined view is absent without explicit boundary",missing_required_or_blocked,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b05_regime_predeclared_macro_state,runtime_evidence_missing,MT5 tester report or telemetry is absent,no_runtime_claim,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b05_regime_predeclared_macro_state,subject_boundary_break,cp322A exact is mixed with run333E or non-identity evidence,invalid_or_must_reject,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b05_regime_predeclared_macro_state,data_identity_mismatch,"source hash, row count, or time-axis identity mismatches",blocked_until_repaired,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b06_runtime_identity_strict_handoff,forbidden_tuning_required,"improvement requires threshold, lot, stop, target, or direct pocket filter",stop_or_downgrade,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b06_runtime_identity_strict_handoff,negative_control_tracks_target,negative control improves similarly to target branch,downgrade_to_overfit_memory,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b06_runtime_identity_strict_handoff,tier_view_missing,"Tier A, Tier B, or combined view is absent without explicit boundary",missing_required_or_blocked,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b06_runtime_identity_strict_handoff,runtime_evidence_missing,MT5 tester report or telemetry is absent,no_runtime_claim,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b06_runtime_identity_strict_handoff,subject_boundary_break,cp322A exact is mixed with run333E or non-identity evidence,invalid_or_must_reject,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b06_runtime_identity_strict_handoff,data_identity_mismatch,"source hash, row count, or time-axis identity mismatches",blocked_until_repaired,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b07_cp322a_exact_blocker_control,forbidden_tuning_required,"improvement requires threshold, lot, stop, target, or direct pocket filter",stop_or_downgrade,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b07_cp322a_exact_blocker_control,negative_control_tracks_target,negative control improves similarly to target branch,downgrade_to_overfit_memory,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b07_cp322a_exact_blocker_control,tier_view_missing,"Tier A, Tier B, or combined view is absent without explicit boundary",missing_required_or_blocked,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b07_cp322a_exact_blocker_control,runtime_evidence_missing,MT5 tester report or telemetry is absent,no_runtime_claim,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b07_cp322a_exact_blocker_control,subject_boundary_break,cp322A exact is mixed with run333E or non-identity evidence,invalid_or_must_reject,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b07_cp322a_exact_blocker_control,data_identity_mismatch,"source hash, row count, or time-axis identity mismatches",blocked_until_repaired,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b08_cost_curve_drawdown_interaction_guard,forbidden_tuning_required,"improvement requires threshold, lot, stop, target, or direct pocket filter",stop_or_downgrade,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b08_cost_curve_drawdown_interaction_guard,negative_control_tracks_target,negative control improves similarly to target branch,downgrade_to_overfit_memory,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b08_cost_curve_drawdown_interaction_guard,tier_view_missing,"Tier A, Tier B, or combined view is absent without explicit boundary",missing_required_or_blocked,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b08_cost_curve_drawdown_interaction_guard,runtime_evidence_missing,MT5 tester report or telemetry is absent,no_runtime_claim,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b08_cost_curve_drawdown_interaction_guard,subject_boundary_break,cp322A exact is mixed with run333E or non-identity evidence,invalid_or_must_reject,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b08_cost_curve_drawdown_interaction_guard,data_identity_mismatch,"source hash, row count, or time-axis identity mismatches",blocked_until_repaired,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b09_regime_direction_interaction_guard,forbidden_tuning_required,"improvement requires threshold, lot, stop, target, or direct pocket filter",stop_or_downgrade,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b09_regime_direction_interaction_guard,negative_control_tracks_target,negative control improves similarly to target branch,downgrade_to_overfit_memory,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b09_regime_direction_interaction_guard,tier_view_missing,"Tier A, Tier B, or combined view is absent without explicit boundary",missing_required_or_blocked,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b09_regime_direction_interaction_guard,runtime_evidence_missing,MT5 tester report or telemetry is absent,no_runtime_claim,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b09_regime_direction_interaction_guard,subject_boundary_break,cp322A exact is mixed with run333E or non-identity evidence,invalid_or_must_reject,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b09_regime_direction_interaction_guard,data_identity_mismatch,"source hash, row count, or time-axis identity mismatches",blocked_until_repaired,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b10_subject_swap_negative_control,forbidden_tuning_required,"improvement requires threshold, lot, stop, target, or direct pocket filter",stop_or_downgrade,no Forward Passed/Failed and no Goal Achieve under this condition
run335C_b10_subject_swap_negative_control,negative_control_tracks_target,negative control improves similarly to target branch,downgrade_to_overfit_memory,no Forward Passed/Failed and no Goal Achieve under this condition
