branch_id,requirement,required_before,evidence,forbidden_shortcut,runtime_claim_boundary,run335C_status
run335C_b06_runtime_identity_strict_handoff,exact_feature_order,runtime_probe,feature_order_hash and adapter manifest,Python column order assumed from file name,not_applicable_until_mt5_tester_output_and_telemetry_exist,required_for_future_runtime_branch
run335C_b06_runtime_identity_strict_handoff,model_identity,runtime_probe,"ONNX sha256, package manifest, threshold policy",bridge ONNX treated as cp322A exact,not_applicable_until_mt5_tester_output_and_telemetry_exist,required_for_future_runtime_branch
run335C_b06_runtime_identity_strict_handoff,file_handoff_identity,runtime_probe,"handoff manifest, row counts, signal timestamps",compile-only parity,not_applicable_until_mt5_tester_output_and_telemetry_exist,required_for_future_runtime_branch
run335C_b06_runtime_identity_strict_handoff,MT5_strategy_tester_output,runtime_authority_candidate,"tester report, telemetry, settings, spread/slippage record",Python KPI used as runtime authority,not_applicable_until_mt5_tester_output_and_telemetry_exist,required_for_future_runtime_branch
run335C_b06_runtime_identity_strict_handoff,cp322a_exact_subject_boundary,any cp322A exact Forward Passed/Failed claim,genuine post-2026-04-14 route-signal source; source_authority_gate=stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334B/source_authority_gate_receipt.csv,run333E bridge or non-identity evidence treated as cp322A exact handoff,cp322A exact remains blocked unless exact handoff is proven,required_for_future_runtime_branch
run335C_b07_cp322a_exact_blocker_control,exact_feature_order,runtime_probe,feature_order_hash and adapter manifest,Python column order assumed from file name,not_applicable_until_mt5_tester_output_and_telemetry_exist,required_for_future_runtime_branch
run335C_b07_cp322a_exact_blocker_control,model_identity,runtime_probe,"ONNX sha256, package manifest, threshold policy",bridge ONNX treated as cp322A exact,not_applicable_until_mt5_tester_output_and_telemetry_exist,required_for_future_runtime_branch
run335C_b07_cp322a_exact_blocker_control,file_handoff_identity,runtime_probe,"handoff manifest, row counts, signal timestamps",compile-only parity,not_applicable_until_mt5_tester_output_and_telemetry_exist,required_for_future_runtime_branch
run335C_b07_cp322a_exact_blocker_control,MT5_strategy_tester_output,runtime_authority_candidate,"tester report, telemetry, settings, spread/slippage record",Python KPI used as runtime authority,not_applicable_until_mt5_tester_output_and_telemetry_exist,required_for_future_runtime_branch
run335C_b07_cp322a_exact_blocker_control,cp322a_exact_subject_boundary,any cp322A exact Forward Passed/Failed claim,genuine post-2026-04-14 route-signal source; source_authority_gate=stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334B/source_authority_gate_receipt.csv,run333E bridge or non-identity evidence treated as cp322A exact handoff,cp322A exact remains blocked unless exact handoff is proven,required_for_future_runtime_branch
run335C_b10_subject_swap_negative_control,exact_feature_order,runtime_probe,feature_order_hash and adapter manifest,Python column order assumed from file name,not_applicable_until_mt5_tester_output_and_telemetry_exist,required_for_future_runtime_branch
run335C_b10_subject_swap_negative_control,model_identity,runtime_probe,"ONNX sha256, package manifest, threshold policy",bridge ONNX treated as cp322A exact,not_applicable_until_mt5_tester_output_and_telemetry_exist,required_for_future_runtime_branch
run335C_b10_subject_swap_negative_control,file_handoff_identity,runtime_probe,"handoff manifest, row counts, signal timestamps",compile-only parity,not_applicable_until_mt5_tester_output_and_telemetry_exist,required_for_future_runtime_branch
run335C_b10_subject_swap_negative_control,MT5_strategy_tester_output,runtime_authority_candidate,"tester report, telemetry, settings, spread/slippage record",Python KPI used as runtime authority,not_applicable_until_mt5_tester_output_and_telemetry_exist,required_for_future_runtime_branch
run335C_b10_subject_swap_negative_control,cp322a_exact_subject_boundary,any cp322A exact Forward Passed/Failed claim,genuine post-2026-04-14 route-signal source; source_authority_gate=stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334B/source_authority_gate_receipt.csv,run333E bridge or non-identity evidence treated as cp322A exact handoff,cp322A exact remains blocked unless exact handoff is proven,required_for_future_runtime_branch
run335C_b11_null_adjacent_period_control,exact_feature_order,runtime_probe,feature_order_hash and adapter manifest,Python column order assumed from file name,not_applicable_until_mt5_tester_output_and_telemetry_exist,required_for_future_runtime_branch
run335C_b11_null_adjacent_period_control,model_identity,runtime_probe,"ONNX sha256, package manifest, threshold policy",bridge ONNX treated as cp322A exact,not_applicable_until_mt5_tester_output_and_telemetry_exist,required_for_future_runtime_branch
run335C_b11_null_adjacent_period_control,file_handoff_identity,runtime_probe,"handoff manifest, row counts, signal timestamps",compile-only parity,not_applicable_until_mt5_tester_output_and_telemetry_exist,required_for_future_runtime_branch
run335C_b11_null_adjacent_period_control,MT5_strategy_tester_output,runtime_authority_candidate,"tester report, telemetry, settings, spread/slippage record",Python KPI used as runtime authority,not_applicable_until_mt5_tester_output_and_telemetry_exist,required_for_future_runtime_branch
run335C_b11_null_adjacent_period_control,cp322a_exact_subject_boundary,any cp322A exact Forward Passed/Failed claim,genuine post-2026-04-14 route-signal source; source_authority_gate=stages/334_runtime_parity__forward_usable_onnx_handoff_contract_hardening/02_runs/run334B/source_authority_gate_receipt.csv,run333E bridge or non-identity evidence treated as cp322A exact handoff,cp322A exact remains blocked unless exact handoff is proven,required_for_future_runtime_branch
