queue_id,candidate_alias,source_profile_label,source_variant_id,source_attempt_name,tier,source_set_path,source_ini_path,source_feature_file,source_model_file,reproduction_status,effect,claim_boundary
cu_q02_s258_redzone_monday_dd_pressure,s258_stc,redzone_stress_blast,run267cr_07_s258_stc_redzone_stress,run267cr_07_s258_stc_redzone_stress_ta_2024,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/mt5/run267cr_07_s258_stc_redzone_stress_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/mt5/run267cr_07_s258_stc_redzone_stress_ta_2024.ini,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/features/s258_stc/run267cr_07_s258_stc_redzone_stress/run267cr_07_s258_stc_redzone_stress_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/variants/s258_stc/run267cr_07_s258_stc_redzone_stress/models/run267cr_07_s258_stc_redzone_stress_model.csv,source_run267CR_profile_reused_with_one_added_run267CV_feature,source run267CR profile remains comparison anchor while run267CV adds one explicit follow-up/prune feature,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
cu_q02_s258_redzone_monday_dd_pressure,s258_stc,redzone_stress_blast,run267cr_07_s258_stc_redzone_stress,run267cr_07_s258_stc_redzone_stress_rt_2024,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/mt5/run267cr_07_s258_stc_redzone_stress_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/mt5/run267cr_07_s258_stc_redzone_stress_rt_2024.ini,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/features/s258_stc/run267cr_07_s258_stc_redzone_stress/run267cr_07_s258_stc_redzone_stress_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/variants/s258_stc/run267cr_07_s258_stc_redzone_stress/models/run267cr_07_s258_stc_redzone_stress_model.csv,source_run267CR_profile_reused_with_one_added_run267CV_feature,source run267CR profile remains comparison anchor while run267CV adds one explicit follow-up/prune feature,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
cu_q04_aih_aggressive_supply_repair_or_prune,s264_aih,aggressive_shock_supply_expansion,run267cr_06_s264_aih_aggr_supply_expand,run267cr_06_s264_aih_aggr_supply_expand_ta_2024,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/mt5/run267cr_06_s264_aih_aggr_supply_expand_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/mt5/run267cr_06_s264_aih_aggr_supply_expand_ta_2024.ini,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/features/s264_aih/run267cr_06_s264_aih_aggr_supply_expand/run267cr_06_s264_aih_aggr_supply_expand_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/variants/s264_aih/run267cr_06_s264_aih_aggr_supply_expand/models/run267cr_06_s264_aih_aggr_supply_expand_model.csv,source_run267CR_profile_reused_with_one_added_run267CV_feature,source run267CR profile remains comparison anchor while run267CV adds one explicit follow-up/prune feature,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
cu_q04_aih_aggressive_supply_repair_or_prune,s264_aih,aggressive_shock_supply_expansion,run267cr_06_s264_aih_aggr_supply_expand,run267cr_06_s264_aih_aggr_supply_expand_rt_2024,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/mt5/run267cr_06_s264_aih_aggr_supply_expand_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/mt5/run267cr_06_s264_aih_aggr_supply_expand_rt_2024.ini,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/features/s264_aih/run267cr_06_s264_aih_aggr_supply_expand/run267cr_06_s264_aih_aggr_supply_expand_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/variants/s264_aih/run267cr_06_s264_aih_aggr_supply_expand/models/run267cr_06_s264_aih_aggr_supply_expand_model.csv,source_run267CR_profile_reused_with_one_added_run267CV_feature,source run267CR profile remains comparison anchor while run267CV adds one explicit follow-up/prune feature,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
cu_q05_explosive_shock_state_combo,s264_aih,state_phase_monday_replacement,run267cr_01_s264_aih_state_phase_repl,run267cr_01_s264_aih_state_phase_repl_ta_2024,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/mt5/run267cr_01_s264_aih_state_phase_repl_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/mt5/run267cr_01_s264_aih_state_phase_repl_ta_2024.ini,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/features/s264_aih/run267cr_01_s264_aih_state_phase_repl/run267cr_01_s264_aih_state_phase_repl_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/variants/s264_aih/run267cr_01_s264_aih_state_phase_repl/models/run267cr_01_s264_aih_state_phase_repl_model.csv,source_run267CR_profile_reused_with_one_added_run267CV_feature,source run267CR profile remains comparison anchor while run267CV adds one explicit follow-up/prune feature,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
cu_q05_explosive_shock_state_combo,s264_aih,state_phase_monday_replacement,run267cr_01_s264_aih_state_phase_repl,run267cr_01_s264_aih_state_phase_repl_rt_2024,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/mt5/run267cr_01_s264_aih_state_phase_repl_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/mt5/run267cr_01_s264_aih_state_phase_repl_rt_2024.ini,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/features/s264_aih/run267cr_01_s264_aih_state_phase_repl/run267cr_01_s264_aih_state_phase_repl_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/variants/s264_aih/run267cr_01_s264_aih_state_phase_repl/models/run267cr_01_s264_aih_state_phase_repl_model.csv,source_run267CR_profile_reused_with_one_added_run267CV_feature,source run267CR profile remains comparison anchor while run267CV adds one explicit follow-up/prune feature,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
cu_q05_explosive_shock_state_combo,s264_aia,state_phase_monday_replacement,run267cr_04_s264_aia_state_phase_repl,run267cr_04_s264_aia_state_phase_repl_ta_2024,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/mt5/run267cr_04_s264_aia_state_phase_repl_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/mt5/run267cr_04_s264_aia_state_phase_repl_ta_2024.ini,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/features/s264_aia/run267cr_04_s264_aia_state_phase_repl/run267cr_04_s264_aia_state_phase_repl_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/variants/s264_aia/run267cr_04_s264_aia_state_phase_repl/models/run267cr_04_s264_aia_state_phase_repl_model.csv,source_run267CR_profile_reused_with_one_added_run267CV_feature,source run267CR profile remains comparison anchor while run267CV adds one explicit follow-up/prune feature,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
cu_q05_explosive_shock_state_combo,s264_aia,state_phase_monday_replacement,run267cr_04_s264_aia_state_phase_repl,run267cr_04_s264_aia_state_phase_repl_rt_2024,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/mt5/run267cr_04_s264_aia_state_phase_repl_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/mt5/run267cr_04_s264_aia_state_phase_repl_rt_2024.ini,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/features/s264_aia/run267cr_04_s264_aia_state_phase_repl/run267cr_04_s264_aia_state_phase_repl_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/variants/s264_aia/run267cr_04_s264_aia_state_phase_repl/models/run267cr_04_s264_aia_state_phase_repl_model.csv,source_run267CR_profile_reused_with_one_added_run267CV_feature,source run267CR profile remains comparison anchor while run267CV adds one explicit follow-up/prune feature,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
cu_q05_explosive_shock_state_combo,s258_stc,redzone_stress_blast,run267cr_07_s258_stc_redzone_stress,run267cr_07_s258_stc_redzone_stress_ta_2024,Tier A,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/mt5/run267cr_07_s258_stc_redzone_stress_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/mt5/run267cr_07_s258_stc_redzone_stress_ta_2024.ini,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/features/s258_stc/run267cr_07_s258_stc_redzone_stress/run267cr_07_s258_stc_redzone_stress_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/variants/s258_stc/run267cr_07_s258_stc_redzone_stress/models/run267cr_07_s258_stc_redzone_stress_model.csv,source_run267CR_profile_reused_with_one_added_run267CV_feature,source run267CR profile remains comparison anchor while run267CV adds one explicit follow-up/prune feature,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
cu_q05_explosive_shock_state_combo,s258_stc,redzone_stress_blast,run267cr_07_s258_stc_redzone_stress,run267cr_07_s258_stc_redzone_stress_rt_2024,Tier A+B,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/mt5/run267cr_07_s258_stc_redzone_stress_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/mt5/run267cr_07_s258_stc_redzone_stress_rt_2024.ini,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/features/s258_stc/run267cr_07_s258_stc_redzone_stress/run267cr_07_s258_stc_redzone_stress_features.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CR/shared_weakness_breakout_followup_materialization/variants/s258_stc/run267cr_07_s258_stc_redzone_stress/models/run267cr_07_s258_stc_redzone_stress_model.csv,source_run267CR_profile_reused_with_one_added_run267CV_feature,source run267CR profile remains comparison anchor while run267CV adds one explicit follow-up/prune feature,research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
