candidate_id,label,mechanism_family,rule_code,changes_entry_eligibility,scoring_only,direction_specific,long_short_scope,expected_trade_count_effect,over_thinning_risk,threshold_family,threshold_overrides,notes
c01_reference_no_candle_morphology,reference without candle morphology,reference/carry comparison,reference_no_candle,True,False,False,both,reference,low,broad_train_quantile_v1,,
c02_outside_bar_context,outside bar as context only,outside bar context,outside_context,True,False,False,both,lower,medium,broad_train_quantile_v1,,
c03_adverse_outside_bar_filter,adverse outside bar filter,adverse outside filter,adverse_outside_filter,True,False,True,both,slightly lower,medium,broad_train_quantile_v1,,
c04_adverse_outside_bar_directional_long,long-side adverse outside bar only,directional adverse outside,adverse_outside_long_only,True,False,True,long_only,slightly lower,medium,broad_train_quantile_v1,,
c05_adverse_outside_bar_directional_short,short-side adverse outside bar only,directional adverse outside,adverse_outside_short_only,True,False,True,short_only,slightly lower,medium,broad_train_quantile_v1,,
c06_rejection_tail_context,rejection tail as context only,rejection tail context,rejection_tail_context,True,False,False,both,lower,high,broad_train_quantile_v1,,
c07_rejection_tail_directional,direction-aware rejection tail,directional rejection tail,rejection_tail_directional,True,False,True,both,lower,high,broad_train_quantile_v1,,
c08_wide_range_doji_negative_control,wide-range doji-like negative control,negative control,wide_range_doji_negative_control,True,False,False,both,lower,high,broad_train_quantile_v1,,
c09_impulse_body_context,impulse body context,impulse body context,impulse_body_context,True,False,False,both,lower,medium,broad_train_quantile_v1,,
c10_impulse_body_directional,direction-aware impulse body,directional impulse body,impulse_body_directional,True,False,True,both,lower,medium,broad_train_quantile_v1,,
c11_narrow_range_compression_context,narrow-range compression context,compression context,narrow_compression_context,True,False,False,both,lower,high,broad_train_quantile_v1,,
c12_expansion_after_compression_context,expansion after compression context,expansion after compression,expansion_after_compression,True,False,False,both,lower,medium,broad_train_quantile_v1,,
c13_outside_bar_plus_rejection_tail,outside bar plus rejection tail,combined outside/rejection,outside_plus_rejection,True,False,True,both,much lower,high,broad_train_quantile_v1,,
c14_outside_bar_plus_impulse_body,outside bar plus impulse body,combined outside/impulse,outside_plus_impulse,True,False,True,both,much lower,high,broad_train_quantile_v1,,
c15_morphology_score_low_complexity,low-complexity morphology score,low-complexity score,morphology_score_low_complexity,True,True,True,both,moderate,medium,broad_train_quantile_v1,,
c16_directional_morphology_score,long/short separate morphology score,directional score,directional_morphology_score,True,True,True,both,moderate,medium,broad_train_quantile_v1,,
c17_morphology_contrast_extreme_sweep,extreme threshold stress test,extreme score stress,morphology_score_extreme,True,True,True,both,much lower,high,broad_train_quantile_v1,,
