source_id,artifact_path,input_lineage_judgment,review_status,review_finding,allowed_use,forbidden_use,claim_boundary
run337A_decision,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337A/final_cost_direction_curve_rebuild_packet_design_decision.json,connected,pass,source connected and hash present,review input for Stage337 protocol design,model selection or runtime authority,research_development_only_stage337C_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337A_branch_design,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337A/cost_direction_curve_branch_design_matrix.csv,connected,pass,source connected and hash present,review input for Stage337 protocol design,model selection or runtime authority,research_development_only_stage337C_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337A_gate_contract,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337A/cost_direction_curve_gate_contract.csv,connected,pass,source connected and hash present,review input for Stage337 protocol design,model selection or runtime authority,research_development_only_stage337C_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337A_proxy_contract,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337A/proxy_expected_vs_mt5_runtime_contract.csv,connected,pass,source connected and hash present,review input for Stage337 protocol design,model selection or runtime authority,research_development_only_stage337C_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337A_negative_controls,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337A/no_lookahead_negative_control_matrix.csv,connected,pass,source connected and hash present,review input for Stage337 protocol design,model selection or runtime authority,research_development_only_stage337C_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336P_failure_memory,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336P/stage336_failure_memory_handoff.csv,connected,pass,source connected and hash present,review input for Stage337 protocol design,model selection or runtime authority,research_development_only_stage337C_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336O_scorecard,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336O/forward_robustness_scorecard.csv,connected,pass,source connected and hash present,review input for Stage337 protocol design,model selection or runtime authority,research_development_only_stage337C_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336O_summary,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336O/attempt_forward_attribution_summary.csv,connected,pass,source connected and hash present,review input for Stage337 protocol design,model selection or runtime authority,research_development_only_stage337C_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336N_proxy_mt5_diff,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336N/timestamp_aligned_proxy_mt5_difference.csv,connected,pass,source connected and hash present,review input for Stage337 protocol design,model selection or runtime authority,research_development_only_stage337C_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336N_timestamp_basis,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336N/timestamp_basis_audit.csv,connected,pass,source connected and hash present,review input for Stage337 protocol design,model selection or runtime authority,research_development_only_stage337C_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336M_runtime_result,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336M/runtime_execution_result.json,connected,pass,source connected and hash present,review input for Stage337 protocol design,model selection or runtime authority,research_development_only_stage337C_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336M_tester_identity,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336M/tester_settings_identity.json,connected,pass,source connected and hash present,review input for Stage337 protocol design,model selection or runtime authority,research_development_only_stage337C_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
