candidate_id,candidate_alias,source,axis,split,bucket,trade_count,net_profit,profit_factor,quality_flag,weakness_read,priority
s258_short_tight_control,s258_stc,stage267_regular_window(정규 구간),month(월),oos,2025.10,29,22.39,1.196801,pf_below_34d,OOS 초반 PF 약함,P1(우선순위 1)
s258_short_tight_control,s258_stc,stage267_regular_window(정규 구간),month(월),oos,2026.01,33,102.71,1.555099,pf_below_34d,OOS 1월 PF 약함,P1(우선순위 1)
s258_short_tight_control,s258_stc,stage267_regular_window(정규 구간),month(월),oos,2026.02,43,157.69,1.512513,pf_below_34d,OOS 2월 PF 약함,P1(우선순위 1)
s258_short_tight_control,s258_stc,stage267_regular_window(정규 구간),month(월),oos,2026.04,15,-81.56,0.509384,negative_month,OOS 마지막 달 손실,P0(우선순위 0)
s258_short_tight_control,s258_stc,stage267_regular_window(정규 구간),month(월),validation_is,2025.01,36,24.31,1.170632,pf_below_34d,검증 1월 PF 약함,P1(우선순위 1)
s258_short_tight_control,s258_stc,stage267_regular_window(정규 구간),month(월),validation_is,2025.03,34,67.78,1.305412,pf_below_34d,검증 3월 PF 약함,P1(우선순위 1)
s258_short_tight_control,s258_stc,stage267_regular_window(정규 구간),month(월),validation_is,2025.05,32,-4.52,0.981291,negative_month,검증 5월 손실,P0(우선순위 0)
s258_short_tight_control,s258_stc,stage267_regular_window(정규 구간),month(월),validation_is,2025.08,29,135.51,1.36322,pf_below_34d,검증 8월 PF 약함,P1(우선순위 1)
s258_short_tight_control,s258_stc,stage267_regular_window(정규 구간),month(월),validation_is,2025.09,27,39.81,1.129295,pf_below_34d,검증 9월 PF 약함,P1(우선순위 1)
s262_lowrank_inner_half_filter,s262_lih,stage267_regular_window(정규 구간),month(월),oos,2025.10,23,26.71,1.332421,pf_below_34d,OOS 초반 PF 약함,P1(우선순위 1)
s262_lowrank_inner_half_filter,s262_lih,stage267_regular_window(정규 구간),month(월),oos,2025.12,21,7.58,1.052797,pf_below_34d,OOS 12월 PF 약함,P1(우선순위 1)
s262_lowrank_inner_half_filter,s262_lih,stage267_regular_window(정규 구간),month(월),oos,2026.02,40,116.75,1.482418,pf_below_34d,OOS 2월 PF 약함,P1(우선순위 1)
s262_lowrank_inner_half_filter,s262_lih,stage267_regular_window(정규 구간),month(월),oos,2026.04,14,-37.26,0.655638,negative_month,OOS 마지막 달 손실,P0(우선순위 0)
s262_lowrank_inner_half_filter,s262_lih,stage267_regular_window(정규 구간),month(월),validation_is,2025.01,33,38.68,1.320623,pf_below_34d,검증 1월 PF 약함,P1(우선순위 1)
s262_lowrank_inner_half_filter,s262_lih,stage267_regular_window(정규 구간),month(월),validation_is,2025.03,34,75.68,1.308785,pf_below_34d,검증 3월 PF 약함,P1(우선순위 1)
s262_lowrank_inner_half_filter,s262_lih,stage267_regular_window(정규 구간),month(월),validation_is,2025.05,28,26.63,1.128337,pf_below_34d,검증 5월 PF 약함,P1(우선순위 1)
s262_lowrank_inner_half_filter,s262_lih,stage267_regular_window(정규 구간),month(월),validation_is,2025.08,27,108.86,1.286248,pf_below_34d,검증 8월 PF 약함,P1(우선순위 1)
s262_lowrank_inner_half_filter,s262_lih,stage267_regular_window(정규 구간),month(월),validation_is,2025.09,25,144.12,1.548548,pf_below_34d,검증 9월 PF 약함,P1(우선순위 1)
s264_allow_inner_all_oos_anchor,s264_aia,stage267_regular_window(정규 구간),month(월),oos,2025.10,24,28.56,1.355445,pf_below_34d,OOS 초반 PF 약함,P1(우선순위 1)
s264_allow_inner_all_oos_anchor,s264_aia,stage267_regular_window(정규 구간),month(월),oos,2025.12,21,6.58,1.045106,pf_below_34d,OOS 12월 PF 약함,P1(우선순위 1)
s264_allow_inner_all_oos_anchor,s264_aia,stage267_regular_window(정규 구간),month(월),oos,2026.04,13,-41.14,0.651001,negative_month,OOS 마지막 달 손실,P0(우선순위 0)
s264_allow_inner_all_oos_anchor,s264_aia,stage267_regular_window(정규 구간),month(월),validation_is,2025.01,33,38.68,1.320623,pf_below_34d,검증 1월 PF 약함,P1(우선순위 1)
s264_allow_inner_all_oos_anchor,s264_aia,stage267_regular_window(정규 구간),month(월),validation_is,2025.03,34,77.61,1.325518,pf_below_34d,검증 3월 PF 약함,P1(우선순위 1)
s264_allow_inner_all_oos_anchor,s264_aia,stage267_regular_window(정규 구간),month(월),validation_is,2025.05,29,-2.23,0.990305,negative_month,검증 5월 손실,P0(우선순위 0)
s264_allow_inner_all_oos_anchor,s264_aia,stage267_regular_window(정규 구간),month(월),validation_is,2025.08,27,102.23,1.289489,pf_below_34d,검증 8월 PF 약함,P1(우선순위 1)
s264_allow_inner_all_oos_anchor,s264_aia,stage267_regular_window(정규 구간),month(월),validation_is,2025.09,26,91.28,1.327968,pf_below_34d,검증 9월 PF 약함,P1(우선순위 1)
s264_allow_inner_high_quarter,s264_aih,stage267_regular_window(정규 구간),month(월),oos,2025.10,23,26.71,1.332421,pf_below_34d,OOS 초반 PF 약함,P1(우선순위 1)
s264_allow_inner_high_quarter,s264_aih,stage267_regular_window(정규 구간),month(월),oos,2025.12,21,8.13,1.056329,pf_below_34d,OOS 12월 PF 약함,P1(우선순위 1)
s264_allow_inner_high_quarter,s264_aih,stage267_regular_window(정규 구간),month(월),oos,2026.04,13,-41.14,0.651001,negative_month,OOS 마지막 달 손실,P0(우선순위 0)
s264_allow_inner_high_quarter,s264_aih,stage267_regular_window(정규 구간),month(월),validation_is,2025.01,33,38.68,1.320623,pf_below_34d,검증 1월 PF 약함,P1(우선순위 1)
s264_allow_inner_high_quarter,s264_aih,stage267_regular_window(정규 구간),month(월),validation_is,2025.03,34,77.61,1.325518,pf_below_34d,검증 3월 PF 약함,P1(우선순위 1)
s264_allow_inner_high_quarter,s264_aih,stage267_regular_window(정규 구간),month(월),validation_is,2025.05,28,25.19,1.123985,pf_below_34d,검증 5월 PF 약함,P1(우선순위 1)
s264_allow_inner_high_quarter,s264_aih,stage267_regular_window(정규 구간),month(월),validation_is,2025.08,27,104.29,1.288293,pf_below_34d,검증 8월 PF 약함,P1(우선순위 1)
s264_allow_inner_high_quarter,s264_aih,stage267_regular_window(정규 구간),month(월),validation_is,2025.09,25,136.02,1.542712,pf_below_34d,검증 9월 PF 약함,P1(우선순위 1)
s264_lowrank_control,s264_lc,stage267_regular_window(정규 구간),month(월),oos,2025.10,23,26.71,1.332421,pf_below_34d,OOS 초반 PF 약함,P1(우선순위 1)
s264_lowrank_control,s264_lc,stage267_regular_window(정규 구간),month(월),oos,2025.12,21,7.58,1.052797,pf_below_34d,OOS 12월 PF 약함,P1(우선순위 1)
s264_lowrank_control,s264_lc,stage267_regular_window(정규 구간),month(월),oos,2026.04,13,-39.22,0.645357,negative_month,OOS 마지막 달 손실,P0(우선순위 0)
s264_lowrank_control,s264_lc,stage267_regular_window(정규 구간),month(월),validation_is,2025.01,33,38.68,1.320623,pf_below_34d,검증 1월 PF 약함,P1(우선순위 1)
s264_lowrank_control,s264_lc,stage267_regular_window(정규 구간),month(월),validation_is,2025.03,34,75.68,1.308785,pf_below_34d,검증 3월 PF 약함,P1(우선순위 1)
s264_lowrank_control,s264_lc,stage267_regular_window(정규 구간),month(월),validation_is,2025.05,28,26.63,1.128337,pf_below_34d,검증 5월 PF 약함,P1(우선순위 1)
s264_lowrank_control,s264_lc,stage267_regular_window(정규 구간),month(월),validation_is,2025.08,27,106.4,1.28735,pf_below_34d,검증 8월 PF 약함,P1(우선순위 1)
s264_lowrank_control,s264_lc,stage267_regular_window(정규 구간),month(월),validation_is,2025.09,25,140.86,1.548884,pf_below_34d,검증 9월 PF 약함,P1(우선순위 1)
s258_short_tight_control,s258_stc,stage267_regular_window(정규 구간),chron_segment(순서 구간),oos,late,74,334.57,1.528238,acceptable_measurement_only,OOS 후반 PF가 1.55 아래,P1(우선순위 1)
s258_short_tight_control,s258_stc,stage267_regular_window(정규 구간),chron_segment(순서 구간),validation_is,early,102,256.13,1.506937,acceptable_measurement_only,검증 초반 PF가 1.55 아래,P1(우선순위 1)
s258_short_tight_control,s258_stc,stage267_regular_window(정규 구간),chron_segment(순서 구간),validation_is,late,101,439.08,1.43644,acceptable_measurement_only,검증 후반 PF가 1.55 아래,P1(우선순위 1)
s258_short_tight_control,s258_stc,stage267_regular_window(정규 구간),chron_segment(순서 구간),validation_is,mid,101,348.78,1.510764,acceptable_measurement_only,검증 중반 PF가 1.55 아래,P1(우선순위 1)
s264_allow_inner_all_oos_anchor,s264_aia,stage267_regular_window(정규 구간),chron_segment(순서 구간),oos,late,68,294.55,1.54352,acceptable_measurement_only,OOS 후반 PF가 1.55 아래,P1(우선순위 1)
s264_allow_inner_all_oos_anchor,s264_aia,stage267_regular_window(정규 구간),chron_segment(순서 구간),validation_is,late,96,463.92,1.484572,acceptable_measurement_only,검증 후반 PF가 1.55 아래,P1(우선순위 1)
s264_allow_inner_all_oos_anchor,s264_aia,stage267_regular_window(정규 구간),chron_segment(순서 구간),validation_is,mid,97,376.78,1.534205,acceptable_measurement_only,검증 중반 PF가 1.55 아래,P1(우선순위 1)
s264_allow_inner_high_quarter,s264_aih,stage267_regular_window(정규 구간),chron_segment(순서 구간),oos,late,68,295.25,1.545517,acceptable_measurement_only,OOS 후반 PF가 1.55 근처 아래,P1(우선순위 1)
s264_lowrank_control,s264_lc,stage267_regular_window(정규 구간),chron_segment(순서 구간),validation_is,late,95,532.37,1.549107,acceptable_measurement_only,검증 후반 PF가 1.55 근처 아래,P1(우선순위 1)
s258_short_tight_control,s258_stc,historical_2024(2024 과거 압박),worst_month(최악 월),historical_2024,2024-07,378,-180.63,1.046751,D_fragile,rough_curve_high_dd_or_low_pf,P0(우선순위 0)
s258_short_tight_control,s258_stc,historical_2024(2024 과거 압박),weakest_session(최약 세션),historical_2024,late,378,-128.85,1.046751,D_fragile,rough_curve_high_dd_or_low_pf,P0(우선순위 0)
s258_short_tight_control,s258_stc,historical_2024(2024 과거 압박),weakest_hour(최약 시간),historical_2024,22,378,-92.26,1.046751,D_fragile,rough_curve_high_dd_or_low_pf,P1(우선순위 1)
s258_short_tight_control,s258_stc,historical_2024(2024 과거 압박),weakest_adx_bucket(최약 ADX 구간),historical_2024,adx_20_25,378,-116.09,1.046751,D_fragile,rough_curve_high_dd_or_low_pf,P0(우선순위 0)
s258_short_tight_control,s258_stc,historical_2024(2024 과거 압박),weakest_chron_segment(최약 순서 구간),historical_2024,chron_mid,378,-180.03,1.046751,D_fragile,rough_curve_high_dd_or_low_pf,P0(우선순위 0)
s262_lowrank_inner_half_filter,s262_lih,historical_2024(2024 과거 압박),worst_month(최악 월),historical_2024,2024-07,352,-126.04,1.024065,D_fragile,rough_curve_high_dd_or_low_pf,P0(우선순위 0)
s262_lowrank_inner_half_filter,s262_lih,historical_2024(2024 과거 압박),weakest_session(최약 세션),historical_2024,late,352,-135.79,1.024065,D_fragile,rough_curve_high_dd_or_low_pf,P0(우선순위 0)
s262_lowrank_inner_half_filter,s262_lih,historical_2024(2024 과거 압박),weakest_hour(최약 시간),historical_2024,16,352,-50.07,1.024065,D_fragile,rough_curve_high_dd_or_low_pf,P1(우선순위 1)
s262_lowrank_inner_half_filter,s262_lih,historical_2024(2024 과거 압박),weakest_adx_bucket(최약 ADX 구간),historical_2024,adx_20_25,352,-76.47,1.024065,D_fragile,rough_curve_high_dd_or_low_pf,P1(우선순위 1)
s262_lowrank_inner_half_filter,s262_lih,historical_2024(2024 과거 압박),weakest_chron_segment(최약 순서 구간),historical_2024,chron_mid,352,-140.12,1.024065,D_fragile,rough_curve_high_dd_or_low_pf,P0(우선순위 0)
s264_allow_inner_all_oos_anchor,s264_aia,historical_2024(2024 과거 압박),worst_month(최악 월),historical_2024,2024-07,354,-115.88,1.046009,C_watch,survives_but_curve_not_pretty,P0(우선순위 0)
s264_allow_inner_all_oos_anchor,s264_aia,historical_2024(2024 과거 압박),weakest_session(최약 세션),historical_2024,late,354,-141.54,1.046009,C_watch,survives_but_curve_not_pretty,P0(우선순위 0)
s264_allow_inner_all_oos_anchor,s264_aia,historical_2024(2024 과거 압박),weakest_hour(최약 시간),historical_2024,22,354,-37.06,1.046009,C_watch,survives_but_curve_not_pretty,P1(우선순위 1)
s264_allow_inner_all_oos_anchor,s264_aia,historical_2024(2024 과거 압박),weakest_adx_bucket(최약 ADX 구간),historical_2024,adx_20_25,354,-86.9,1.046009,C_watch,survives_but_curve_not_pretty,P1(우선순위 1)
s264_allow_inner_all_oos_anchor,s264_aia,historical_2024(2024 과거 압박),weakest_chron_segment(최약 순서 구간),historical_2024,chron_mid,354,-117.44,1.046009,C_watch,survives_but_curve_not_pretty,P0(우선순위 0)
s264_allow_inner_high_quarter,s264_aih,historical_2024(2024 과거 압박),worst_month(최악 월),historical_2024,2024-07,353,-117.25,1.050106,C_watch,survives_but_curve_not_pretty,P0(우선순위 0)
s264_allow_inner_high_quarter,s264_aih,historical_2024(2024 과거 압박),weakest_session(최약 세션),historical_2024,late,353,-144.89,1.050106,C_watch,survives_but_curve_not_pretty,P0(우선순위 0)
s264_allow_inner_high_quarter,s264_aih,historical_2024(2024 과거 압박),weakest_hour(최약 시간),historical_2024,22,353,-37.76,1.050106,C_watch,survives_but_curve_not_pretty,P1(우선순위 1)
s264_allow_inner_high_quarter,s264_aih,historical_2024(2024 과거 압박),weakest_adx_bucket(최약 ADX 구간),historical_2024,adx_20_25,353,-83.32,1.050106,C_watch,survives_but_curve_not_pretty,P1(우선순위 1)
s264_allow_inner_high_quarter,s264_aih,historical_2024(2024 과거 압박),weakest_chron_segment(최약 순서 구간),historical_2024,chron_mid,353,-147.14,1.050106,C_watch,survives_but_curve_not_pretty,P0(우선순위 0)
s264_lowrank_control,s264_lc,historical_2024(2024 과거 압박),worst_month(최악 월),historical_2024,2024-07,350,-113.21,1.038612,C_watch,survives_but_curve_not_pretty,P0(우선순위 0)
s264_lowrank_control,s264_lc,historical_2024(2024 과거 압박),weakest_session(최약 세션),historical_2024,late,350,-138.31,1.038612,C_watch,survives_but_curve_not_pretty,P0(우선순위 0)
s264_lowrank_control,s264_lc,historical_2024(2024 과거 압박),weakest_hour(최약 시간),historical_2024,22,350,-37.15,1.038612,C_watch,survives_but_curve_not_pretty,P1(우선순위 1)
s264_lowrank_control,s264_lc,historical_2024(2024 과거 압박),weakest_adx_bucket(최약 ADX 구간),historical_2024,adx_20_25,350,-79.41,1.038612,C_watch,survives_but_curve_not_pretty,P1(우선순위 1)
s264_lowrank_control,s264_lc,historical_2024(2024 과거 압박),weakest_chron_segment(최약 순서 구간),historical_2024,chron_mid,350,-125.95,1.038612,C_watch,survives_but_curve_not_pretty,P0(우선순위 0)
