queue_id,source_matrix_id,candidate_id,candidate_alias,test_type,test_id,feature_family,features_or_replacements,materialization_lane,required_views,success_gate,failure_gate,claim_boundary
run267N_01_s264_aih_abl_volatility_bandwidth,s264_aih__abl_volatility_bandwidth,s264_allow_inner_high_quarter,s264_aih,feature_category_ablation(피처 범주 제거),abl_volatility_bandwidth,volatility_bandwidth,atr_14;atr_50;atr_14_over_atr_50;bollinger_width_20;bb_position_20;bb_squeeze;historical_vol_20;historical_vol_5_over_20,stage_local_feature_surface_variant(단계 로컬 피처 표면 변형),Tier A separate;Tier B required_or_out_of_scope;actual routed total(Tier A 분리;Tier B 필수 또는 범위 밖;실제 라우팅 전체),"dd_down_or_weak_slice_less_negative_without_trade_count_collapse(손실폭 또는 약한 구간 완화, 거래 수 붕괴 없음)",candidate_collapses_or_only_one_slice_improves(후보 붕괴 또는 한 구간만 개선),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_02_s264_aih_abl_trend_strength_direction,s264_aih__abl_trend_strength_direction,s264_allow_inner_high_quarter,s264_aih,feature_category_ablation(피처 범주 제거),abl_trend_strength_direction,trend_strength_direction,adx_14;di_spread_14;supertrend_10_3;vortex_indicator,stage_local_feature_surface_variant(단계 로컬 피처 표면 변형),Tier A separate;Tier B required_or_out_of_scope;actual routed total(Tier A 분리;Tier B 필수 또는 범위 밖;실제 라우팅 전체),"dd_down_or_weak_slice_less_negative_without_trade_count_collapse(손실폭 또는 약한 구간 완화, 거래 수 붕괴 없음)",candidate_collapses_or_only_one_slice_improves(후보 붕괴 또는 한 구간만 개선),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_03_s264_aih_rep_trend_strength_adx,s264_aih__rep_trend_strength_adx,s264_allow_inner_high_quarter,s264_aih,similar_feature_replacement(유사 피처 대체),rep_trend_strength_adx,trend_strength(추세 강도),adx_14 -> di_spread_14;vortex_indicator;supertrend_10_3,stage_local_feature_surface_variant(단계 로컬 피처 표면 변형),Tier A separate;Tier B required_or_out_of_scope;actual routed total(Tier A 분리;Tier B 필수 또는 범위 밖;실제 라우팅 전체),"dd_down_or_weak_slice_less_negative_without_trade_count_collapse(손실폭 또는 약한 구간 완화, 거래 수 붕괴 없음)",candidate_collapses_or_only_one_slice_improves(후보 붕괴 또는 한 구간만 개선),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_04_s264_aih_rep_volatility_atr,s264_aih__rep_volatility_atr,s264_allow_inner_high_quarter,s264_aih,similar_feature_replacement(유사 피처 대체),rep_volatility_atr,volatility_risk(변동성 위험),atr_14 -> atr_50;atr_14_over_atr_50;historical_vol_20;historical_vol_5_over_20;bollinger_width_20,stage_local_feature_surface_variant(단계 로컬 피처 표면 변형),Tier A separate;Tier B required_or_out_of_scope;actual routed total(Tier A 분리;Tier B 필수 또는 범위 밖;실제 라우팅 전체),"dd_down_or_weak_slice_less_negative_without_trade_count_collapse(손실폭 또는 약한 구간 완화, 거래 수 붕괴 없음)",candidate_collapses_or_only_one_slice_improves(후보 붕괴 또는 한 구간만 개선),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_05_s264_lc_abl_gate_rank_bucket,s264_lc__abl_gate_rank_bucket,s264_lowrank_control,s264_lc,feature_category_ablation(피처 범주 제거),abl_gate_rank_bucket,source_feature_rank_bucket,stage258/262/264_source_feature_rank_bucket,stage_local_feature_surface_variant(단계 로컬 피처 표면 변형),Tier A separate;Tier B required_or_out_of_scope;actual routed total(Tier A 분리;Tier B 필수 또는 범위 밖;실제 라우팅 전체),"dd_down_or_weak_slice_less_negative_without_trade_count_collapse(손실폭 또는 약한 구간 완화, 거래 수 붕괴 없음)",candidate_collapses_or_only_one_slice_improves(후보 붕괴 또는 한 구간만 개선),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_06_s264_lc_abl_gate_variant_rule,s264_lc__abl_gate_variant_rule,s264_lowrank_control,s264_lc,feature_category_ablation(피처 범주 제거),abl_gate_variant_rule,source_feature_gate,stage258/262/264_source_feature_gate_*,stage_local_feature_surface_variant(단계 로컬 피처 표면 변형),Tier A separate;Tier B required_or_out_of_scope;actual routed total(Tier A 분리;Tier B 필수 또는 범위 밖;실제 라우팅 전체),"dd_down_or_weak_slice_less_negative_without_trade_count_collapse(손실폭 또는 약한 구간 완화, 거래 수 붕괴 없음)",candidate_collapses_or_only_one_slice_improves(후보 붕괴 또는 한 구간만 개선),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_07_s264_lc_abl_trend_strength_direction,s264_lc__abl_trend_strength_direction,s264_lowrank_control,s264_lc,feature_category_ablation(피처 범주 제거),abl_trend_strength_direction,trend_strength_direction,adx_14;di_spread_14;supertrend_10_3;vortex_indicator,stage_local_feature_surface_variant(단계 로컬 피처 표면 변형),Tier A separate;Tier B required_or_out_of_scope;actual routed total(Tier A 분리;Tier B 필수 또는 범위 밖;실제 라우팅 전체),"dd_down_or_weak_slice_less_negative_without_trade_count_collapse(손실폭 또는 약한 구간 완화, 거래 수 붕괴 없음)",candidate_collapses_or_only_one_slice_improves(후보 붕괴 또는 한 구간만 개선),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_08_s264_lc_rep_trend_strength_adx,s264_lc__rep_trend_strength_adx,s264_lowrank_control,s264_lc,similar_feature_replacement(유사 피처 대체),rep_trend_strength_adx,trend_strength(추세 강도),adx_14 -> di_spread_14;vortex_indicator;supertrend_10_3,stage_local_feature_surface_variant(단계 로컬 피처 표면 변형),Tier A separate;Tier B required_or_out_of_scope;actual routed total(Tier A 분리;Tier B 필수 또는 범위 밖;실제 라우팅 전체),"dd_down_or_weak_slice_less_negative_without_trade_count_collapse(손실폭 또는 약한 구간 완화, 거래 수 붕괴 없음)",candidate_collapses_or_only_one_slice_improves(후보 붕괴 또는 한 구간만 개선),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_09_s264_lc_rep_volatility_atr,s264_lc__rep_volatility_atr,s264_lowrank_control,s264_lc,similar_feature_replacement(유사 피처 대체),rep_volatility_atr,volatility_risk(변동성 위험),atr_14 -> atr_50;atr_14_over_atr_50;historical_vol_20;historical_vol_5_over_20;bollinger_width_20,stage_local_feature_surface_variant(단계 로컬 피처 표면 변형),Tier A separate;Tier B required_or_out_of_scope;actual routed total(Tier A 분리;Tier B 필수 또는 범위 밖;실제 라우팅 전체),"dd_down_or_weak_slice_less_negative_without_trade_count_collapse(손실폭 또는 약한 구간 완화, 거래 수 붕괴 없음)",candidate_collapses_or_only_one_slice_improves(후보 붕괴 또는 한 구간만 개선),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
run267N_10_s262_lih_abl_gate_rank_bucket,s262_lih__abl_gate_rank_bucket,s262_lowrank_inner_half_filter,s262_lih,feature_category_ablation(피처 범주 제거),abl_gate_rank_bucket,source_feature_rank_bucket,stage258/262/264_source_feature_rank_bucket,stage_local_feature_surface_variant(단계 로컬 피처 표면 변형),Tier A separate;Tier B required_or_out_of_scope;actual routed total(Tier A 분리;Tier B 필수 또는 범위 밖;실제 라우팅 전체),"dd_down_or_weak_slice_less_negative_without_trade_count_collapse(손실폭 또는 약한 구간 완화, 거래 수 붕괴 없음)",candidate_collapses_or_only_one_slice_improves(후보 붕괴 또는 한 구간만 개선),research_development_only_no_live_readiness_no_runtime_authority_no_operating_promotion_no_operating_reference_no_production_baseline_no_deployment_no_onnx_until_goal_gate
