memory_id,pattern,evidence,affected_scope,do_not_repeat,salvage_angle,reopen_condition,boundary
run267AR_m01_recurring_monday_and_december_holes,headline_good_but_Monday_or_2024_12_holes(대표 숫자는 좋지만 월요일 또는 2024-12 구멍),negative Tier A slices(음수 Tier A 구간)=99;worst=s258_stc::volatility_regime_expansion -394.14,all_candidates(전체 후보),do_not_add_direct_Monday_or_December_entry_filter_as_first_response(첫 대응으로 직접 월요일/12월 진입 필터 추가 금지),use_noncalendar_volatility_trend_risk_state_pressure(비달력 변동성/추세/위험 상태 압박 사용),deep_slice_improves_without_calendar_filter(달력 필터 없이 깊은 구간 개선),"failure_memory_not_candidate_selection(실패 기억, 후보 선택 아님)"
run267AR_m02_tier_ab_duplicate_boundary,"Tier_A_B_duplicate_boundary_not_real_fallback(Tier A+B 중복 경계, 실제 대체 아님)",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AQ/pool_wide_state_feature_engineering_balance_timeslice_trade_quality_review/tier_duplicate_review.csv,runtime_reproduction_and_fallback_claims(런타임 재현 및 대체 주장),do_not_call_duplicate_Tier_A_B_robustness_or_actual_routed_total(중복 Tier A+B를 견고성 또는 실제 라우팅 전체로 부르지 않음),design_real_fallback_manifest_after_survivor_exists(생존 후보 뒤 실제 대체 목록 설계),primary_used_fallback_used_actual_routed_total_are_measured(우선 사용/대체 사용/실제 라우팅 전체가 측정됨),deferred_design_guardrail(보류 설계 가드레일)
run267AR_m03_high_headline_not_adapter_selection,high_net_profit_does_not_override_curve_holes(높은 순수익이 곡선 구멍을 덮지 않음),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267AQ/pool_wide_state_feature_engineering_balance_timeslice_trade_quality_review/candidate_state_profile_review.csv,s258_stc;s264_aih;s264_aia,do_not_start_ONNX_or_adapter_handoff_from_headline_KPI_only(대표 KPI만으로 ONNX 또는 어댑터 인계 시작 금지),pressure_high_headline_profiles_against_named_weak_slices(대표 숫자 높은 프로필을 명명 약한 구간으로 압박),candidate_reduces_deep_slice_and_keeps_trade_count_profit_DD_bundle(후보가 깊은 구간을 줄이고 거래수/수익/손실폭 묶음을 유지),research_development_only(연구개발 전용)
run267AR_m_candidate_s264_aih,s264_aih_deep_slice_hole_count=3,net_min=844.71;worst_slice=-289.49;worst_month=-289.49,s264_aih,do_not_treat_role_label_as_survival_evidence(역할 라벨을 생존 근거처럼 쓰지 않음),core_challenger_pressure_branch(핵심 도전자 압박 분기),next_MT5_review_reduces_Monday_2024_12_holes_without_calendar_filter(다음 MT5 검토가 달력 필터 없이 월요일/2024-12 구멍을 줄임),"candidate_role_memory_no_selection(후보 역할 기억, 선택 아님)"
run267AR_m_candidate_s264_lc,s264_lc_deep_slice_hole_count=4,net_min=1062.29;worst_slice=-281.82;worst_month=-258.48,s264_lc,do_not_treat_role_label_as_survival_evidence(역할 라벨을 생존 근거처럼 쓰지 않음),defensive_control_audit(방어 통제 감사),next_MT5_review_reduces_Monday_2024_12_holes_without_calendar_filter(다음 MT5 검토가 달력 필터 없이 월요일/2024-12 구멍을 줄임),"candidate_role_memory_no_selection(후보 역할 기억, 선택 아님)"
run267AR_m_candidate_s262_lih,s262_lih_deep_slice_hole_count=4,net_min=962.36;worst_slice=-283.73;worst_month=-227.68,s262_lih,do_not_treat_role_label_as_survival_evidence(역할 라벨을 생존 근거처럼 쓰지 않음),validation_heavy_control_audit(검증 중심 통제 감사),next_MT5_review_reduces_Monday_2024_12_holes_without_calendar_filter(다음 MT5 검토가 달력 필터 없이 월요일/2024-12 구멍을 줄임),"candidate_role_memory_no_selection(후보 역할 기억, 선택 아님)"
run267AR_m_candidate_s264_aia,s264_aia_deep_slice_hole_count=4,net_min=1015.1;worst_slice=-330.16;worst_month=-220.9,s264_aia,do_not_treat_role_label_as_survival_evidence(역할 라벨을 생존 근거처럼 쓰지 않음),adapter_watch_if_DD_edge_survives_slice_pressure(구간 압박 후 손실폭 장점 생존 시 어댑터 관찰),next_MT5_review_reduces_Monday_2024_12_holes_without_calendar_filter(다음 MT5 검토가 달력 필터 없이 월요일/2024-12 구멍을 줄임),"candidate_role_memory_no_selection(후보 역할 기억, 선택 아님)"
run267AR_m_candidate_s258_stc,s258_stc_deep_slice_hole_count=4,net_min=885.68;worst_slice=-394.14;worst_month=-241.73,s258_stc,do_not_treat_role_label_as_survival_evidence(역할 라벨을 생존 근거처럼 쓰지 않음),stress_challenger_prune_or_rescue_gate(압박 도전자 가지치기 또는 회수 게이트),next_MT5_review_reduces_Monday_2024_12_holes_without_calendar_filter(다음 MT5 검토가 달력 필터 없이 월요일/2024-12 구멍을 줄임),"candidate_role_memory_no_selection(후보 역할 기억, 선택 아님)"
run267AS_m01_pressure_materialization_not_selection,followup_pressure_is_execution_input_not_candidate_selection(후속 압박은 실행 입력이지 후보 선택이 아님),run267AS materializes pressure terms only; MT5 execution and curve review remain missing,all_run267AS_variants,do_not_promote_or_ONNX_from_materialization_manifest,execute run267AT and review curve/time-slice/trade-quality before any branch watch upgrade,run267AT reduces Monday and 2024-12 holes without trade count collapse,materialization_only_no_candidate_selection
run267AS_m02_no_single_calendar_repair_guard,calendar_slice_is_evaluation_gate_not_entry_filter(달력 구간은 평가 게이트이지 진입 필터가 아님),run267AR q05 blocks single Monday or December threshold tuning,Monday;2024-12;all_candidates,do_not_add_literal_weekday_or_month_filter_to_repair_the_named_hole,use noncalendar volatility/trend/range/shock state pressure and then test slices,structural state pressure improves weak slices in MT5 without direct calendar leakage,anti_bottleneck_guardrail
