gate_id,status,evidence,finding,claim_boundary
source_lineage_connected,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/blueprint_source_lineage_review.csv,source_lineage_rows=20;all_pass=True,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run337E_protocol_review_inputs_accepted,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337E/accepted_protocols_for_blueprint_queue.csv;stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337E/required_gate_coverage_audit.csv,accepted_inputs=True;run337E_gates_pass=True,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
no_lookahead_harness_blueprints_ready,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/no_lookahead_harness_blueprint.csv,no_lookahead_harness_rows=5,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_mt5_blueprints_require_fresh_runtime,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/proxy_expected_schema_blueprint.csv;stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/mt5_runtime_probe_package_blueprint.csv,proxy_subjects=5;mt5_subjects=5,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
core56_repair_blueprint_preserves_full_family_block,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/core56_repair_blueprint.csv,core56_blueprint_rows=5,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_direction_curve_extraction_blueprints_ready,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/cost_direction_curve_extraction_blueprint.csv,cost_curve_blueprint_rows=5,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_blueprints_training_closed,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/offense_branch_blueprint.csv,offense_rows=4;training_closed=True,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
economic_regime_asof_blueprints_ready,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/economic_regime_asof_source_blueprint.csv,regime_blueprint_rows=6,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_probe_package_blueprints_ready,pass,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337F/runtime_probe_package_blueprint.csv,runtime_package_blueprint_rows=5,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
schema_outputs_materialized,pass,schema json outputs,five required schema JSON payloads are generated in this run before final manifest registration,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
