source_path,source_sha256,source_exists,source_row_count,source_manifest_linked,parent_lineage_review,used_by_run337F,allowed_use,forbidden_use,lineage_status,claim_boundary
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337D/run337E_review_execution_protocols_queue.csv,c2981917e51a273c4f10949741120307e481306c073fe85cc6538a1a6956125c,true,8,true,pass,context_only,protocol-bound blueprint materialization and run337G review queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337D/no_lookahead_execution_protocol.csv,48060e94bab2ccdfdb0e8e4aa900ee834ea9ddbfe2f6fd64c21b5258383ea7de,true,5,true,pass,context_only,protocol-bound blueprint materialization and run337G review queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337D/proxy_mt5_fresh_probe_protocol.csv,12ad71c185ca3bd18ad0af0217333c7a6443145baea8136442b5a8366c289347,true,5,true,pass,context_only,protocol-bound blueprint materialization and run337G review queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337D/core56_refresh_repair_protocol.csv,34b21e792fbcc1d81d6f94cc57498c6dc785244e2120de023ab3bf2cce19fd74,true,5,true,pass,context_only,protocol-bound blueprint materialization and run337G review queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337D/cost_direction_curve_gate_execution_protocol.csv,6426fbba85bfa2626d386a0ce3c74f1dbaa7f6dfd0f423f8d6d68c13d864e454,true,5,true,pass,context_only,protocol-bound blueprint materialization and run337G review queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337D/offense_rebuild_execution_protocol.csv,98a3b326915ca292b573be34420b30ef5a0616bd3ee5d02cdc818cae30f20130,true,4,true,pass,context_only,protocol-bound blueprint materialization and run337G review queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337D/economic_regime_asof_protocol.csv,31dda7421d5e86cc1ca67bb14639dede26099d6a41622d0906c22b086f42d575,true,6,true,pass,context_only,protocol-bound blueprint materialization and run337G review queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337D/runtime_probe_package_requirements.csv,b8ef391a8cdf705aad7b64f20c99ced09e3994b9f00eb175957aca1cc80b2d1c,true,5,true,pass,context_only,protocol-bound blueprint materialization and run337G review queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337D/model_training_allowed_boundary.csv,bd4066caf5d30bb55455ee69e7563614f18bf7fee5af419c4be56268e4239594,true,1,true,pass,context_only,protocol-bound blueprint materialization and run337G review queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337D/protocol_acceptance_matrix.csv,620798bef61e426ef91388696603b0fa88ef97cbd4050f2367e54b25cce48081,true,8,true,pass,context_only,protocol-bound blueprint materialization and run337G review queue only,"model training, MT5 execution, candidate selection, Forward Passed, runtime authority, Goal Achieve",pass,research_development_only_stage337F_blueprint_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
