source_artifact,feature_name,availability_status,source_column,feature_label_boundary
c56_plain,atr_14_over_atr_50,available_existing_forward_feature,atr_14_over_atr_50,uses_bar_t_or_older_no_future_return_no_tester_outcome
c56_plain,historical_vol_5_over_20,available_existing_forward_feature,historical_vol_5_over_20,uses_bar_t_or_older_no_future_return_no_tester_outcome
c56_plain,return_1_over_atr_14,available_existing_forward_feature,return_1_over_atr_14,uses_bar_t_or_older_no_future_return_no_tester_outcome
c56_plain,adx_14,available_existing_forward_feature,adx_14,uses_bar_t_or_older_no_future_return_no_tester_outcome
c56_plain,di_spread_14,available_existing_forward_feature,di_spread_14,uses_bar_t_or_older_no_future_return_no_tester_outcome
c56_plain,vix_zscore_20,available_existing_forward_feature,vix_zscore_20,uses_bar_t_or_older_no_future_return_no_tester_outcome
c56_plain,us10yr_zscore_20,available_existing_forward_feature,us10yr_zscore_20,uses_bar_t_or_older_no_future_return_no_tester_outcome
c56_plain,usdx_zscore_20,available_existing_forward_feature,usdx_zscore_20,uses_bar_t_or_older_no_future_return_no_tester_outcome
c56_plain,us100_minus_mega8_equal_return_1,available_existing_forward_feature,us100_minus_mega8_equal_return_1,uses_bar_t_or_older_no_future_return_no_tester_outcome
c56_plain,timestamp_hour_derived,derivable_from_timestamp_utc_without_future_data,timestamp_utc,uses_bar_t_or_older_no_future_return_no_tester_outcome
m48_plain,atr_14_over_atr_50,available_existing_forward_feature,atr_14_over_atr_50,uses_bar_t_or_older_no_future_return_no_tester_outcome
m48_plain,historical_vol_5_over_20,available_existing_forward_feature,historical_vol_5_over_20,uses_bar_t_or_older_no_future_return_no_tester_outcome
m48_plain,adx_14,available_existing_forward_feature,adx_14,uses_bar_t_or_older_no_future_return_no_tester_outcome
m48_plain,di_spread_14,available_existing_forward_feature,di_spread_14,uses_bar_t_or_older_no_future_return_no_tester_outcome
m48_plain,vix_change_1,available_existing_forward_feature,vix_change_1,uses_bar_t_or_older_no_future_return_no_tester_outcome
m48_plain,vix_zscore_20,available_existing_forward_feature,vix_zscore_20,uses_bar_t_or_older_no_future_return_no_tester_outcome
m48_plain,us10yr_change_1,available_existing_forward_feature,us10yr_change_1,uses_bar_t_or_older_no_future_return_no_tester_outcome
m48_plain,us10yr_zscore_20,available_existing_forward_feature,us10yr_zscore_20,uses_bar_t_or_older_no_future_return_no_tester_outcome
m48_plain,usdx_change_1,available_existing_forward_feature,usdx_change_1,uses_bar_t_or_older_no_future_return_no_tester_outcome
m48_plain,usdx_zscore_20,available_existing_forward_feature,usdx_zscore_20,uses_bar_t_or_older_no_future_return_no_tester_outcome
m48_plain,timestamp_hour_derived,derivable_from_timestamp_utc_without_future_data,timestamp_utc,uses_bar_t_or_older_no_future_return_no_tester_outcome
