run_id,group_type,group_value,cycle_rows,long_signal_count,short_signal_count,order_attempt_count,time_margin_guard_block_count,short_signal_share,order_rate_per_cycle,pressure_label,effect,claim_boundary
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_hour,16,1499,447,0,188,0,0.0,0.1254169446,short_sparse(숏 희소),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_hour,17,3535,1233,77,598,0,0.058778626,0.169165488,normal_runtime_pressure(일반 런타임 압박),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_hour,18,3388,861,55,471,0,0.0600436681,0.1390200708,normal_runtime_pressure(일반 런타임 압박),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_hour,19,3138,507,38,294,54,0.0697247706,0.0936902486,h19_guard_observed(h19 가드 관측),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_hour,20,3035,379,19,240,0,0.0477386935,0.07907743,normal_runtime_pressure(일반 런타임 압박),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_hour,21,2572,295,10,193,0,0.0327868852,0.0750388802,short_sparse(숏 희소),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_hour,22,261,22,0,16,0,0.0,0.061302682,short_sparse(숏 희소),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_month,2025-01,1103,325,13,172,3,0.0384615385,0.15593835,h19_guard_observed(h19 가드 관측);short_sparse(숏 희소),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_month,2025-02,1056,221,21,144,6,0.0867768595,0.1363636364,h19_guard_observed(h19 가드 관측),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_month,2025-03,1111,0,12,17,0,1.0,0.0153015302,normal_runtime_pressure(일반 런타임 압박),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_month,2025-04,1378,503,32,236,8,0.0598130841,0.1712626996,h19_guard_observed(h19 가드 관측),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_month,2025-05,1125,264,7,150,1,0.0258302583,0.1333333333,h19_guard_observed(h19 가드 관측);short_sparse(숏 희소),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_month,2025-06,1094,251,1,135,2,0.003968254,0.1234003656,h19_guard_observed(h19 가드 관측);short_sparse(숏 희소),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_month,2025-07,943,76,2,68,1,0.0256410256,0.0721102863,h19_guard_observed(h19 가드 관측);short_sparse(숏 희소),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_month,2025-08,1057,160,3,92,6,0.018404908,0.087038789,h19_guard_observed(h19 가드 관측);calendar_stress_watch(달력 압박 감시);short_sparse(숏 희소),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_month,2025-09,977,149,1,102,5,0.0066666667,0.1044012282,h19_guard_observed(h19 가드 관측);short_sparse(숏 희소),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_month,2025-10,1301,311,17,156,1,0.0518292683,0.1199077633,h19_guard_observed(h19 가드 관측),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,bar_month,2025-11,1042,354,29,164,4,0.0757180157,0.1573896353,h19_guard_observed(h19 가드 관측),runtime telemetry(런타임 기록)를 다음 scout(정찰)의 session/regime pressure(세션/국면 압박)로 바꾼다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
