run_id,group_type,group_value,trade_count,net_profit_after_cost,profit_factor_after_cost,expectancy_after_cost,stress_flags,proposed_use,timestamp_boundary,effect,claim_boundary
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,quarter,2025Q2,262,325.01,1.436436638,1.240496,stable_positive(안정 양수),forward_like_replay_label_only(전진 유사 재생 라벨 전용),entry_time calendar bucket only(진입 시각 달력 구간만 사용),forward pass(전진 통과)가 아니라 다음 proxy scout(프록시 정찰)의 압박 축을 만든다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,quarter,2025Q4,223,247.8,1.433216783,1.111211,december_q4_watch(12월/Q4 감시),forward_like_replay_label_only(전진 유사 재생 라벨 전용),entry_time calendar bucket only(진입 시각 달력 구간만 사용),forward pass(전진 통과)가 아니라 다음 proxy scout(프록시 정찰)의 압박 축을 만든다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,quarter,2026Q1,175,187.61,1.476276307,1.072057,stable_positive(안정 양수),forward_like_replay_label_only(전진 유사 재생 라벨 전용),entry_time calendar bucket only(진입 시각 달력 구간만 사용),forward pass(전진 통과)가 아니라 다음 proxy scout(프록시 정찰)의 압박 축을 만든다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,quarter,2025Q1,169,121.38,1.280946209,0.718225,stable_positive(안정 양수),forward_like_replay_label_only(전진 유사 재생 라벨 전용),entry_time calendar bucket only(진입 시각 달력 구간만 사용),forward pass(전진 통과)가 아니라 다음 proxy scout(프록시 정찰)의 압박 축을 만든다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,quarter,2025Q3,131,54.55,1.203173303,0.416412,stable_positive(안정 양수),forward_like_replay_label_only(전진 유사 재생 라벨 전용),entry_time calendar bucket only(진입 시각 달력 구간만 사용),forward pass(전진 통과)가 아니라 다음 proxy scout(프록시 정찰)의 압박 축을 만든다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,quarter,2026Q2,46,23.29,1.231972112,0.506304,stable_positive(안정 양수),forward_like_replay_label_only(전진 유사 재생 라벨 전용),entry_time calendar bucket only(진입 시각 달력 구간만 사용),forward pass(전진 통과)가 아니라 다음 proxy scout(프록시 정찰)의 압박 축을 만든다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,month,2025-11,83,244.44,2.239113905,2.94506,stable_positive(안정 양수),forward_like_replay_label_only(전진 유사 재생 라벨 전용),entry_time calendar bucket only(진입 시각 달력 구간만 사용),forward pass(전진 통과)가 아니라 다음 proxy scout(프록시 정찰)의 압박 축을 만든다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,month,2025-04,120,220.1,1.460585515,1.834167,stable_positive(안정 양수),forward_like_replay_label_only(전진 유사 재생 라벨 전용),entry_time calendar bucket only(진입 시각 달력 구간만 사용),forward pass(전진 통과)가 아니라 다음 proxy scout(프록시 정찰)의 압박 축을 만든다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,month,2026-02,90,140.86,1.641818927,1.565111,stable_positive(안정 양수),forward_like_replay_label_only(전진 유사 재생 라벨 전용),entry_time calendar bucket only(진입 시각 달력 구간만 사용),forward pass(전진 통과)가 아니라 다음 proxy scout(프록시 정찰)의 압박 축을 만든다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,month,2025-02,73,70.18,1.39263735,0.96137,stable_positive(안정 양수),forward_like_replay_label_only(전진 유사 재생 라벨 전용),entry_time calendar bucket only(진입 시각 달력 구간만 사용),forward pass(전진 통과)가 아니라 다음 proxy scout(프록시 정찰)의 압박 축을 만든다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,month,2025-06,67,58.72,1.523677874,0.876418,stable_positive(안정 양수),forward_like_replay_label_only(전진 유사 재생 라벨 전용),entry_time calendar bucket only(진입 시각 달력 구간만 사용),forward pass(전진 통과)가 아니라 다음 proxy scout(프록시 정찰)의 압박 축을 만든다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,month,2025-05,75,46.19,1.298597194,0.615867,stable_positive(안정 양수),forward_like_replay_label_only(전진 유사 재생 라벨 전용),entry_time calendar bucket only(진입 시각 달력 구간만 사용),forward pass(전진 통과)가 아니라 다음 proxy scout(프록시 정찰)의 압박 축을 만든다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,month,2025-01,88,42.49,1.17685744,0.482841,stable_positive(안정 양수),forward_like_replay_label_only(전진 유사 재생 라벨 전용),entry_time calendar bucket only(진입 시각 달력 구간만 사용),forward pass(전진 통과)가 아니라 다음 proxy scout(프록시 정찰)의 압박 축을 만든다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,month,2026-01,81,38.41,1.220658356,0.474198,stable_positive(안정 양수),forward_like_replay_label_only(전진 유사 재생 라벨 전용),entry_time calendar bucket only(진입 시각 달력 구간만 사용),forward pass(전진 통과)가 아니라 다음 proxy scout(프록시 정찰)의 압박 축을 만든다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,month,2025-09,51,34.97,1.357639599,0.685686,stable_positive(안정 양수),forward_like_replay_label_only(전진 유사 재생 라벨 전용),entry_time calendar bucket only(진입 시각 달력 구간만 사용),forward pass(전진 통과)가 아니라 다음 proxy scout(프록시 정찰)의 압박 축을 만든다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,month,2025-10,78,32.35,1.158601755,0.414744,stable_positive(안정 양수),forward_like_replay_label_only(전진 유사 재생 라벨 전용),entry_time calendar bucket only(진입 시각 달력 구간만 사용),forward pass(전진 통과)가 아니라 다음 proxy scout(프록시 정찰)의 압박 축을 만든다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,month,2026-04,46,23.29,1.231972112,0.506304,stable_positive(안정 양수),forward_like_replay_label_only(전진 유사 재생 라벨 전용),entry_time calendar bucket only(진입 시각 달력 구간만 사용),forward pass(전진 통과)가 아니라 다음 proxy scout(프록시 정찰)의 압박 축을 만든다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,month,2025-07,34,12.09,1.17816092,0.355588,stable_positive(안정 양수),forward_like_replay_label_only(전진 유사 재생 라벨 전용),entry_time calendar bucket only(진입 시각 달력 구간만 사용),forward pass(전진 통과)가 아니라 다음 proxy scout(프록시 정찰)의 압박 축을 만든다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,month,2025-03,8,8.71,1.66743295,1.08875,stable_positive(안정 양수),forward_like_replay_label_only(전진 유사 재생 라벨 전용),entry_time calendar bucket only(진입 시각 달력 구간만 사용),forward pass(전진 통과)가 아니라 다음 proxy scout(프록시 정찰)의 압박 축을 만든다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BL_materialize_h19_runtime_probe_stress_short_balance_inputs_without_db_v1,month,2026-03,4,8.34,23.540540541,2.085,stable_positive(안정 양수),forward_like_replay_label_only(전진 유사 재생 라벨 전용),entry_time calendar bucket only(진입 시각 달력 구간만 사용),forward pass(전진 통과)가 아니라 다음 proxy scout(프록시 정찰)의 압박 축을 만든다.,research_development_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
