run_id,candidate_id,source_variant_id,transform,input_trade_count,selected_trade_count,removed_trade_count,removed_net_profit,removed_short_count,no_trade_splitting,effect,claim_boundary
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg01_current_session_semantics_anchor,cd02_ca01_clone_current_session,preserve_cd02_current_session(CD02 현재 세션 보존),1008,1008,0,0.0,0,True,rules remove or preserve existing entries only(규칙은 기존 진입만 제거 또는 보존),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg02_h17_overlay_loose_margin_floor,cd02_ca01_clone_current_session,"drop_weak_h17_overlay(ps>=0.449557,margin>=0.0882)(약한 17시 오버레이 제거)",1008,994,14,63.16,14,True,rules remove or preserve existing entries only(규칙은 기존 진입만 제거 또는 보존),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg03_h17_overlay_mid_margin_floor,cd02_ca01_clone_current_session,"drop_weak_h17_overlay(ps>=0.456788,margin>=0.10307)(약한 17시 오버레이 제거)",1008,983,25,74.0,25,True,rules remove or preserve existing entries only(규칙은 기존 진입만 제거 또는 보존),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg04_h17_overlay_strict_margin_floor,cd02_ca01_clone_current_session,"drop_weak_h17_overlay(ps>=0.471477,margin>=0.118213)(약한 17시 오버레이 제거)",1008,975,33,84.97,33,True,rules remove or preserve existing entries only(규칙은 기존 진입만 제거 또는 보존),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg05_overlay_off_native_short_control,cd03_native_short_same_calendar_current_session,native_short_control_cd03(CD03 기본 숏 대조),1002,1002,0,0.0,0,True,rules remove or preserve existing entries only(규칙은 기존 진입만 제거 또는 보존),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg06_overlay_only_extreme_stress,cd02_ca01_clone_current_session,"overlay_only_remove_native_short_threshold(오버레이 전용, 기본 숏 제거)",1008,942,66,57.17,66,True,rules remove or preserve existing entries only(규칙은 기존 진입만 제거 또는 보존),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg07_native_short_cost_firewall,cd02_ca01_clone_current_session,native_short_hour17_20_cost_firewall(기본 숏 17/20시 비용 방화벽),1008,989,19,-73.78,19,True,rules remove or preserve existing entries only(규칙은 기존 진입만 제거 또는 보존),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg08_bad_overlay_month_guard_scout,cd02_ca01_clone_current_session,drop_negative_overlay_months(음수 오버레이 월 제거),1008,992,16,-33.8,16,True,rules remove or preserve existing entries only(규칙은 기존 진입만 제거 또는 보존),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg09_best_open_hour_overlay_focus,cd02_ca01_clone_current_session,focus_h17_overlay_only(17시 오버레이 집중),1008,1007,1,-4.01,1,True,rules remove or preserve existing entries only(규칙은 기존 진입만 제거 또는 보존),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CG_train_cost_stable_h17_source_guard_offensive_scout_without_db_v1,cg10_gross_net_swap_layered_score,cd02_ca01_clone_current_session,preserve_cd02_current_session(CD02 현재 세션 보존),1008,1008,0,0.0,0,True,rules remove or preserve existing entries only(규칙은 기존 진입만 제거 또는 보존),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
