run_id,gate,status,evidence_path,effect,claim_boundary
run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,code_surface_audit,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BJ,EA 입력과 계약 문서가 새 guard(가드)를 포함한다.,research_development_runtime_guard_support_and_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,metaeditor_compile_gate,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BJ,MetaEditor compile(메타에디터 컴파일)이 통과해야 런타임 패키지를 주장할 수 있다.,research_development_runtime_guard_support_and_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,portable_sync_gate,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BJ,compiled EX5(컴파일된 EX5)를 portable tester(포터블 테스터)에 동기화한다.,research_development_runtime_guard_support_and_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,tester_identity_gate,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BJ,"US100 M5 real ticks(실제 틱), deposit 500(예치금 500), leverage 100(레버리지 100)을 고정한다.",research_development_runtime_guard_support_and_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,runtime_execution_attempt_gate,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BJ,MT5 Strategy Tester(전략 테스터) 실행을 시도하거나 차단 로그를 남긴다.,research_development_runtime_guard_support_and_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,runtime_evidence_gate,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BJ,runtime telemetry/summary(런타임 기록/요약)가 있어야 완료 증거가 된다.,research_development_runtime_guard_support_and_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,strategy_report_gate,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BJ,전략 테스터 보고서가 있어야 MT5 KPI를 읽는다.,research_development_runtime_guard_support_and_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,proxy_mt5_diff_gate,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BJ,proxy expected value(프록시 예상값)와 MT5 출력 차이 기록을 만든다.,research_development_runtime_guard_support_and_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,final_claim_guard,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BJ,runtime authority(런타임 권위)와 operating promotion(운영 승격)을 금지한다.,research_development_runtime_guard_support_and_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BJ_implement_h19_opposite_margin_runtime_guard_without_db_v1,required_gate_coverage_audit,passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BJ/required_gate_coverage_audit.csv,"필수 게이트(required gates, 필수 게이트)를 closeout(종료 기록)에 연결한다.",research_development_runtime_guard_support_and_probe_attempt_only_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
