check_id,branch_id,control_id,target_risk,enforcement_scope,test_design,expected_failure_signature,stop_condition,repair_action,enforcement_status,claim_boundary
repair_proxy_exclusion_handoff_contract__future_shift_join_canary,repair_proxy_exclusion_handoff_contract,future_shift_join_canary,lookahead_join,explicit_branch_control,force any nearest/future timestamp repair to fail,future or nearest trade key appears,block run and repair attribution logic,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__old_proxy_rank_canary,repair_proxy_exclusion_handoff_contract,old_proxy_rank_canary,proxy_overfit,explicit_branch_control,assert old proxy expected values never enter rank or Forward decision,old proxy column used as score input,block score packet,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__forward_pocket_filter_canary,repair_proxy_exclusion_handoff_contract,forward_pocket_filter_canary,calendar_overfit,global_required_control,reject direct filter on known forward weak pocket,calendar pocket becomes branch rule,move to invalid setup,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__threshold_retune_canary,repair_proxy_exclusion_handoff_contract,threshold_retune_canary,threshold_overfit,global_required_control,record threshold before result and reject changes after result,threshold changed after forward read,block candidate read,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__lot_optimization_canary,repair_proxy_exclusion_handoff_contract,lot_optimization_canary,sizing_overfit,global_required_control,keep lot logic fixed unless a separate predeclared sizing stage exists,lot altered to improve KPI,block operating claim,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__drop_shorts_after_loss_canary,repair_proxy_exclusion_handoff_contract,drop_shorts_after_loss_canary,side_cherry_pick,global_required_control,require side failure evidence before any side exclusion,short side removed after observed loss,block side routing,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__single_regime_overfit_canary,repair_proxy_exclusion_handoff_contract,single_regime_overfit_canary,regime_cherry_pick,global_required_control,require all regime slices and a negative-control slice,only profitable regime retained,block selection,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__compile_only_authority_canary,repair_proxy_exclusion_handoff_contract,compile_only_authority_canary,runtime_parity_gap,global_required_control,reject compile-only runtime authority,MetaEditor compile used as tester substitute,block runtime claim,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__zero_cost_only_canary,repair_proxy_exclusion_handoff_contract,zero_cost_only_canary,cost_fragility,global_required_control,require nonzero cost stress before positive judgment,positive only under zero added cost,mark failure memory,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__after_result_feature_pick_canary,repair_proxy_exclusion_handoff_contract,after_result_feature_pick_canary,feature_selection_leakage,global_required_control,feature families must be declared before forward/runtime result,feature family chosen after KPI,block branch,document failure memory before any retry,predeclared_required,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
