schema_id,branch_id,slice_id,output_field,bucket_policy,required_metrics,allowed_use,forbidden_use,claim_boundary
repair_proxy_exclusion_handoff_contract__session,repair_proxy_exclusion_handoff_contract,session,ny_session_bucket,predeclare cash/open/mid/close/off-session buckets without using forward result,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__hour,repair_proxy_exclusion_handoff_contract,hour,broker_hour_and_ny_hour,report every hour; no after-result profitable hour filter,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__month,repair_proxy_exclusion_handoff_contract,month,calendar_month,report month only for attribution; do not drop known weak calendar pocket,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__volatility,repair_proxy_exclusion_handoff_contract,volatility,atr_hv_quantile,use predeclared quantile labels from training/reference window only,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__ADX,repair_proxy_exclusion_handoff_contract,ADX,adx_strength_bucket,weak/medium/strong trend buckets must be reported for all branches,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__VIX,repair_proxy_exclusion_handoff_contract,VIX,vix_level_or_change_bucket,risk proxy slice must remain diagnostic until fresh MT5 comparison,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__USD,repair_proxy_exclusion_handoff_contract,USD,usdx_change_or_zscore_bucket,USD regime must not be selected after seeing branch PnL,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__rate,repair_proxy_exclusion_handoff_contract,rate,us10yr_change_or_zscore_bucket,rate regime must remain attribution only unless separately validated,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__session,defense_cost_curve_underwater_gate,session,ny_session_bucket,predeclare cash/open/mid/close/off-session buckets without using forward result,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__hour,defense_cost_curve_underwater_gate,hour,broker_hour_and_ny_hour,report every hour; no after-result profitable hour filter,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__month,defense_cost_curve_underwater_gate,month,calendar_month,report month only for attribution; do not drop known weak calendar pocket,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__volatility,defense_cost_curve_underwater_gate,volatility,atr_hv_quantile,use predeclared quantile labels from training/reference window only,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__ADX,defense_cost_curve_underwater_gate,ADX,adx_strength_bucket,weak/medium/strong trend buckets must be reported for all branches,trade_count;net_profit;profit_factor;expectancy;max_drawdown;recovery_factor;time_under_water;long_short_split,attribution_and_failure_memory_only_until_independent_validation,pick_profitable_slice_after_result;direct_forward_pocket_filter,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
