manifest_id,branch_id,dimension,rank_use,forward_decision_use,diagnostic_use,old_proxy_value_allowed,required_rebuild_grain,acceptance_evidence,score_input_allowlist,forbidden_use,claim_boundary
repair_proxy_exclusion_handoff_contract__proxy_exclusion_curve_pocket,repair_proxy_exclusion_handoff_contract,curve_pocket,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__proxy_exclusion_expectancy,repair_proxy_exclusion_handoff_contract,expectancy,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__proxy_exclusion_long_short_attribution,repair_proxy_exclusion_handoff_contract,long_short_attribution,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__proxy_exclusion_lot_normalized_result,repair_proxy_exclusion_handoff_contract,lot_normalized_result,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__proxy_exclusion_max_drawdown,repair_proxy_exclusion_handoff_contract,max_drawdown,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__proxy_exclusion_net_profit,repair_proxy_exclusion_handoff_contract,net_profit,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__proxy_exclusion_profit_factor,repair_proxy_exclusion_handoff_contract,profit_factor,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__proxy_exclusion_recovery_factor,repair_proxy_exclusion_handoff_contract,recovery_factor,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__proxy_exclusion_session_hour_regime,repair_proxy_exclusion_handoff_contract,session_hour_regime,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__proxy_exclusion_spread_slippage_stress,repair_proxy_exclusion_handoff_contract,spread_slippage_stress,blocked,blocked,allowed_with_boundary,false,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,predeclared_feature_family_only;fresh_branch_grain_metric_after_review,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
