schema_id,branch_id,runtime_subject,required_identity,required_check,acceptance_evidence,external_verification_status,preflight_status,forbidden,claim_boundary
repair_proxy_exclusion_handoff_contract__feature_order_identity,repair_proxy_exclusion_handoff_contract,Python parser to ONNX to MT5 input vector,58 feature order hash and closed-bar timing,"feature count, order hash, finite input audit, all-or-skip reason codes",row-level snapshot and hash in future runtime probe,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,feature_order_change_without_new_artifact;partial_bar_input,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__model_bundle_identity,repair_proxy_exclusion_handoff_contract,ONNX bundle and adapter package,model hash;adapter hash;threshold/risk/lot config hash,Python ONNX inference equals MT5 ONNX output within tolerance,future parity CSV with probability and decision columns,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,silent_model_swap;threshold_retuning,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__mt5_report_telemetry_identity,repair_proxy_exclusion_handoff_contract,Strategy Tester report and terminal file output,report path;telemetry path;tester period;spread;commission;deposit;symbol;timeframe,"parseable trade list, equity curve, skips/rejects, and settings",MT5 report and telemetry manifest in future run,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,runtime_authority_from_compile_only;missing_report_identity,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__row_level_runtime_parity,repair_proxy_exclusion_handoff_contract,research signal versus MT5 decision,timestamp;decision;probability;direction;skip reason,"decision mismatch count, max probability diff, terminal flat gap",row-level parity report before runtime claim,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,aggregate_only_parity_claim,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__external_verification_status,repair_proxy_exclusion_handoff_contract,future branch claims requiring MT5,completed;blocked;out_of_scope_by_claim;not_applicable,attempt command or exact blocker recorded,run_manifest external_verification_status field,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,repeat_missing_external_check_as_reviewed,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__feature_order_identity,defense_cost_curve_underwater_gate,Python parser to ONNX to MT5 input vector,58 feature order hash and closed-bar timing,"feature count, order hash, finite input audit, all-or-skip reason codes",row-level snapshot and hash in future runtime probe,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,feature_order_change_without_new_artifact;partial_bar_input,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__model_bundle_identity,defense_cost_curve_underwater_gate,ONNX bundle and adapter package,model hash;adapter hash;threshold/risk/lot config hash,Python ONNX inference equals MT5 ONNX output within tolerance,future parity CSV with probability and decision columns,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,silent_model_swap;threshold_retuning,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__mt5_report_telemetry_identity,defense_cost_curve_underwater_gate,Strategy Tester report and terminal file output,report path;telemetry path;tester period;spread;commission;deposit;symbol;timeframe,"parseable trade list, equity curve, skips/rejects, and settings",MT5 report and telemetry manifest in future run,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,runtime_authority_from_compile_only;missing_report_identity,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__row_level_runtime_parity,defense_cost_curve_underwater_gate,research signal versus MT5 decision,timestamp;decision;probability;direction;skip reason,"decision mismatch count, max probability diff, terminal flat gap",row-level parity report before runtime claim,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,aggregate_only_parity_claim,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__external_verification_status,defense_cost_curve_underwater_gate,future branch claims requiring MT5,completed;blocked;out_of_scope_by_claim;not_applicable,attempt command or exact blocker recorded,run_manifest external_verification_status field,out_of_scope_by_claim_materialization_only,schema_materialized_no_runtime_execution,repeat_missing_external_check_as_reviewed,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
