stage_id,run_id,parent_run_id,run_date,date,status,judgment,decision,next_run_id,primary_artifact,path,report_path,primary_report,gate_passes,gate_total,claim_boundary,scoreboard_lane,lane,family,work_family,run_number,notes,source_package_run_id,rows,candidate_rows,external_verification_status,result_status,trade_density_requirement_status,result_judgment,final_decision_path,created_at,ledger_row_id,row_id,subrun_id,view,record_view,tier,tier_scope,metric_scope,kpi_scope,net_profit,profit_factor,expectancy,drawdown,recovery_factor,trade_count,primary_kpi,guardrail_kpi,trade_density_per_feature_day,trained_models,onnx_parity,best_proxy,positive_proxy_rows,best_model_id,best_proxy_net,attempt_rows,feature_matrix_rows,runtime_completed_rows,matched_rows,mismatch_rows,positive_net_rows,best_net_profit,best_profit_factor,operating_ready_rows,candidate_model_id,sample_rows,feature_count,max_drawdown_amount,long_trade_count,short_trade_count,evidence_boundary,next_action,question
359_runtime_probe_execution__high_density_label_pivot_mt5_check,run359A_branch_stage358_to_high_density_label_pivot_mt5_execution_without_db_v1,run358B_package_high_density_label_pivot_mt5_probe_without_db_v1,2026-06-02,2026-06-02,completed_stage359A_user_requested_stage_split_mt5_execution_opened_no_selection,stage_branch_completed_stage358_package_handoff_to_stage359_mt5_execution_no_operating_claim,stage359A_open_run359B_execute_high_density_label_pivot_mt5_probe_without_db_v1,run359B_execute_high_density_label_pivot_mt5_probe_without_db_v1,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/02_runs/run359A/final_decision.json,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359A_stage_branch.md,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359A_stage_branch.md,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359A_stage_branch.md,7,7,state_sync_stage_branch_high_density_label_pivot_mt5_execution_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,state_sync_stage_branch(상태 동기화 단계 분기),state_sync_stage_branch(상태 동기화 단계 분기),state_sync(상태 동기화),state_sync(상태 동기화),run359A,Stage358B package handed off to Stage359(Tier A 전체 문맥 패키지 인계).,run358B_package_high_density_label_pivot_mt5_probe_without_db_v1,139424,8,"stage_branch_handoff_no_new_mt5_execution(단계 분기 인계, 새 MT5 실행 없음)","stage_branch_opened_no_selection(단계 분기 완료, 선택 없음)",trade_per_day_min_3_to_10_plus_no_trade_splitting,stage_branch_completed_stage358_package_handoff_to_stage359_mt5_execution_no_operating_claim,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/02_runs/run359A/final_decision.json,2026-06-02,run359A_branch_stage358_to_high_density_label_pivot_mt5_execution_without_db_v1__Tier_A,run359A_branch_stage358_to_high_density_label_pivot_mt5_execution_without_db_v1__Tier_A,Tier A,Tier A separate(Tier A 분리),Tier A separate(Tier A 분리),Tier A,Tier A,runtime_execution_handoff_full_context(런타임 실행 인계 전체 문맥),runtime_execution_handoff_full_context(런타임 실행 인계 전체 문맥),,,,,,,runtime_attempt_rows=4,trade_per_day_min_3_to_10_plus_no_trade_splitting,,,,,,,,,,,,,,,,,,,,,,,,,
359_runtime_probe_execution__high_density_label_pivot_mt5_check,run359A_branch_stage358_to_high_density_label_pivot_mt5_execution_without_db_v1,run358B_package_high_density_label_pivot_mt5_probe_without_db_v1,2026-06-02,2026-06-02,completed_stage359A_user_requested_stage_split_mt5_execution_opened_no_selection,stage_branch_completed_stage358_package_handoff_to_stage359_mt5_execution_no_operating_claim,stage359A_open_run359B_execute_high_density_label_pivot_mt5_probe_without_db_v1,run359B_execute_high_density_label_pivot_mt5_probe_without_db_v1,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/02_runs/run359A/final_decision.json,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359A_stage_branch.md,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359A_stage_branch.md,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359A_stage_branch.md,7,7,state_sync_stage_branch_high_density_label_pivot_mt5_execution_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,state_sync_stage_branch(상태 동기화 단계 분기),state_sync_stage_branch(상태 동기화 단계 분기),state_sync(상태 동기화),state_sync(상태 동기화),run359A,Tier B partial-context package remains missing_required(Tier B 부분 문맥 패키지는 필수 누락 유지).,run358B_package_high_density_label_pivot_mt5_probe_without_db_v1,139424,8,"stage_branch_handoff_no_new_mt5_execution(단계 분기 인계, 새 MT5 실행 없음)",missing_required(필수 누락),trade_per_day_min_3_to_10_plus_no_trade_splitting,stage_branch_completed_stage358_package_handoff_to_stage359_mt5_execution_no_operating_claim,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/02_runs/run359A/final_decision.json,2026-06-02,run359A_branch_stage358_to_high_density_label_pivot_mt5_execution_without_db_v1__Tier_B,run359A_branch_stage358_to_high_density_label_pivot_mt5_execution_without_db_v1__Tier_B,Tier B,Tier B separate(Tier B 분리),Tier B separate(Tier B 분리),Tier B,Tier B,missing_required_no_partial_context_runtime_package(Tier B 부분 문맥 런타임 패키지 없음 필수 누락),missing_required_no_partial_context_runtime_package(Tier B 부분 문맥 런타임 패키지 없음 필수 누락),,,,,,,runtime_attempt_rows=4,trade_per_day_min_3_to_10_plus_no_trade_splitting,,,,,,,,,,,,,,,,,,,,,,,,,
359_runtime_probe_execution__high_density_label_pivot_mt5_check,run359A_branch_stage358_to_high_density_label_pivot_mt5_execution_without_db_v1,run358B_package_high_density_label_pivot_mt5_probe_without_db_v1,2026-06-02,2026-06-02,completed_stage359A_user_requested_stage_split_mt5_execution_opened_no_selection,stage_branch_completed_stage358_package_handoff_to_stage359_mt5_execution_no_operating_claim,stage359A_open_run359B_execute_high_density_label_pivot_mt5_probe_without_db_v1,run359B_execute_high_density_label_pivot_mt5_probe_without_db_v1,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/02_runs/run359A/final_decision.json,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359A_stage_branch.md,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359A_stage_branch.md,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359A_stage_branch.md,7,7,state_sync_stage_branch_high_density_label_pivot_mt5_execution_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,state_sync_stage_branch(상태 동기화 단계 분기),state_sync_stage_branch(상태 동기화 단계 분기),state_sync(상태 동기화),state_sync(상태 동기화),run359A,Combined record is same as Tier A because no fallback is materialized(대체가 없어 합산 기록은 Tier A와 동일).,run358B_package_high_density_label_pivot_mt5_probe_without_db_v1,139424,8,"stage_branch_handoff_no_new_mt5_execution(단계 분기 인계, 새 MT5 실행 없음)","stage_branch_opened_no_selection(단계 분기 완료, 선택 없음)",trade_per_day_min_3_to_10_plus_no_trade_splitting,stage_branch_completed_stage358_package_handoff_to_stage359_mt5_execution_no_operating_claim,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/02_runs/run359A/final_decision.json,2026-06-02,run359A_branch_stage358_to_high_density_label_pivot_mt5_execution_without_db_v1__Tier_AplusB,run359A_branch_stage358_to_high_density_label_pivot_mt5_execution_without_db_v1__Tier_AplusB,Tier A+B,Tier A+B combined(Tier A+B 합산),Tier A+B combined(Tier A+B 합산),Tier A+B,Tier A+B,same_as_tier_a_no_fallback(대체 없음 Tier A와 동일),same_as_tier_a_no_fallback(대체 없음 Tier A와 동일),,,,,,,runtime_attempt_rows=4,trade_per_day_min_3_to_10_plus_no_trade_splitting,,,,,,,,,,,,,,,,,,,,,,,,,
359_runtime_probe_execution__high_density_label_pivot_mt5_check,run359B_execute_high_density_label_pivot_mt5_probe_without_db_v1,run359A_branch_stage358_to_high_density_label_pivot_mt5_execution_without_db_v1,2026-06-02,2026-06-02,completed_stage359B_high_density_label_pivot_mt5_probe_executed_review_required_no_selection,runtime_probe_positive_but_review_required_no_selection,stage359B_open_run359C_review_high_density_label_pivot_mt5_probe_without_db_v1,run359C_review_high_density_label_pivot_mt5_probe_without_db_v1,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/02_runs/run359B/final_decision.json,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359B_high_density_label_pivot_mt5_probe.md,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359B_high_density_label_pivot_mt5_probe.md,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359B_high_density_label_pivot_mt5_probe.md,11,11,runtime_probe_only_proxy_mt5_diff_recorded_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,runtime_probe_execution(런타임 탐침 실행),runtime_probe_execution(런타임 탐침 실행),runtime_backtest(런타임 백테스트),runtime_backtest(런타임 백테스트),run359B,Stage359B executes Stage358B source-package pside/all attempts in MT5 Strategy Tester(Stage359B는 Stage358B 원천 패키지 pside/all 시도를 MT5 전략 테스터에서 실행).,run358B_package_high_density_label_pivot_mt5_probe_without_db_v1,4,4,completed,completed_stage359B_high_density_label_pivot_mt5_probe_executed_review_required_no_selection,meets_min_3_to_10_band,runtime_probe_positive_but_review_required_no_selection,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/02_runs/run359B/final_decision.json,2026-06-02,run359B_execute_high_density_label_pivot_mt5_probe_without_db_v1__Tier_A,run359B_execute_high_density_label_pivot_mt5_probe_without_db_v1__Tier_A,Tier A,Tier A separate(Tier A 분리),Tier A separate(Tier A 분리),Tier A,Tier A,runtime_probe_execution_full_context(런타임 탐침 실행 전체 문맥),runtime_probe_execution_full_context(런타임 탐침 실행 전체 문맥),262.85,1.09,0.28,285.94,0.92,936,best_net=262.85;pf=1.09;trades=936,trade_per_day_min_3_to_10_plus_no_trade_splitting,7.145038167938932,,,,,,,,,,,,,,,,,,,,,,,,
359_runtime_probe_execution__high_density_label_pivot_mt5_check,run359B_execute_high_density_label_pivot_mt5_probe_without_db_v1,run359A_branch_stage358_to_high_density_label_pivot_mt5_execution_without_db_v1,2026-06-02,2026-06-02,completed_stage359B_high_density_label_pivot_mt5_probe_executed_review_required_no_selection,runtime_probe_positive_but_review_required_no_selection,stage359B_open_run359C_review_high_density_label_pivot_mt5_probe_without_db_v1,run359C_review_high_density_label_pivot_mt5_probe_without_db_v1,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/02_runs/run359B/final_decision.json,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359B_high_density_label_pivot_mt5_probe.md,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359B_high_density_label_pivot_mt5_probe.md,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359B_high_density_label_pivot_mt5_probe.md,11,11,runtime_probe_only_proxy_mt5_diff_recorded_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,runtime_probe_execution(런타임 탐침 실행),runtime_probe_execution(런타임 탐침 실행),runtime_backtest(런타임 백테스트),runtime_backtest(런타임 백테스트),run359B,Tier B partial-context runtime execution is not materialized in Stage359B(Tier B 부분 문맥 런타임 실행은 Stage359B에서 미산출).,run358B_package_high_density_label_pivot_mt5_probe_without_db_v1,4,4,completed,missing_required(필수 누락),meets_min_3_to_10_band,runtime_probe_positive_but_review_required_no_selection,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/02_runs/run359B/final_decision.json,2026-06-02,run359B_execute_high_density_label_pivot_mt5_probe_without_db_v1__Tier_B,run359B_execute_high_density_label_pivot_mt5_probe_without_db_v1__Tier_B,Tier B,Tier B separate(Tier B 분리),Tier B separate(Tier B 분리),Tier B,Tier B,missing_required_no_partial_context_runtime_execution(Tier B 부분 문맥 런타임 실행 없음 필수 누락),missing_required_no_partial_context_runtime_execution(Tier B 부분 문맥 런타임 실행 없음 필수 누락),262.85,1.09,0.28,285.94,0.92,936,tier_b_runtime_execution_rows=0,trade_per_day_min_3_to_10_plus_no_trade_splitting,7.145038167938932,,,,,,,,,,,,,,,,,,,,,,,,
359_runtime_probe_execution__high_density_label_pivot_mt5_check,run359B_execute_high_density_label_pivot_mt5_probe_without_db_v1,run359A_branch_stage358_to_high_density_label_pivot_mt5_execution_without_db_v1,2026-06-02,2026-06-02,completed_stage359B_high_density_label_pivot_mt5_probe_executed_review_required_no_selection,runtime_probe_positive_but_review_required_no_selection,stage359B_open_run359C_review_high_density_label_pivot_mt5_probe_without_db_v1,run359C_review_high_density_label_pivot_mt5_probe_without_db_v1,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/02_runs/run359B/final_decision.json,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359B_high_density_label_pivot_mt5_probe.md,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359B_high_density_label_pivot_mt5_probe.md,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359B_high_density_label_pivot_mt5_probe.md,11,11,runtime_probe_only_proxy_mt5_diff_recorded_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,runtime_probe_execution(런타임 탐침 실행),runtime_probe_execution(런타임 탐침 실행),runtime_backtest(런타임 백테스트),runtime_backtest(런타임 백테스트),run359B,Stage359B executes Stage358B source-package pside/all attempts in MT5 Strategy Tester(Stage359B는 Stage358B 원천 패키지 pside/all 시도를 MT5 전략 테스터에서 실행).,run358B_package_high_density_label_pivot_mt5_probe_without_db_v1,4,4,completed,completed_stage359B_high_density_label_pivot_mt5_probe_executed_review_required_no_selection,meets_min_3_to_10_band,runtime_probe_positive_but_review_required_no_selection,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/02_runs/run359B/final_decision.json,2026-06-02,run359B_execute_high_density_label_pivot_mt5_probe_without_db_v1__Tier_AplusB,run359B_execute_high_density_label_pivot_mt5_probe_without_db_v1__Tier_AplusB,Tier A+B,Tier A+B combined(Tier A+B 합산),Tier A+B combined(Tier A+B 합산),Tier A+B,Tier A+B,same_as_tier_a_no_fallback(대체 없음 Tier A와 동일),same_as_tier_a_no_fallback(대체 없음 Tier A와 동일),262.85,1.09,0.28,285.94,0.92,936,best_net=262.85;pf=1.09;trades=936,trade_per_day_min_3_to_10_plus_no_trade_splitting,7.145038167938932,,,,,,,,,,,,,,,,,,,,,,,,
359_runtime_probe_execution__high_density_label_pivot_mt5_check,run359C_review_high_density_label_pivot_mt5_probe_without_db_v1,run359B_execute_high_density_label_pivot_mt5_probe_without_db_v1,2026-06-02,2026-06-02,reviewed_stage359C_high_density_label_pivot_mt5_probe_oos_positive_validation_negative_no_selection,runtime_probe_positive_oos_only_validation_unstable_no_operating_claim,stage359C_open_run359D_branch_to_stage360_regime_stability_pivot_v1,run359D_branch_to_stage360_regime_stability_pivot_v1,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/02_runs/run359C/final_decision.json,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359C_high_density_label_pivot_mt5_probe_review.md,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359C_high_density_label_pivot_mt5_probe_review.md,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359C_high_density_label_pivot_mt5_probe_review.md,8,8,reviewed_runtime_probe_positive_oos_only_validation_negative_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,kpi_evidence(KPI 근거),kpi_evidence(KPI 근거),kpi_evidence(KPI 근거),kpi_evidence(KPI 근거),run359C,"Stage359C reviews Stage359B MT5 runtime probe: OOS positive, validation negative, no selection.",run358B_package_high_density_label_pivot_mt5_probe_without_db_v1,4,4,completed,reviewed_stage359C_high_density_label_pivot_mt5_probe_oos_positive_validation_negative_no_selection,meets_min_3_to_10_band,runtime_probe_positive_oos_only_validation_unstable_no_operating_claim,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/02_runs/run359C/final_decision.json,2026-06-02,run359C_review_high_density_label_pivot_mt5_probe_without_db_v1__Tier_A,run359C_review_high_density_label_pivot_mt5_probe_without_db_v1__Tier_A,Tier A,Tier A separate(Tier A 분리),Tier A separate(Tier A 분리),Tier A,Tier A,runtime_probe_review_full_context(런타임 탐침 검토 전체 문맥),runtime_probe_review_full_context(런타임 탐침 검토 전체 문맥),262.85,1.09,0.28,285.94,0.92,936,best_oos_net=262.85;validation_positive_rows=0;mismatch=0,trade_per_day_min_3_to_10_plus_no_trade_splitting,7.145038167938932,,,,,,,,,,,,,,,,,,,,,,,,
359_runtime_probe_execution__high_density_label_pivot_mt5_check,run359C_review_high_density_label_pivot_mt5_probe_without_db_v1,run359B_execute_high_density_label_pivot_mt5_probe_without_db_v1,2026-06-02,2026-06-02,reviewed_stage359C_high_density_label_pivot_mt5_probe_oos_positive_validation_negative_no_selection,runtime_probe_positive_oos_only_validation_unstable_no_operating_claim,stage359C_open_run359D_branch_to_stage360_regime_stability_pivot_v1,run359D_branch_to_stage360_regime_stability_pivot_v1,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/02_runs/run359C/final_decision.json,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359C_high_density_label_pivot_mt5_probe_review.md,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359C_high_density_label_pivot_mt5_probe_review.md,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359C_high_density_label_pivot_mt5_probe_review.md,8,8,reviewed_runtime_probe_positive_oos_only_validation_negative_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,kpi_evidence(KPI 근거),kpi_evidence(KPI 근거),kpi_evidence(KPI 근거),kpi_evidence(KPI 근거),run359C,"Tier B fallback was not materialized in Stage359B, so review keeps it missing_required.",run358B_package_high_density_label_pivot_mt5_probe_without_db_v1,4,4,completed,missing_required(필수 누락),meets_min_3_to_10_band,runtime_probe_positive_oos_only_validation_unstable_no_operating_claim,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/02_runs/run359C/final_decision.json,2026-06-02,run359C_review_high_density_label_pivot_mt5_probe_without_db_v1__Tier_B,run359C_review_high_density_label_pivot_mt5_probe_without_db_v1__Tier_B,Tier B,Tier B separate(Tier B 분리),Tier B separate(Tier B 분리),Tier B,Tier B,missing_required_no_partial_context_runtime_review(Tier B 부분 문맥 런타임 검토 없음 필수 누락),missing_required_no_partial_context_runtime_review(Tier B 부분 문맥 런타임 검토 없음 필수 누락),262.85,1.09,0.28,285.94,0.92,936,tier_b_runtime_review_rows=0,trade_per_day_min_3_to_10_plus_no_trade_splitting,7.145038167938932,,,,,,,,,,,,,,,,,,,,,,,,
359_runtime_probe_execution__high_density_label_pivot_mt5_check,run359C_review_high_density_label_pivot_mt5_probe_without_db_v1,run359B_execute_high_density_label_pivot_mt5_probe_without_db_v1,2026-06-02,2026-06-02,reviewed_stage359C_high_density_label_pivot_mt5_probe_oos_positive_validation_negative_no_selection,runtime_probe_positive_oos_only_validation_unstable_no_operating_claim,stage359C_open_run359D_branch_to_stage360_regime_stability_pivot_v1,run359D_branch_to_stage360_regime_stability_pivot_v1,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/02_runs/run359C/final_decision.json,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359C_high_density_label_pivot_mt5_probe_review.md,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359C_high_density_label_pivot_mt5_probe_review.md,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/03_reviews/run359C_high_density_label_pivot_mt5_probe_review.md,8,8,reviewed_runtime_probe_positive_oos_only_validation_negative_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,kpi_evidence(KPI 근거),kpi_evidence(KPI 근거),kpi_evidence(KPI 근거),kpi_evidence(KPI 근거),run359C,"Stage359C reviews Stage359B MT5 runtime probe: OOS positive, validation negative, no selection.",run358B_package_high_density_label_pivot_mt5_probe_without_db_v1,4,4,completed,reviewed_stage359C_high_density_label_pivot_mt5_probe_oos_positive_validation_negative_no_selection,meets_min_3_to_10_band,runtime_probe_positive_oos_only_validation_unstable_no_operating_claim,stages/359_runtime_probe_execution__high_density_label_pivot_mt5_check/02_runs/run359C/final_decision.json,2026-06-02,run359C_review_high_density_label_pivot_mt5_probe_without_db_v1__Tier_AplusB,run359C_review_high_density_label_pivot_mt5_probe_without_db_v1__Tier_AplusB,Tier A+B,Tier A+B combined(Tier A+B 합산),Tier A+B combined(Tier A+B 합산),Tier A+B,Tier A+B,same_as_tier_a_no_fallback(대체 없음 Tier A와 동일),same_as_tier_a_no_fallback(대체 없음 Tier A와 동일),262.85,1.09,0.28,285.94,0.92,936,best_oos_net=262.85;validation_positive_rows=0;mismatch=0,trade_per_day_min_3_to_10_plus_no_trade_splitting,7.145038167938932,,,,,,,,,,,,,,,,,,,,,,,,
360_regime_stability_pivot__oos_long_cash_edge_validation_loss,run359D_branch_to_stage360_regime_stability_pivot_v1,run359C_review_high_density_label_pivot_mt5_probe_without_db_v1,2026-06-02,2026-06-02,completed_stage359D_branch_stage360_regime_stability_pivot_opened_no_selection,stage_branch_completed_stage359_positive_oos_validation_instability_to_stage360_no_operating_claim,stage359D_open_run360A_design_regime_stability_pivot_without_db_v1,run360A_design_regime_stability_pivot_without_db_v1,stages/360_regime_stability_pivot__oos_long_cash_edge_validation_loss/02_runs/run359D/final_decision.json,stages/360_regime_stability_pivot__oos_long_cash_edge_validation_loss/03_reviews/run359D_stage_branch.md,stages/360_regime_stability_pivot__oos_long_cash_edge_validation_loss/03_reviews/run359D_stage_branch.md,stages/360_regime_stability_pivot__oos_long_cash_edge_validation_loss/03_reviews/run359D_stage_branch.md,9,9,state_sync_stage_branch_stage359_to_stage360_regime_stability_pivot_handoff_only_no_new_model_training_no_new_proxy_execution_no_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,state_sync_stage_branch(상태 동기화 단계 분기),state_sync_stage_branch(상태 동기화 단계 분기),state_sync(상태 동기화),state_sync(상태 동기화),run359D,Stage359C reviewed MT5 runtime probe(359C 검토된 MT5 런타임 탐침)를 Stage360 regime stability pivot(360단계 국면 안정성 전환)으로 넘김; selection(선택) 없음.,run358B_package_high_density_label_pivot_mt5_probe_without_db_v1,4,0,"stage_branch_handoff_no_new_mt5_execution(단계 분기 인계, 새 MT5 실행 없음)",completed_stage359D_branch_stage360_regime_stability_pivot_opened_no_selection,carried_as_clue_not_selection(선택 아닌 단서로 이월),stage_branch_completed_stage359_positive_oos_validation_instability_to_stage360_no_operating_claim,stages/360_regime_stability_pivot__oos_long_cash_edge_validation_loss/02_runs/run359D/final_decision.json,2026-06-02,run359D_branch_to_stage360_regime_stability_pivot_v1__Tier_A,run359D_branch_to_stage360_regime_stability_pivot_v1__Tier_A,,Tier A separate(Tier A 분리),Tier A separate(Tier A 분리),Tier A,Tier A,carried_stage359C_reviewed_runtime_probe(359C 검토 런타임 탐침 이월),Stage359C reviewed MT5 clue carried forward(359C 검토 MT5 단서 이월),262.85,1.09,0.28,285.94,0.92,936,q05_oos_net=262.85;pf=1.09;trades=936,validation_positive_rows=0;q05_validation_net=-222.41;cost_drag_0_3_survivors=0,7.145038167938932,0,,,,run357B_d04_h12_q45_55_high_density_band__extratrees_cls_depth10_leaf80_seed13,,4,,0,0,0,2,262.85,1.09,0,run357B_d04_h12_q45_55_high_density_band__extratrees_cls_depth10_leaf80_seed13,,58,285.94,472,464,stage_branch_handoff_only(단계 분기 인계 전용),run360A_design_regime_stability_pivot_without_db_v1,Can OOS long/cash edge survive validation and regime stress?(표본외 롱/현금장 우위가 검증/국면 압박을 버틸 수 있는가?)
