parameter,observed,expected,status,source,effect,claim_boundary
InpTierLabel,Tier A+B,Tier A+B,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpPrimaryActiveTier,tier_a,tier_a,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpFeatureCount,1,1,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpFeatureOrderHash,839a84eca981d034211de743c0f9830335149e2a4817e947de6b96dd9fb5a70c,839a84eca981d034211de743c0f9830335149e2a4817e947de6b96dd9fb5a70c,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpFallbackEnabled,true,true,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpFallbackFeatureCount,1,1,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpFallbackFeatureOrderHash,839a84eca981d034211de743c0f9830335149e2a4817e947de6b96dd9fb5a70c,839a84eca981d034211de743c0f9830335149e2a4817e947de6b96dd9fb5a70c,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpShortThreshold,0.55,0.55,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpLongThreshold,0.55,0.55,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
InpMinMargin,0,0,passed,stages/337_onnx_research_packet__cost_buffer_direction_curve_rebuild/02_runs/run337BK/mt5/run337BK_cp322a_forward_probe_review_template.set,confirms frozen cp322A runtime parameter was not mutated(고정 cp322A 런타임 파라미터 비변경 확인),research_development_only_stage337BL_mt5_probe_package_review_without_db_cp322a_frozen_no_model_training_no_threshold_retuning_no_db_rule_rewrite_no_lot_optimization_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
