label,path,exists,sha256,size_bytes,required,producer,consumer,availability,claim_boundary
run351C final decision(351C 최종 결정),stages/351_onnx_trade_surface_rebuild__no_scaler_or_1d_scaler_runtime_contract/02_runs/run351C/final_decision.json,true,15f9a4cd84fff4b83fd3e37529ad4642ee4436b329d4bec862f81f41824859f0,2328,true,Stage351(351단계),run352A_branch_stage351_to_report_identity_repair_without_db_v1,tracked,state_sync_stage_branch_report_identity_repair_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run351C gate audit(351C 게이트 감사),stages/351_onnx_trade_surface_rebuild__no_scaler_or_1d_scaler_runtime_contract/02_runs/run351C/required_gate_coverage_audit.csv,true,86863e03a429903677802ae6c065d1aa23c77174a7c33897351244b5f4058ec4,6213,true,Stage351(351단계),run352A_branch_stage351_to_report_identity_repair_without_db_v1,tracked,state_sync_stage_branch_report_identity_repair_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run351C MT5 probe summary(351C MT5 탐침 요약),stages/351_onnx_trade_surface_rebuild__no_scaler_or_1d_scaler_runtime_contract/02_runs/run351C/no_scaler_1d_mt5_probe_summary.csv,true,b7e67556b90f9af8d1e5bc31216de676150cd55038e2692ce6e1ff460101fe40,3619,true,Stage351(351단계),run352A_branch_stage351_to_report_identity_repair_without_db_v1,tracked,state_sync_stage_branch_report_identity_repair_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run351C proxy/MT5 runtime difference(351C 프록시/MT5 런타임 차이),stages/351_onnx_trade_surface_rebuild__no_scaler_or_1d_scaler_runtime_contract/02_runs/run351C/proxy_mt5_runtime_difference.csv,true,fd69ae6ea5d9dfa9794c6c62ec2764f4c3cb92885be6f0a876902276926fbb20,9377611,true,Stage351(351단계),run352A_branch_stage351_to_report_identity_repair_without_db_v1,tracked,state_sync_stage_branch_report_identity_repair_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run351C strategy report records(351C 전략 보고서 기록),stages/351_onnx_trade_surface_rebuild__no_scaler_or_1d_scaler_runtime_contract/02_runs/run351C/strategy_tester_report_records.json,true,7f58d1d3496d39f48e4725112c80f6eda520a613209d3010275675e4c4af4cbd,584,true,Stage351(351단계),run352A_branch_stage351_to_report_identity_repair_without_db_v1,tracked,state_sync_stage_branch_report_identity_repair_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run351C MT5 execution result(351C MT5 실행 결과),stages/351_onnx_trade_surface_rebuild__no_scaler_or_1d_scaler_runtime_contract/02_runs/run351C/mt5_execution_result.json,true,656cacda2e9949dc61cf384018f4df140bb7a915de8dfdb6ca37c3ffde91738c,9487,true,Stage351(351단계),run352A_branch_stage351_to_report_identity_repair_without_db_v1,tracked,state_sync_stage_branch_report_identity_repair_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run351C run manifest(351C 실행 목록),stages/351_onnx_trade_surface_rebuild__no_scaler_or_1d_scaler_runtime_contract/02_runs/run351C/run_manifest.json,true,ff6d272329ad9e25d485bff93ce564017ad0722cafe4ab7138f2ada50522d0b6,5570,true,Stage351(351단계),run352A_branch_stage351_to_report_identity_repair_without_db_v1,tracked,state_sync_stage_branch_report_identity_repair_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run351C artifact lineage(351C 산출물 계보),stages/351_onnx_trade_surface_rebuild__no_scaler_or_1d_scaler_runtime_contract/02_runs/run351C/artifact_lineage_receipt.json,true,3e4d37329f2ea50c91543d5cf1de52755c8a181a7d7be9d5ec97b0d9adaf96aa,11347,true,Stage351(351단계),run352A_branch_stage351_to_report_identity_repair_without_db_v1,tracked,state_sync_stage_branch_report_identity_repair_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run351C report(351C 보고서),stages/351_onnx_trade_surface_rebuild__no_scaler_or_1d_scaler_runtime_contract/03_reviews/run351C_no_scaler_1d_onnx_trade_surface_mt5_probe.md,true,aa32451843835d5c07a44a794ecc900fef255f7c384a383da2e3c2242f33ece3,1860,true,Stage351(351단계),run352A_branch_stage351_to_report_identity_repair_without_db_v1,tracked,state_sync_stage_branch_report_identity_repair_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
Stage351 run ledger(351단계 실행 장부),stages/351_onnx_trade_surface_rebuild__no_scaler_or_1d_scaler_runtime_contract/03_reviews/stage_run_ledger.csv,true,3f4f66af107ba556f3047dac352be8a2ef2be37558544952cad48c07746cc72c,17816,true,Stage351(351단계),run352A_branch_stage351_to_report_identity_repair_without_db_v1,tracked,state_sync_stage_branch_report_identity_repair_handoff_only_no_new_mt5_execution_no_candidate_selection_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
