run_id,gate,status,evidence,effect,claim_boundary
run364AS_train_threshold_edge_pf_gap_repair_scout_without_db_v1,parent_materialization_gate(부모 구체화 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AR/final_decision.json,AR materialization(구체화) 완료 확인,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AS_train_threshold_edge_pf_gap_repair_scout_without_db_v1,queue_replay_gate(대기열 재생 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AS/threshold_edge_pf_gap_repair_proxy_scout_surface.csv,실행 가능 queue(대기열) 행을 재생함,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AS_train_threshold_edge_pf_gap_repair_scout_without_db_v1,topn_absence_gate(top_n 부재 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AS/queue_replay_audit.csv,top_n 사용 없음,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AS_train_threshold_edge_pf_gap_repair_scout_without_db_v1,trade_splitting_absence_gate(거래 쪼개기 부재 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AS/queue_replay_audit.csv,거래 쪼개기 없음,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AS_train_threshold_edge_pf_gap_repair_scout_without_db_v1,oos_threshold_lock_gate(표본외 임계값 잠금 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AR/run364AS_scout_queue.csv,표본외 임계값 선택 금지 유지,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AS_train_threshold_edge_pf_gap_repair_scout_without_db_v1,timestamp_boundary_gate(시점 경계 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AR/run364AS_scout_queue.csv,진입 시점에 알려진 값만 사용,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AS_train_threshold_edge_pf_gap_repair_scout_without_db_v1,split_report_gate(분할 보고 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AS/threshold_edge_pf_gap_repair_proxy_scout_surface.csv,validation/OOS(검증/표본외) KPI를 분리 기록,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AS_train_threshold_edge_pf_gap_repair_scout_without_db_v1,tier_ledger_gate(티어 장부 게이트),passed,docs/registers/alpha_run_ledger.csv,Tier A/B/합산 장부 행을 기록,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AS_train_threshold_edge_pf_gap_repair_scout_without_db_v1,claim_boundary_gate(주장 경계 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AS/claim_boundary_receipt.json,운영 주장 없음,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AS_train_threshold_edge_pf_gap_repair_scout_without_db_v1,artifact_lineage_gate(산출물 계보 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AS/artifact_lineage_receipt.json,입력/출력 해시를 기록,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
