queue_id,branch_id,branch_name,design_action,required_inputs,forbidden_outputs,selection_eligible,ready_for_run335F
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,design_predeclared_probe_protocol_no_scoring,"[""branch_input_review_matrix"", ""payload_schema_audit"", ""source_binding_review"", ""runtime_boundary_review"", ""forbidden_claim_review""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",false,true
run335F_design_guarded_branch_probe_protocols_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,design_predeclared_probe_protocol_no_scoring,"[""branch_input_review_matrix"", ""payload_schema_audit"", ""source_binding_review"", ""runtime_boundary_review"", ""forbidden_claim_review""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",false,true
run335F_design_guarded_branch_probe_protocols_v1__direction_symmetry_no_side_drop,run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,design_predeclared_probe_protocol_no_scoring,"[""branch_input_review_matrix"", ""payload_schema_audit"", ""source_binding_review"", ""runtime_boundary_review"", ""forbidden_claim_review""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",false,true
run335F_design_guarded_branch_probe_protocols_v1__drawdown_underwater_recovery_quality,run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,design_predeclared_probe_protocol_no_scoring,"[""branch_input_review_matrix"", ""payload_schema_audit"", ""source_binding_review"", ""runtime_boundary_review"", ""forbidden_claim_review""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",false,true
run335F_design_guarded_branch_probe_protocols_v1__regime_predeclared_macro_state,run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,design_predeclared_probe_protocol_no_scoring,"[""branch_input_review_matrix"", ""payload_schema_audit"", ""source_binding_review"", ""runtime_boundary_review"", ""forbidden_claim_review""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",false,true
run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,design_predeclared_probe_protocol_no_scoring,"[""branch_input_review_matrix"", ""payload_schema_audit"", ""source_binding_review"", ""runtime_boundary_review"", ""forbidden_claim_review""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",false,true
run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,design_predeclared_probe_protocol_no_scoring,"[""branch_input_review_matrix"", ""payload_schema_audit"", ""source_binding_review"", ""runtime_boundary_review"", ""forbidden_claim_review""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",false,true
run335F_design_guarded_branch_probe_protocols_v1__cost_curve_drawdown_interaction_guard,run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,design_predeclared_probe_protocol_no_scoring,"[""branch_input_review_matrix"", ""payload_schema_audit"", ""source_binding_review"", ""runtime_boundary_review"", ""forbidden_claim_review""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",false,true
run335F_design_guarded_branch_probe_protocols_v1__regime_direction_interaction_guard,run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,design_predeclared_probe_protocol_no_scoring,"[""branch_input_review_matrix"", ""payload_schema_audit"", ""source_binding_review"", ""runtime_boundary_review"", ""forbidden_claim_review""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",false,true
run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,design_predeclared_probe_protocol_no_scoring,"[""branch_input_review_matrix"", ""payload_schema_audit"", ""source_binding_review"", ""runtime_boundary_review"", ""forbidden_claim_review""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",false,true
run335F_design_guarded_branch_probe_protocols_v1__null_adjacent_period_control,run335C_b11_null_adjacent_period_control,null_adjacent_period_control,design_predeclared_probe_protocol_no_scoring,"[""branch_input_review_matrix"", ""payload_schema_audit"", ""source_binding_review"", ""runtime_boundary_review"", ""forbidden_claim_review""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",false,true
