branch_id,branch_name,manifest_source_binding_count,source_binding_rows,payload_source_binding_rows,missing_or_unbound_sources,source_binding_status
run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,4,4,4,0,passed
run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,5,5,5,0,passed
run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,4,4,4,0,passed
run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,5,5,5,0,passed
run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,5,5,5,0,passed
run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,5,5,5,0,passed
run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,5,5,5,0,passed
run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,8,8,8,0,passed
run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,7,7,7,0,passed
run335C_b10_subject_swap_negative_control,subject_swap_negative_control,10,10,10,0,passed
run335C_b11_null_adjacent_period_control,null_adjacent_period_control,22,22,22,0,passed
