branch_id,branch_name,branch_type,payload_exists,payload_sha256_match,schema_keys_present,source_bindings_bound,negative_controls_present,stop_conditions_present,tier_views_present,runtime_gates_present_or_out_of_scope,forbidden_claims_absent,queue_selection_ineligible,all_checks_passed,review_status,selection_eligible,next_action,claim_boundary
run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,single_axis_guard,true,true,true,true,true,true,true,true,true,true,true,reviewed_ready_for_probe_protocol_design,false,run335F_design_guarded_branch_probe_protocols_v1,research_development_only_stage335E_branch_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,single_axis_guard,true,true,true,true,true,true,true,true,true,true,true,reviewed_ready_for_probe_protocol_design,false,run335F_design_guarded_branch_probe_protocols_v1,research_development_only_stage335E_branch_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,single_axis_guard,true,true,true,true,true,true,true,true,true,true,true,reviewed_ready_for_probe_protocol_design,false,run335F_design_guarded_branch_probe_protocols_v1,research_development_only_stage335E_branch_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,single_axis_guard,true,true,true,true,true,true,true,true,true,true,true,reviewed_ready_for_probe_protocol_design,false,run335F_design_guarded_branch_probe_protocols_v1,research_development_only_stage335E_branch_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,single_axis_guard,true,true,true,true,true,true,true,true,true,true,true,reviewed_ready_for_probe_protocol_design,false,run335F_design_guarded_branch_probe_protocols_v1,research_development_only_stage335E_branch_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,runtime_guard,true,true,true,true,true,true,true,true,true,true,true,reviewed_ready_for_probe_protocol_design,false,run335F_design_guarded_branch_probe_protocols_v1,research_development_only_stage335E_branch_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,subject_boundary_guard,true,true,true,true,true,true,true,true,true,true,true,reviewed_ready_for_probe_protocol_design,false,run335F_design_guarded_branch_probe_protocols_v1,research_development_only_stage335E_branch_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,cross_axis_guard,true,true,true,true,true,true,true,true,true,true,true,reviewed_ready_for_probe_protocol_design,false,run335F_design_guarded_branch_probe_protocols_v1,research_development_only_stage335E_branch_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,cross_axis_guard,true,true,true,true,true,true,true,true,true,true,true,reviewed_ready_for_probe_protocol_design,false,run335F_design_guarded_branch_probe_protocols_v1,research_development_only_stage335E_branch_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b10_subject_swap_negative_control,subject_swap_negative_control,negative_control_guard,true,true,true,true,true,true,true,true,true,true,true,reviewed_ready_for_probe_protocol_design,false,run335F_design_guarded_branch_probe_protocols_v1,research_development_only_stage335E_branch_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335C_b11_null_adjacent_period_control,null_adjacent_period_control,global_negative_control,true,true,true,true,true,true,true,true,true,true,true,reviewed_ready_for_probe_protocol_design,false,run335F_design_guarded_branch_probe_protocols_v1,research_development_only_stage335E_branch_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
