run_id,input_path,exists,sha256,role(역할),claim_boundary(주장 경계)
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AI/final_decision.json,True,55363db5164c7ced0fe7d4481f72488caf962cc30a91de0f7f2df0ea1d0b78fd,supporting evidence(보조 근거),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AI/required_gate_coverage_audit.csv,True,69f658741511caed9d153022042c6f12515fc5cec1040a10a4a3c25a08c1393f,supporting evidence(보조 근거),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AI/run364AJ_scout_queue.csv,True,1dc5ed6cd872f7511223b4b58ac4415b6a5cf61fc8ac70c9c6b2c44ee2fcca58,parent queue(부모 대기열),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/03_reviews/run364AI_session_side_pf_lift_density_repair_inputs.md,True,51ea5e80e98dc0f9c28094d304ee2ae60352f519905e602a1a2a789c6e78bc47,supporting evidence(보조 근거),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AG/final_decision.json,True,902d72da42ac3ec6be3bd026eb056ebe1eb305eaa68b99a27958bbef5f4d037f,supporting evidence(보조 근거),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AG/selected_proxy_candidate.json,True,2dbf4476dc5a0ac835a5b8bf022f5dd9841e2684b45c7bbec957eadee634e068,baseline selected proxy(기준 선택 프록시),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AG/expected_tapes/selected_trade_tape.csv,True,dda024bd3398e2c3989b29ab6f73fe0f0522b092af72efaf7ee655ca9e70f3a8,expected trade tape(예상 거래 테이프),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364AG/pf_lift_density_safe_proxy_scout_surface.csv,True,6ca64cac59f9db039079735cf7dffa4462909de5bf05e0ba75243f8c323ddc4f,supporting evidence(보조 근거),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364V/selected_runtime_candidate.json,True,9a215ecf4c6a0e32b264027951139895d669cef3f8385a04a86b10402aba869c,supporting evidence(보조 근거),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364V/expected_tapes/dual_side_selected_expected_trade_tape.csv,True,45d1b81f8b5ef0571a994fd2dfda3f95c092b966c45eeb1c76ac566877e1238d,expected trade tape(예상 거래 테이프),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364M/feature_matrices/density_lift_trade_shape_features.csv,True,b30205801b5d8c3615d886adafd7053e225179a31aaac01d4782d36c391990ca,supporting evidence(보조 근거),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364AJ_train_session_side_pf_lift_density_repair_scout_without_db_v1,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364M/feature_order.json,True,d7a1067f22872488e8ef8c2fa66dbc644b3845662164dd6d9584c0a6d5a883cc,runtime feature source(런타임 피처 원천),research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
