candidate_id,label,mechanism_family,rule_code,model_family,thresholds,changes_entry_eligibility,scoring_only,direction_specific,long_short_scope,expected_trade_count_effect,overfit_risk,notes
c01_reference_no_session_structure,reference runtime signal without session structure,reference,reference_no_session,score_table_rule,{},False,False,False,both,reference,low,
c02_session_feature_low_complexity,low-complexity model with session features included,session feature model,session_feature_low_complexity,session_reliability_score_table,{},True,True,False,both,moderate,medium,
c03_cash_open_only_reliability,cash-open reliability candidate,cash open reliability,cash_open_only,score_table_rule,{},True,False,False,both,lower,medium_high,
c04_early_cash_session_reliability,first 60 minutes / early session candidate,early cash reliability,early_cash_only,score_table_rule,{},True,False,False,both,lower,medium,
c05_mid_session_reliability,mid-session candidate,mid-session reliability,mid_session_only,score_table_rule,{},True,False,False,both,lower,medium,
c06_cash_close_reliability,late / close session candidate,cash close reliability,cash_close_only,score_table_rule,{},True,False,False,both,lower,medium_high,
c07_overnight_reliability,overnight/futures-like candidate,overnight reliability,overnight_only,score_table_rule,{},True,False,False,both,much lower,high,
c08_exclude_weak_session_bucket,remove weakest session bucket from reference signal,weak session exclusion,exclude_weakest_bucket,session_reliability_score_table,{},True,False,False,both,slightly lower,medium,
c09_session_specific_thresholds,session-specific confidence thresholds,session thresholds,session_specific_thresholds,session_reliability_score_table,{},True,True,False,both,moderate,medium,
c10_session_specific_long_short_thresholds,session-specific long/short thresholds,directional session thresholds,session_specific_long_short_thresholds,session_directional_score_table,{},True,True,True,both,moderate,medium_high,
c11_session_adjusted_label_recheck,broad session-adjusted label recheck,broad session label read,session_adjusted_label_recheck,session_label_balance_score,{},True,True,False,both,moderate,medium_high,
c12_session_calibration_layer,calibration by session bucket,session calibration,session_calibration_layer,session_reliability_score_table,{},True,True,False,both,lower,medium,
c13_session_reliability_score,compact session reliability score,session reliability score,session_reliability_score,session_reliability_score_table,{},True,True,False,both,moderate,medium,
c14_session_and_volatility_interaction,session x volatility interaction,session volatility interaction,session_volatility_interaction,score_table_rule,{},True,True,False,both,lower,medium_high,
c15_session_and_spread_proxy_interaction,session x execution/spread proxy,session spread interaction,session_spread_proxy_interaction,score_table_rule,{},True,True,False,both,lower,medium_high,
c16_direction_specific_session_model,long/short separate session model,direction-specific session model,direction_specific_session_model,session_directional_score_table,{},True,True,True,both,moderate,high,
c17_session_extreme_stress,extreme stress for session-only read,extreme stress,session_extreme_stress,session_reliability_score_table,{},True,True,False,both,much lower,high,
