variant_id,close_month,trade_count,net_profit,expectancy,win_count,loss_count,win_rate_percent,gross_profit,gross_loss,profit_factor,avg_hold_minutes,claim_boundary
bv_full_overlay_reference,2025-11,85,231.62,2.724941,50,35,58.823529,441.71,-210.09,2.10248,211.941176,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,2025-12,59,-21.78,-0.369153,31,28,52.542373,160.04,-181.82,0.880211,51.864407,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,2026-01,82,30.85,0.37622,39,43,47.560976,212.48,-181.63,1.169851,46.829268,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,2026-02,92,145.29,1.579239,55,37,59.782609,373.51,-228.22,1.636623,80.543478,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,2026-03,4,8.34,2.085,2,2,50.0,8.71,-0.37,23.540541,30.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bv_full_overlay_reference,2026-04,46,23.29,0.506304,26,20,56.521739,123.69,-100.4,1.231972,30.434783,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,2025-01,87,31.42,0.361149,44,43,50.574713,260.16,-228.74,1.137361,135.689655,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,2025-02,74,78.96,1.067027,40,34,54.054054,257.7,-178.74,1.441759,200.143694,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,2025-03,9,38.5,4.277778,5,4,55.555556,51.55,-13.05,3.950192,473.333333,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,2025-04,119,175.41,1.474034,60,59,50.420168,653.28,-477.87,1.367066,109.87395,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,2025-05,75,102.26,1.363467,43,32,57.333333,250.99,-148.73,1.687555,174.266667,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,2025-06,68,54.91,0.8075,36,32,52.941176,170.85,-115.94,1.473607,124.044118,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,2025-07,35,5.13,0.146571,18,17,51.428571,79.95,-74.82,1.068565,99.142857,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,2025-08,47,-1.01,-0.021489,20,27,42.553191,113.46,-114.47,0.991177,85.106383,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,2025-09,51,34.97,0.685686,23,28,45.098039,132.75,-97.78,1.35764,100.784314,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,2025-10,78,32.35,0.414744,43,35,55.128205,236.32,-203.97,1.158602,46.602564,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,2025-11,83,244.44,2.94506,50,33,60.240964,441.71,-197.27,2.239114,216.325301,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,2025-12,59,-21.78,-0.369153,31,28,52.542373,160.04,-181.82,0.880211,51.864407,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,2026-01,82,30.85,0.37622,39,43,47.560976,212.48,-181.63,1.169851,46.829268,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,2026-02,91,148.98,1.637143,55,36,60.43956,373.51,-224.53,1.663519,81.098901,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,2026-03,4,8.34,2.085,2,2,50.0,8.71,-0.37,23.540541,30.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx01_overlay_hour17_only_keep_native_short,2026-04,46,23.29,0.506304,26,20,56.521739,123.69,-100.4,1.231972,30.434783,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,2025-01,87,8.38,0.096322,43,44,49.425287,248.63,-240.25,1.03488,135.632184,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,2025-02,73,74.5,1.020548,39,34,53.424658,253.24,-178.74,1.416807,202.474429,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,2025-03,9,38.5,4.277778,5,4,55.555556,51.55,-13.05,3.950192,473.333333,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,2025-04,119,175.41,1.474034,60,59,50.420168,653.28,-477.87,1.367066,109.87395,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,2025-05,75,94.69,1.262533,42,33,56.0,245.57,-150.88,1.627585,174.266667,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,2025-06,68,54.91,0.8075,36,32,52.941176,170.85,-115.94,1.473607,124.044118,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,2025-07,34,12.09,0.355588,18,16,52.941176,79.95,-67.86,1.178161,101.176471,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,2025-08,46,7.49,0.162826,20,26,43.478261,110.34,-102.85,1.072825,86.413043,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,2025-09,51,34.97,0.685686,23,28,45.098039,132.75,-97.78,1.35764,100.784314,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,2025-10,78,32.35,0.414744,43,35,55.128205,236.32,-203.97,1.158602,46.602564,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,2025-11,83,244.44,2.94506,50,33,60.240964,441.71,-197.27,2.239114,216.325301,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,2025-12,58,-42.7,-0.736207,30,28,51.724138,139.12,-181.82,0.765152,52.241379,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,2026-01,81,38.41,0.474198,39,42,48.148148,212.48,-174.07,1.220658,47.222222,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,2026-02,90,140.86,1.565111,55,35,61.111111,360.33,-219.47,1.641819,81.666667,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,2026-03,4,8.34,2.085,2,2,50.0,8.71,-0.37,23.540541,30.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx02_native_short_only_overlay_disabled,2026-04,46,23.29,0.506304,26,20,56.521739,123.69,-100.4,1.231972,30.434783,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,2025-01,87,31.42,0.361149,44,43,50.574713,260.16,-228.74,1.137361,135.689655,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,2025-02,74,78.96,1.067027,40,34,54.054054,257.7,-178.74,1.441759,200.143694,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,2025-03,9,38.5,4.277778,5,4,55.555556,51.55,-13.05,3.950192,473.333333,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,2025-04,119,175.41,1.474034,60,59,50.420168,653.28,-477.87,1.367066,109.87395,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,2025-05,75,102.26,1.363467,43,32,57.333333,250.99,-148.73,1.687555,174.266667,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,2025-06,68,54.91,0.8075,36,32,52.941176,170.85,-115.94,1.473607,124.044118,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,2025-07,35,5.13,0.146571,18,17,51.428571,79.95,-74.82,1.068565,99.142857,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,2025-08,47,-1.01,-0.021489,20,27,42.553191,113.46,-114.47,0.991177,85.106383,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,2025-09,51,34.97,0.685686,23,28,45.098039,132.75,-97.78,1.35764,100.784314,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,2025-10,78,32.35,0.414744,43,35,55.128205,236.32,-203.97,1.158602,46.602564,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,2025-11,83,244.44,2.94506,50,33,60.240964,441.71,-197.27,2.239114,216.325301,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,2025-12,59,-0.62,-0.010508,31,28,52.542373,160.04,-160.66,0.996141,32.881356,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,2026-01,82,30.85,0.37622,39,43,47.560976,212.48,-181.63,1.169851,46.829268,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,2026-02,91,148.98,1.637143,55,36,60.43956,373.51,-224.53,1.663519,81.098901,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,2026-03,4,8.34,2.085,2,2,50.0,8.71,-0.37,23.540541,30.0,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
bx03_hour17_overlay_plus_weak_late_session_firewall,2026-04,46,23.29,0.506304,26,20,56.521739,123.69,-100.4,1.231972,30.434783,research_development_runtime_ablation_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
