branch_name,metric_row_count,metric_ids,metric_families,branch_metric_usability_decision,selection_eligible,allowed_use,limitation,claim_boundary
cost_curve_drawdown_interaction_guard,30,cost_stress;curve_pocket;lot_normalized;trade_ledger;underwater_stretch,curve_quality;drawdown_path;position_size_normalization;runtime_trade_identity;spread_slippage_stress,diagnostic_view_usable_with_boundary,false,use_for_failure_memory_and_repair_queue_only,run335N metrics are structured runtime views over six MT5 attempts; they are not a new trained branch surface.,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_spread_slippage_grid_guard,30,cost_stress;curve_pocket;headline_kpi;lot_normalized;trade_ledger,curve_quality;position_size_normalization;profitability_and_risk;runtime_trade_identity;spread_slippage_stress,diagnostic_view_usable_with_boundary,false,use_for_failure_memory_and_repair_queue_only,run335N metrics are structured runtime views over six MT5 attempts; they are not a new trained branch surface.,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cp322a_exact_blocker_control,18,runtime_identity;subject_boundary;trade_ledger,negative_control;runtime_parity;runtime_trade_identity,negative_control_boundary_usable_not_selection_input,false,keep_as_hard_boundary,run335N metrics are structured runtime views over six MT5 attempts; they are not a new trained branch surface.,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
curve_noncalendar_state_holdout,30,curve_pocket;headline_kpi;session_hour_regime;trade_ledger;underwater_stretch,curve_quality;drawdown_path;profitability_and_risk;regime_attribution;runtime_trade_identity,diagnostic_view_usable_with_boundary,false,use_for_failure_memory_and_repair_queue_only,run335N metrics are structured runtime views over six MT5 attempts; they are not a new trained branch surface.,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
direction_symmetry_no_side_drop,24,curve_pocket;direction_attribution;headline_kpi;trade_ledger,curve_quality;long_short_attribution;profitability_and_risk;runtime_trade_identity,diagnostic_view_usable_with_boundary,false,use_for_failure_memory_and_repair_queue_only,run335N metrics are structured runtime views over six MT5 attempts; they are not a new trained branch surface.,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
drawdown_underwater_recovery_quality,24,curve_pocket;headline_kpi;trade_ledger;underwater_stretch,curve_quality;drawdown_path;profitability_and_risk;runtime_trade_identity,diagnostic_view_usable_with_boundary,false,use_for_failure_memory_and_repair_queue_only,run335N metrics are structured runtime views over six MT5 attempts; they are not a new trained branch surface.,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
null_adjacent_period_control,30,curve_pocket;headline_kpi;session_hour_regime;subject_boundary;trade_ledger,curve_quality;negative_control;profitability_and_risk;regime_attribution;runtime_trade_identity,negative_control_boundary_usable_not_selection_input,false,keep_as_hard_boundary,run335N metrics are structured runtime views over six MT5 attempts; they are not a new trained branch surface.,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_direction_interaction_guard,24,curve_pocket;direction_attribution;session_hour_regime;trade_ledger,curve_quality;long_short_attribution;regime_attribution;runtime_trade_identity,diagnostic_view_usable_with_boundary,false,use_for_failure_memory_and_repair_queue_only,run335N metrics are structured runtime views over six MT5 attempts; they are not a new trained branch surface.,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
regime_predeclared_macro_state,24,direction_attribution;headline_kpi;session_hour_regime;trade_ledger,long_short_attribution;profitability_and_risk;regime_attribution;runtime_trade_identity,diagnostic_view_usable_with_boundary,false,use_for_failure_memory_and_repair_queue_only,run335N metrics are structured runtime views over six MT5 attempts; they are not a new trained branch surface.,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_identity_strict_handoff,18,headline_kpi;runtime_identity;trade_ledger,profitability_and_risk;runtime_parity;runtime_trade_identity,diagnostic_view_usable_with_boundary,false,use_for_failure_memory_and_repair_queue_only,run335N metrics are structured runtime views over six MT5 attempts; they are not a new trained branch surface.,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
