dimension,rows,numeric_comparable_rows,structured_runtime_available_rows,unique_proxy_expected_values,mean_abs_proxy_runtime_difference,median_abs_proxy_runtime_difference,sign_agreement_rate,spearman_rank_correlation,proxy_usability_decision,allowed_use,next_condition,claim_boundary
curve_pocket,66,66,66,1,11.114444444433332,9.138333333300004,1.0,nan,not_rank_usable_repeated_aggregate_proxy,diagnostic_context_only_no_forward_pass_fail_no_selection,rebuild_proxy_as_branch_specific_row_level_trade_simulation_then_compare_to_mt5,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
expectancy,66,66,66,1,0.5783943793893166,0.4882301149746,1.0,nan,not_rank_usable_repeated_aggregate_proxy,diagnostic_context_only_no_forward_pass_fail_no_selection,rebuild_proxy_as_branch_specific_row_level_trade_simulation_then_compare_to_mt5,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
long_short_attribution,66,0,66,1,nan,nan,nan,nan,non_numeric_context_only,diagnostic_context_only_no_forward_pass_fail_no_selection,rebuild_proxy_as_branch_specific_row_level_trade_simulation_then_compare_to_mt5,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
lot_normalized_result,66,66,66,1,1002.1068054427932,1005.11684624925,1.0,nan,not_rank_usable_repeated_aggregate_proxy,diagnostic_context_only_no_forward_pass_fail_no_selection,rebuild_proxy_as_branch_specific_row_level_trade_simulation_then_compare_to_mt5,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
max_drawdown,66,66,66,1,26.63666666666667,32.82500000000001,1.0,nan,not_rank_usable_repeated_aggregate_proxy,diagnostic_context_only_no_forward_pass_fail_no_selection,rebuild_proxy_as_branch_specific_row_level_trade_simulation_then_compare_to_mt5,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
net_profit,66,66,66,1,78.14999999999999,69.2,1.0,nan,not_rank_usable_repeated_aggregate_proxy,diagnostic_context_only_no_forward_pass_fail_no_selection,rebuild_proxy_as_branch_specific_row_level_trade_simulation_then_compare_to_mt5,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
profit_factor,66,66,66,1,0.22791898051000004,0.22927143202,1.0,nan,not_rank_usable_repeated_aggregate_proxy,diagnostic_context_only_no_forward_pass_fail_no_selection,rebuild_proxy_as_branch_specific_row_level_trade_simulation_then_compare_to_mt5,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
recovery_factor,66,66,66,1,1.0644444444333332,1.02,1.0,nan,not_rank_usable_repeated_aggregate_proxy,diagnostic_context_only_no_forward_pass_fail_no_selection,rebuild_proxy_as_branch_specific_row_level_trade_simulation_then_compare_to_mt5,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_hour_regime,66,0,66,1,nan,nan,nan,nan,non_numeric_context_only,diagnostic_context_only_no_forward_pass_fail_no_selection,rebuild_proxy_as_branch_specific_row_level_trade_simulation_then_compare_to_mt5,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
spread_slippage_stress,66,66,66,1,224.5,208.38,0.6666666666666666,nan,not_rank_usable_repeated_aggregate_proxy,diagnostic_context_only_no_forward_pass_fail_no_selection,rebuild_proxy_as_branch_specific_row_level_trade_simulation_then_compare_to_mt5,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
trades_per_day,66,66,66,1,2.1818589223866667,1.2471224961250007,1.0,nan,not_rank_usable_repeated_aggregate_proxy,diagnostic_context_only_no_forward_pass_fail_no_selection,rebuild_proxy_as_branch_specific_row_level_trade_simulation_then_compare_to_mt5,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
underwater_stretch,66,66,66,1,116.17948459856666,65.0128179319,1.0,nan,not_rank_usable_repeated_aggregate_proxy,diagnostic_context_only_no_forward_pass_fail_no_selection,rebuild_proxy_as_branch_specific_row_level_trade_simulation_then_compare_to_mt5,research_development_only_stage335O_runtime_metric_usability_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
