dimension,numeric_comparable_rows,unique_proxy_expected_values,proxy_usability_decision,selection_use,forward_pass_fail_use,diagnostic_use,rejection_reason,claim_boundary
curve_pocket,66,1,not_rank_usable_repeated_aggregate_proxy,blocked,blocked,allowed_context_only,not_rank_usable_repeated_aggregate_proxy,research_development_only_stage335P_balanced_repair_defense_offense_inputs_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
expectancy,66,1,not_rank_usable_repeated_aggregate_proxy,blocked,blocked,allowed_context_only,not_rank_usable_repeated_aggregate_proxy,research_development_only_stage335P_balanced_repair_defense_offense_inputs_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
long_short_attribution,0,1,non_numeric_context_only,blocked,blocked,allowed_context_only,non_numeric_context_only,research_development_only_stage335P_balanced_repair_defense_offense_inputs_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
lot_normalized_result,66,1,not_rank_usable_repeated_aggregate_proxy,blocked,blocked,allowed_context_only,not_rank_usable_repeated_aggregate_proxy,research_development_only_stage335P_balanced_repair_defense_offense_inputs_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
max_drawdown,66,1,not_rank_usable_repeated_aggregate_proxy,blocked,blocked,allowed_context_only,not_rank_usable_repeated_aggregate_proxy,research_development_only_stage335P_balanced_repair_defense_offense_inputs_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
net_profit,66,1,not_rank_usable_repeated_aggregate_proxy,blocked,blocked,allowed_context_only,not_rank_usable_repeated_aggregate_proxy,research_development_only_stage335P_balanced_repair_defense_offense_inputs_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
profit_factor,66,1,not_rank_usable_repeated_aggregate_proxy,blocked,blocked,allowed_context_only,not_rank_usable_repeated_aggregate_proxy,research_development_only_stage335P_balanced_repair_defense_offense_inputs_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
recovery_factor,66,1,not_rank_usable_repeated_aggregate_proxy,blocked,blocked,allowed_context_only,not_rank_usable_repeated_aggregate_proxy,research_development_only_stage335P_balanced_repair_defense_offense_inputs_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
session_hour_regime,0,1,non_numeric_context_only,blocked,blocked,allowed_context_only,non_numeric_context_only,research_development_only_stage335P_balanced_repair_defense_offense_inputs_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
spread_slippage_stress,66,1,not_rank_usable_repeated_aggregate_proxy,blocked,blocked,allowed_context_only,not_rank_usable_repeated_aggregate_proxy,research_development_only_stage335P_balanced_repair_defense_offense_inputs_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
trades_per_day,66,1,not_rank_usable_repeated_aggregate_proxy,blocked,blocked,allowed_context_only,not_rank_usable_repeated_aggregate_proxy,research_development_only_stage335P_balanced_repair_defense_offense_inputs_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
underwater_stretch,66,1,not_rank_usable_repeated_aggregate_proxy,blocked,blocked,allowed_context_only,not_rank_usable_repeated_aggregate_proxy,research_development_only_stage335P_balanced_repair_defense_offense_inputs_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
overall_proxy_bridge,660,11,not_selection_usable_context_only,blocked,blocked,allowed_context_only,overall_proxy_not_selection_usable,research_development_only_stage335P_balanced_repair_defense_offense_inputs_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
