candidate_alias,required_field,current_status,run267BA_status,tier_a_record_status,tier_b_record_status,actual_routed_total_status,duplicate_audit,run267BC_repair_input_status,next_required_action,effect
s264_aih,tier_a_primary_record_id,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s264_aih,tier_b_fallback_record_id,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s264_aih,route_rule_id,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s264_aih,fallback_trigger_condition,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s264_aih,fallback_used_count,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s264_aih,component_record_view,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s264_aih,actual_routed_total_record_view,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s264_aih,mt5_set_ini_pair,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s264_aih,trade_list_path,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s264_aih,route_reconciliation_hash,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s264_aia,tier_a_primary_record_id,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s264_aia,tier_b_fallback_record_id,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s264_aia,route_rule_id,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s264_aia,fallback_trigger_condition,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s264_aia,fallback_used_count,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s264_aia,component_record_view,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s264_aia,actual_routed_total_record_view,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s264_aia,mt5_set_ini_pair,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
s264_aia,trade_list_path,missing_required,blocked_missing_true_fallback_manifest_fields,materialized_for_8_second_followup_attempts,blocked_missing_true_fallback_manifest,blocked_missing_true_fallback_manifest,duplicate_due_to_fallback_disabled,input_recorded_still_blocked,build_component_route_manifest_before_any_routed_MT5_claim,keeps actual routed total separate from synthetic Tier A+B rows
