run_id,gate,status,evidence,effect,claim_boundary
run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,scope_completion_gate(범위 완료 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BB/density_restore_stress_to_candidate_proxy_scout_surface.csv,BB queue(BB 대기열)의 실행 가능 후보를 proxy replay(프록시 재생)로 평가했다.,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,parent_materialization_gate(부모 물질화 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BA/final_decision.json,BA materialization(BA 물질화)이 BB run_id(BB 실행 ID)를 열었는지 확인했다.,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,kpi_contract_audit(KPI 계약 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BB/baseline_comparison.csv,net/PF/density/DD/side KPI(순수익/수익 팩터/밀도/낙폭/방향 지표)를 같은 표면에 기록했다.,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,topn_absence_gate(top_n 부재 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BB/queue_replay_audit.csv,top_n(상위 N개) 선택 없이 사전 queue(대기열)를 그대로 재생했다.,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,trade_splitting_absence_gate(거래 쪼개기 부재 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BB/queue_replay_audit.csv,거래 쪼개기 없이 신호 발생 자체만 평가했다.,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,oos_threshold_lock_gate(OOS 임계값 잠금 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BA/run364BB_scout_queue.csv,OOS threshold selection(OOS 임계값 선택)을 금지한 queue(대기열)를 사용했다.,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,timestamp_boundary_gate(시점 경계 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BA/run364BB_scout_queue.csv,entry-time closed-bar(진입 시점 닫힌 봉) 경계를 유지했다.,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,implementation_required_visibility_gate(구현 필요 가시화 게이트),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BB/queue_replay_audit.csv,새 runtime policy(런타임 정책)가 필요한 2개 행을 숨기지 않고 skipped(건너뜀)로 기록했다.,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,skill_receipt_lint(스킬 영수증 점검),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BB/experiment_design_receipt.json,experiment/data/model/lineage/judgment receipt(실험/데이터/모델/계보/판정 영수증)를 썼다.,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,required_gate_coverage_audit(필수 게이트 커버리지 감사),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BB/required_gate_coverage_audit.csv,work packet(작업 묶음)의 required gates(필수 게이트)를 closeout(종료 기록)에 연결했다.,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BB_train_density_restore_stress_to_candidate_scout_without_db_v1,final_claim_guard(최종 주장 가드),passed,stages/364_source_regime_label_pivot__dense_cost_recovery/02_runs/run364BB/claim_boundary_receipt.json,runtime authority(런타임 권위)와 operating promotion(운영 승격)을 주장하지 않았다.,research_development_proxy_scout_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
