review_id,blueprint_id,branch_id,blueprint_name,missing_fields,input_output_identity_review,gate_review,failure_condition_review,future_review_requirement_review,review_decision,next_required_scaffold,claim_boundary
repair_proxy_exclusion_handoff_contract__same_bar_repair_identity_manifest_builder__field_contract_review,repair_proxy_exclusion_handoff_contract__same_bar_repair_identity_manifest_builder,repair_proxy_exclusion_handoff_contract,same_bar_repair_identity_manifest_builder,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__proxy_null_rank_validator__field_contract_review,repair_proxy_exclusion_handoff_contract__proxy_null_rank_validator,repair_proxy_exclusion_handoff_contract,proxy_null_rank_validator,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__handoff_identity_diff_template__field_contract_review,repair_proxy_exclusion_handoff_contract__handoff_identity_diff_template,repair_proxy_exclusion_handoff_contract,handoff_identity_diff_template,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__cost_stress_runner__field_contract_review,defense_cost_curve_underwater_gate__cost_stress_runner,defense_cost_curve_underwater_gate,cost_stress_runner,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__rolling_curve_pocket_runner__field_contract_review,defense_cost_curve_underwater_gate__rolling_curve_pocket_runner,defense_cost_curve_underwater_gate,rolling_curve_pocket_runner,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__underwater_stretch_runner__field_contract_review,defense_cost_curve_underwater_gate__underwater_stretch_runner,defense_cost_curve_underwater_gate,underwater_stretch_runner,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__lot_normalized_view_builder__field_contract_review,defense_cost_curve_underwater_gate__lot_normalized_view_builder,defense_cost_curve_underwater_gate,lot_normalized_view_builder,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__long_short_attribution_runner__field_contract_review,defense_direction_symmetry_negative_control__long_short_attribution_runner,defense_direction_symmetry_negative_control,long_short_attribution_runner,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__direction_label_flip_canary_runner__field_contract_review,defense_direction_symmetry_negative_control__direction_label_flip_canary_runner,defense_direction_symmetry_negative_control,direction_label_flip_canary_runner,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__side_drop_rejection_validator__field_contract_review,defense_direction_symmetry_negative_control__side_drop_rejection_validator,defense_direction_symmetry_negative_control,side_drop_rejection_validator,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__feature_family_seed_card_builder__field_contract_review,offense_m48_plain_density_quality_seed__feature_family_seed_card_builder,offense_m48_plain_density_quality_seed,feature_family_seed_card_builder,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__trade_density_target_runner__field_contract_review,offense_m48_plain_density_quality_seed__trade_density_target_runner,offense_m48_plain_density_quality_seed,trade_density_target_runner,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__m48_clue_promotion_canary_runner__field_contract_review,offense_m48_plain_density_quality_seed__m48_clue_promotion_canary_runner,offense_m48_plain_density_quality_seed,m48_clue_promotion_canary_runner,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__copy_runtime_result_canary_runner__field_contract_review,offense_m48_plain_density_quality_seed__copy_runtime_result_canary_runner,offense_m48_plain_density_quality_seed,copy_runtime_result_canary_runner,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__interaction_family_matrix_builder__field_contract_review,offense_cost_buffer_feature_interaction_seed__interaction_family_matrix_builder,offense_cost_buffer_feature_interaction_seed,interaction_family_matrix_builder,,passed,passed,passed,passed,accepted_for_runner_scaffold_field_contract,materialized_schema_and_precheck,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
