review_id,control_id,branch_id,target_risk,missing_fields,expected_control_review,allowed_use_review,forbidden_use_review,future_output_review,stop_condition_review,review_decision,next_required_scaffold,claim_boundary
direction_label_flip_canary__negative_control_review,direction_label_flip_canary,defense_direction_symmetry_negative_control,direction_label_leakage,,passed,passed,passed,passed,passed,accepted_negative_control_runner_scaffold_required,direction_label_flip_canary_runner,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
promote_m48_plain_canary__negative_control_review,promote_m48_plain_canary,offense_m48_plain_density_quality_seed,old_clue_promotion,,passed,passed,passed,passed,passed,accepted_negative_control_runner_scaffold_required,promote_m48_plain_canary_runner,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
copy_runtime_result_canary__negative_control_review,copy_runtime_result_canary,offense_m48_plain_density_quality_seed,runtime_result_copy_overfit,,passed,passed,passed,passed,passed,accepted_negative_control_runner_scaffold_required,copy_runtime_result_canary_runner,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
entrypoint_copy_canary__negative_control_review,entrypoint_copy_canary,runtime_parity_probe_bridge_contract,runtime_entrypoint_identity_drift,,passed,passed,passed,passed,passed,accepted_negative_control_runner_scaffold_required,entrypoint_copy_canary_runner,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
future_shift_join_canary__negative_control_review,future_shift_join_canary,cross_branch_data_integrity,lookahead_leakage,,passed,passed,passed,passed,passed,accepted_negative_control_runner_scaffold_required,future_shift_join_canary_runner,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
threshold_lot_freeze_canary__negative_control_review,threshold_lot_freeze_canary,cross_branch_data_integrity,after_result_threshold_or_lot_change,,passed,passed,passed,passed,passed,accepted_negative_control_runner_scaffold_required,threshold_lot_freeze_canary_runner,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
old_proxy_rank_canary__negative_control_review,old_proxy_rank_canary,repair_proxy_exclusion_handoff_contract,old_proxy_selection_leakage,,passed,passed,passed,passed,passed,accepted_negative_control_runner_scaffold_required,old_proxy_rank_canary_runner,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
direct_forward_pocket_filter_canary__negative_control_review,direct_forward_pocket_filter_canary,defense_cost_curve_underwater_gate,after_result_curve_filtering,,passed,passed,passed,passed,passed,accepted_negative_control_runner_scaffold_required,direct_forward_pocket_filter_canary_runner,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
single_regime_overfit_canary__negative_control_review,single_regime_overfit_canary,offense_cost_buffer_feature_interaction_seed,single_slice_overfit,,passed,passed,passed,passed,passed,accepted_negative_control_runner_scaffold_required,single_regime_overfit_canary_runner,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
zero_cost_only_canary__negative_control_review,zero_cost_only_canary,defense_cost_curve_underwater_gate,cost_fragility,,passed,passed,passed,passed,passed,accepted_negative_control_runner_scaffold_required,zero_cost_only_canary_runner,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
