review_id,blueprint_family,source_id,branch_id,subject,missing_fields,coverage_review,forbidden_shortcut_review,order_or_use_review,review_decision,next_required_scaffold,claim_boundary
repair_proxy_exclusion_handoff_contract__cost_buffer_gate__gate_review,gate,repair_proxy_exclusion_handoff_contract__cost_buffer_gate,repair_proxy_exclusion_handoff_contract,cost_buffer_gate,,passed,passed,passed,accepted_gate_runner_scaffold_required,cost_buffer_gate_runner,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__curve_pocket_gate__gate_review,gate,repair_proxy_exclusion_handoff_contract__curve_pocket_gate,repair_proxy_exclusion_handoff_contract,curve_pocket_gate,,passed,passed,passed,accepted_gate_runner_scaffold_required,curve_pocket_gate_runner,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__underwater_stretch_gate__gate_review,gate,repair_proxy_exclusion_handoff_contract__underwater_stretch_gate,repair_proxy_exclusion_handoff_contract,underwater_stretch_gate,,passed,passed,passed,accepted_gate_runner_scaffold_required,underwater_stretch_gate_runner,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__direction_attribution_gate__gate_review,gate,repair_proxy_exclusion_handoff_contract__direction_attribution_gate,repair_proxy_exclusion_handoff_contract,direction_attribution_gate,,passed,passed,passed,accepted_gate_runner_scaffold_required,direction_attribution_gate_runner,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__regime_slice_gate__gate_review,gate,repair_proxy_exclusion_handoff_contract__regime_slice_gate,repair_proxy_exclusion_handoff_contract,regime_slice_gate,,passed,passed,passed,accepted_gate_runner_scaffold_required,regime_slice_gate_runner,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__lot_normalized_gate__gate_review,gate,repair_proxy_exclusion_handoff_contract__lot_normalized_gate,repair_proxy_exclusion_handoff_contract,lot_normalized_gate,,passed,passed,passed,accepted_gate_runner_scaffold_required,lot_normalized_gate_runner,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__cost_buffer_gate__gate_review,gate,defense_cost_curve_underwater_gate__cost_buffer_gate,defense_cost_curve_underwater_gate,cost_buffer_gate,,passed,passed,passed,accepted_gate_runner_scaffold_required,cost_buffer_gate_runner,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__curve_pocket_gate__gate_review,gate,defense_cost_curve_underwater_gate__curve_pocket_gate,defense_cost_curve_underwater_gate,curve_pocket_gate,,passed,passed,passed,accepted_gate_runner_scaffold_required,curve_pocket_gate_runner,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__underwater_stretch_gate__gate_review,gate,defense_cost_curve_underwater_gate__underwater_stretch_gate,defense_cost_curve_underwater_gate,underwater_stretch_gate,,passed,passed,passed,accepted_gate_runner_scaffold_required,underwater_stretch_gate_runner,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__direction_attribution_gate__gate_review,gate,defense_cost_curve_underwater_gate__direction_attribution_gate,defense_cost_curve_underwater_gate,direction_attribution_gate,,passed,passed,passed,accepted_gate_runner_scaffold_required,direction_attribution_gate_runner,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
