blueprint_id,branch_id,blueprint_family,blueprint_name,accepted_for_run336H_scaffold,future_scaffold_path,required_materialization,blocked_until,forbidden_use,review_decision,claim_boundary
repair_proxy_exclusion_handoff_contract__same_bar_repair_identity_manifest_builder,repair_proxy_exclusion_handoff_contract,repair_identity,same_bar_repair_identity_manifest_builder,true,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/repair_proxy_exclusion_handoff_contract__same_bar_repair_identity_manifest_builder.csv,schema_file;runner_precheck;review_receipt;artifact_registry_row,run336H_scaffold_materialized_and_reviewed,model_training;mt5_execution;candidate_selection;Forward_decision;runtime_authority,accepted_for_run336H_runner_scaffold,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__proxy_null_rank_validator,repair_proxy_exclusion_handoff_contract,proxy_exclusion,proxy_null_rank_validator,true,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/repair_proxy_exclusion_handoff_contract__proxy_null_rank_validator.csv,schema_file;runner_precheck;review_receipt;artifact_registry_row,run336H_scaffold_materialized_and_reviewed,model_training;mt5_execution;candidate_selection;Forward_decision;runtime_authority,accepted_for_run336H_runner_scaffold,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__handoff_identity_diff_template,repair_proxy_exclusion_handoff_contract,handoff_identity,handoff_identity_diff_template,true,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/repair_proxy_exclusion_handoff_contract__handoff_identity_diff_template.csv,schema_file;runner_precheck;review_receipt;artifact_registry_row,run336H_scaffold_materialized_and_reviewed,model_training;mt5_execution;candidate_selection;Forward_decision;runtime_authority,accepted_for_run336H_runner_scaffold,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__cost_stress_runner,defense_cost_curve_underwater_gate,cost_curve,cost_stress_runner,true,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__cost_stress_runner.csv,schema_file;runner_precheck;review_receipt;artifact_registry_row,run336H_scaffold_materialized_and_reviewed,model_training;mt5_execution;candidate_selection;Forward_decision;runtime_authority,accepted_for_run336H_runner_scaffold,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__rolling_curve_pocket_runner,defense_cost_curve_underwater_gate,cost_curve,rolling_curve_pocket_runner,true,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__rolling_curve_pocket_runner.csv,schema_file;runner_precheck;review_receipt;artifact_registry_row,run336H_scaffold_materialized_and_reviewed,model_training;mt5_execution;candidate_selection;Forward_decision;runtime_authority,accepted_for_run336H_runner_scaffold,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__underwater_stretch_runner,defense_cost_curve_underwater_gate,cost_curve,underwater_stretch_runner,true,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__underwater_stretch_runner.csv,schema_file;runner_precheck;review_receipt;artifact_registry_row,run336H_scaffold_materialized_and_reviewed,model_training;mt5_execution;candidate_selection;Forward_decision;runtime_authority,accepted_for_run336H_runner_scaffold,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__lot_normalized_view_builder,defense_cost_curve_underwater_gate,cost_curve,lot_normalized_view_builder,true,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__lot_normalized_view_builder.csv,schema_file;runner_precheck;review_receipt;artifact_registry_row,run336H_scaffold_materialized_and_reviewed,model_training;mt5_execution;candidate_selection;Forward_decision;runtime_authority,accepted_for_run336H_runner_scaffold,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__long_short_attribution_runner,defense_direction_symmetry_negative_control,direction,long_short_attribution_runner,true,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_direction_symmetry_negative_control__long_short_attribution_runner.csv,schema_file;runner_precheck;review_receipt;artifact_registry_row,run336H_scaffold_materialized_and_reviewed,model_training;mt5_execution;candidate_selection;Forward_decision;runtime_authority,accepted_for_run336H_runner_scaffold,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__direction_label_flip_canary_runner,defense_direction_symmetry_negative_control,negative_control,direction_label_flip_canary_runner,true,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_direction_symmetry_negative_control__direction_label_flip_canary_runner.csv,schema_file;runner_precheck;review_receipt;artifact_registry_row,run336H_scaffold_materialized_and_reviewed,model_training;mt5_execution;candidate_selection;Forward_decision;runtime_authority,accepted_for_run336H_runner_scaffold,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__side_drop_rejection_validator,defense_direction_symmetry_negative_control,direction,side_drop_rejection_validator,true,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_direction_symmetry_negative_control__side_drop_rejection_validator.csv,schema_file;runner_precheck;review_receipt;artifact_registry_row,run336H_scaffold_materialized_and_reviewed,model_training;mt5_execution;candidate_selection;Forward_decision;runtime_authority,accepted_for_run336H_runner_scaffold,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__feature_family_seed_card_builder,offense_m48_plain_density_quality_seed,offense_feature,feature_family_seed_card_builder,true,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_m48_plain_density_quality_seed__feature_family_seed_card_builder.csv,schema_file;runner_precheck;review_receipt;artifact_registry_row,run336H_scaffold_materialized_and_reviewed,model_training;mt5_execution;candidate_selection;Forward_decision;runtime_authority,accepted_for_run336H_runner_scaffold,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__trade_density_target_runner,offense_m48_plain_density_quality_seed,offense_feature,trade_density_target_runner,true,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_m48_plain_density_quality_seed__trade_density_target_runner.csv,schema_file;runner_precheck;review_receipt;artifact_registry_row,run336H_scaffold_materialized_and_reviewed,model_training;mt5_execution;candidate_selection;Forward_decision;runtime_authority,accepted_for_run336H_runner_scaffold,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__m48_clue_promotion_canary_runner,offense_m48_plain_density_quality_seed,negative_control,m48_clue_promotion_canary_runner,true,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_m48_plain_density_quality_seed__m48_clue_promotion_canary_runner.csv,schema_file;runner_precheck;review_receipt;artifact_registry_row,run336H_scaffold_materialized_and_reviewed,model_training;mt5_execution;candidate_selection;Forward_decision;runtime_authority,accepted_for_run336H_runner_scaffold,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__copy_runtime_result_canary_runner,offense_m48_plain_density_quality_seed,negative_control,copy_runtime_result_canary_runner,true,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_m48_plain_density_quality_seed__copy_runtime_result_canary_runner.csv,schema_file;runner_precheck;review_receipt;artifact_registry_row,run336H_scaffold_materialized_and_reviewed,model_training;mt5_execution;candidate_selection;Forward_decision;runtime_authority,accepted_for_run336H_runner_scaffold,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__interaction_family_matrix_builder,offense_cost_buffer_feature_interaction_seed,offense_feature,interaction_family_matrix_builder,true,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_cost_buffer_feature_interaction_seed__interaction_family_matrix_builder.csv,schema_file;runner_precheck;review_receipt;artifact_registry_row,run336H_scaffold_materialized_and_reviewed,model_training;mt5_execution;candidate_selection;Forward_decision;runtime_authority,accepted_for_run336H_runner_scaffold,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__regime_slice_runner,offense_cost_buffer_feature_interaction_seed,regime,regime_slice_runner,true,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_cost_buffer_feature_interaction_seed__regime_slice_runner.csv,schema_file;runner_precheck;review_receipt;artifact_registry_row,run336H_scaffold_materialized_and_reviewed,model_training;mt5_execution;candidate_selection;Forward_decision;runtime_authority,accepted_for_run336H_runner_scaffold,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__cost_survival_validator,offense_cost_buffer_feature_interaction_seed,cost_curve,cost_survival_validator,true,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_cost_buffer_feature_interaction_seed__cost_survival_validator.csv,schema_file;runner_precheck;review_receipt;artifact_registry_row,run336H_scaffold_materialized_and_reviewed,model_training;mt5_execution;candidate_selection;Forward_decision;runtime_authority,accepted_for_run336H_runner_scaffold,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__after_result_feature_pick_canary_runner,offense_cost_buffer_feature_interaction_seed,negative_control,after_result_feature_pick_canary_runner,true,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_cost_buffer_feature_interaction_seed__after_result_feature_pick_canary_runner.csv,schema_file;runner_precheck;review_receipt;artifact_registry_row,run336H_scaffold_materialized_and_reviewed,model_training;mt5_execution;candidate_selection;Forward_decision;runtime_authority,accepted_for_run336H_runner_scaffold,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__runtime_handoff_manifest_builder,runtime_parity_probe_bridge_contract,runtime_identity,runtime_handoff_manifest_builder,true,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/runtime_parity_probe_bridge_contract__runtime_handoff_manifest_builder.csv,schema_file;runner_precheck;review_receipt;artifact_registry_row,run336H_scaffold_materialized_and_reviewed,model_training;mt5_execution;candidate_selection;Forward_decision;runtime_authority,accepted_for_run336H_runner_scaffold,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__row_level_parity_schema_builder,runtime_parity_probe_bridge_contract,runtime_identity,row_level_parity_schema_builder,true,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/runtime_parity_probe_bridge_contract__row_level_parity_schema_builder.csv,schema_file;runner_precheck;review_receipt;artifact_registry_row,run336H_scaffold_materialized_and_reviewed,model_training;mt5_execution;candidate_selection;Forward_decision;runtime_authority,accepted_for_run336H_runner_scaffold,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__tester_telemetry_manifest_validator,runtime_parity_probe_bridge_contract,runtime_identity,tester_telemetry_manifest_validator,true,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/runtime_parity_probe_bridge_contract__tester_telemetry_manifest_validator.csv,schema_file;runner_precheck;review_receipt;artifact_registry_row,run336H_scaffold_materialized_and_reviewed,model_training;mt5_execution;candidate_selection;Forward_decision;runtime_authority,accepted_for_run336H_runner_scaffold,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
