contract_id,dimension,rank_use,forward_decision_use,diagnostic_use,old_proxy_block_reason,old_proxy_unique_values,mt5_runtime_unique_values,mean_abs_delta_vs_mt5,required_rebuild_grain,acceptance_evidence,forbidden_use,claim_boundary
proxy_exclusion_curve_pocket,curve_pocket,blocked,blocked,allowed_with_boundary,repeated_aggregate_context_only_not_branch_specific,1,6,11.1144444444,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336A_constraint_bound_rebuild_packet_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_exclusion_expectancy,expectancy,blocked,blocked,allowed_with_boundary,repeated_aggregate_context_only_not_branch_specific,1,6,0.578394379389,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336A_constraint_bound_rebuild_packet_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_exclusion_long_short_attribution,long_short_attribution,blocked,blocked,allowed_with_boundary,repeated_aggregate_context_only_not_branch_specific,1,6,,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336A_constraint_bound_rebuild_packet_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_exclusion_lot_normalized_result,lot_normalized_result,blocked,blocked,allowed_with_boundary,repeated_aggregate_context_only_not_branch_specific,1,6,1002.10680544,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336A_constraint_bound_rebuild_packet_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_exclusion_max_drawdown,max_drawdown,blocked,blocked,allowed_with_boundary,repeated_aggregate_context_only_not_branch_specific,1,6,26.6366666667,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336A_constraint_bound_rebuild_packet_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_exclusion_net_profit,net_profit,blocked,blocked,allowed_with_boundary,repeated_aggregate_context_only_not_branch_specific,1,6,78.15,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336A_constraint_bound_rebuild_packet_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_exclusion_profit_factor,profit_factor,blocked,blocked,allowed_with_boundary,repeated_aggregate_context_only_not_branch_specific,1,6,0.22791898051,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336A_constraint_bound_rebuild_packet_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_exclusion_recovery_factor,recovery_factor,blocked,blocked,allowed_with_boundary,repeated_aggregate_context_only_not_branch_specific,1,6,1.06444444443,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336A_constraint_bound_rebuild_packet_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_exclusion_session_hour_regime,session_hour_regime,blocked,blocked,allowed_with_boundary,repeated_aggregate_context_only_not_branch_specific,1,1,,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336A_constraint_bound_rebuild_packet_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_exclusion_spread_slippage_stress,spread_slippage_stress,blocked,blocked,allowed_with_boundary,repeated_aggregate_context_only_not_branch_specific,1,6,224.5,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336A_constraint_bound_rebuild_packet_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_exclusion_trades_per_day,trades_per_day,blocked,blocked,allowed_with_boundary,repeated_aggregate_context_only_not_branch_specific,1,6,2.18185892239,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336A_constraint_bound_rebuild_packet_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_exclusion_underwater_stretch,underwater_stretch,blocked,blocked,allowed_with_boundary,repeated_aggregate_context_only_not_branch_specific,1,6,116.179484599,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336A_constraint_bound_rebuild_packet_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_exclusion_overall_proxy_scout,overall_proxy_scout,blocked,blocked,allowed_with_boundary,old_proxy_expected_values_remain_rejected_for_selection,,,,branch;attempt;bar;trade,fresh branch-grain metric plus MT5 comparison before rank use,retrofit_proxy_to_mt5_profit;selection_use_before_review;Forward_decision_from_proxy,research_development_only_stage336A_constraint_bound_rebuild_packet_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
score_input_allowlist,overall_scoring,allowed_only_after_run336B_contract_materialization,blocked_until_fresh_MT5_probe,allowed_with_boundary,old_proxy_expected_values_not_selection_usable,,,,predeclared non-forward-pocket feature family;Tier A and Tier B records;runtime identity,future run must publish scoring feature list before seeing forward result,threshold_retune;lot_optimization;calendar_forward_pocket_filter,research_development_only_stage336A_constraint_bound_rebuild_packet_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
