control_id,target_risk,test_design,expected_failure_signature,stop_condition,applies_to_branches,repair_action,claim_boundary
future_shift_join_canary,lookahead_join,force any nearest/future timestamp repair to fail,future or nearest trade key appears,block run and repair attribution logic,all_stage336_future_branches,document failure memory before any retry,research_development_only_stage336A_constraint_bound_rebuild_packet_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
old_proxy_rank_canary,proxy_overfit,assert old proxy expected values never enter rank or Forward decision,old proxy column used as score input,block score packet,all_stage336_future_branches,document failure memory before any retry,research_development_only_stage336A_constraint_bound_rebuild_packet_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
forward_pocket_filter_canary,calendar_overfit,reject direct filter on known forward weak pocket,calendar pocket becomes branch rule,move to invalid setup,all_stage336_future_branches,document failure memory before any retry,research_development_only_stage336A_constraint_bound_rebuild_packet_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
threshold_retune_canary,threshold_overfit,record threshold before result and reject changes after result,threshold changed after forward read,block candidate read,all_stage336_future_branches,document failure memory before any retry,research_development_only_stage336A_constraint_bound_rebuild_packet_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
lot_optimization_canary,sizing_overfit,keep lot logic fixed unless a separate predeclared sizing stage exists,lot altered to improve KPI,block operating claim,all_stage336_future_branches,document failure memory before any retry,research_development_only_stage336A_constraint_bound_rebuild_packet_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
drop_shorts_after_loss_canary,side_cherry_pick,require side failure evidence before any side exclusion,short side removed after observed loss,block side routing,all_stage336_future_branches,document failure memory before any retry,research_development_only_stage336A_constraint_bound_rebuild_packet_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
single_regime_overfit_canary,regime_cherry_pick,require all regime slices and a negative-control slice,only profitable regime retained,block selection,all_stage336_future_branches,document failure memory before any retry,research_development_only_stage336A_constraint_bound_rebuild_packet_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
compile_only_authority_canary,runtime_parity_gap,reject compile-only runtime authority,MetaEditor compile used as tester substitute,block runtime claim,all_stage336_future_branches,document failure memory before any retry,research_development_only_stage336A_constraint_bound_rebuild_packet_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
zero_cost_only_canary,cost_fragility,require nonzero cost stress before positive judgment,positive only under zero added cost,mark failure memory,all_stage336_future_branches,document failure memory before any retry,research_development_only_stage336A_constraint_bound_rebuild_packet_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
after_result_feature_pick_canary,feature_selection_leakage,feature families must be declared before forward/runtime result,feature family chosen after KPI,block branch,all_stage336_future_branches,document failure memory before any retry,research_development_only_stage336A_constraint_bound_rebuild_packet_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
