ledger_row_id,stage_id,run_id,work_family,evidence_scope,kpi_scope,status,judgment,claim_boundary,path,notes,decision
run335S_review_repaired_attribution_proxy_scout_and_open_constraint_bound_research_packet_v1__stage336_open,336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild,run335S_review_repaired_attribution_proxy_scout_and_open_constraint_bound_research_packet_v1,stage_opening_handoff,stage335S_constraint_bound_research_packet_opening,no_new_trading_kpi_stage_open_only,open_active,stage336_opened_no_selection,research_development_only_stage336_constraint_bound_repair_defense_offense_rebuild_no_model_training_until_predeclared_protocol_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/00_spec/stage_brief.md,next_action=run336A_design_constraint_bound_repair_defense_offense_rebuild_packet_v1;goal_achieve_not_claimed.,stage335S_close_stage335_open_stage336_constraint_bound_research_packet_no_selection
run336A_design_constraint_bound_repair_defense_offense_rebuild_packet_v1__constraint_bound_rebuild_packet_design,336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild,run336A_design_constraint_bound_repair_defense_offense_rebuild_packet_v1,constraint_bound_repair_defense_offense_rebuild_design,stage335S_constraints_proxy_repair_review_to_stage336_design,design_only_no_new_trading_kpi,completed_constraint_bound_rebuild_packet_design_no_selection,repair_defense_offense_rebuild_packet_designed_proxy_blocked_no_selection,research_development_only_stage336A_constraint_bound_rebuild_packet_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/03_reviews/run336A_constraint_bound_rebuild_packet_design.md,branch_rows=6;negative_controls=10;next_action=run336B_materialize_constraint_bound_repair_defense_offense_inputs_v1;goal_achieve_not_claimed.,stage336A_constraint_bound_rebuild_packet_designed_no_selection
run336B_materialize_constraint_bound_repair_defense_offense_inputs_v1__constraint_bound_input_materialization,336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild,run336B_materialize_constraint_bound_repair_defense_offense_inputs_v1,constraint_bound_repair_defense_offense_input_materialization,run336A_design_to_run336B_materialized_inputs,materialization_only_no_new_trading_kpi,completed_constraint_bound_repair_defense_offense_inputs_materialized_no_selection,materialized_repair_defense_offense_runtime_inputs_proxy_blocked_no_selection,research_development_only_stage336B_constraint_bound_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/03_reviews/run336B_constraint_bound_input_materialization.md,packages=6;gate_templates=36;next_action=run336C_review_constraint_bound_materialized_inputs_v1;goal_achieve_not_claimed.,stage336B_materialized_constraint_bound_inputs_ready_for_review_no_selection
run336C_review_constraint_bound_materialized_inputs_v1__constraint_bound_input_review,336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild,run336C_review_constraint_bound_materialized_inputs_v1,stage336_constraint_bound_input_review,run336B_materialized_inputs_to_run336D_controlled_research_queue,input_review_no_new_trading_kpi,completed_constraint_bound_materialized_input_review_no_selection,reviewed_constraint_bound_inputs_controls_enforceable_proxy_blocked_no_selection,research_development_only_stage336C_constraint_bound_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/03_reviews/run336C_constraint_bound_input_review.md,packages=6;run336d_queue_rows=9;goal_achieve_not_claimed.,stage336C_inputs_reviewed_run336D_controlled_research_queue_ready_no_selection
run336D_materialize_constraint_bound_research_implementation_queue_v1__constraint_bound_implementation_materialization,336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild,run336D_materialize_constraint_bound_research_implementation_queue_v1,stage336_constraint_bound_implementation_materialization,run336C_queue_to_run336E_review_protocols,protocol_materialization_no_new_trading_kpi,completed_constraint_bound_research_implementation_queue_materialized_no_selection,materialized_controlled_research_protocols_proxy_mt5_usability_contract_no_selection,research_development_only_stage336D_constraint_bound_implementation_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/03_reviews/run336D_constraint_bound_implementation_materialization.md,protocols=9;proxy_mt5_contract_rows=7;goal_achieve_not_claimed.,stage336D_materialized_controlled_research_protocols_ready_for_review_no_selection
run336E_review_constraint_bound_research_implementation_protocols_v1__protocol_review,336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild,run336E_review_constraint_bound_research_implementation_protocols_v1,stage336_protocol_review,run336D_contracts_to_run336F_execution_blueprints,protocol_review_no_new_trading_kpi,completed_constraint_bound_research_implementation_protocol_review_no_selection,reviewed_protocols_accept_execution_blueprint_required_no_model_training_no_forward_decision,research_development_only_stage336E_protocol_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/03_reviews/run336E_protocol_review.md,protocols=9;run336f_queue_rows=9;goal_achieve_not_claimed.,stage336E_protocols_reviewed_run336F_execution_blueprints_ready_no_selection
run336F_materialize_constraint_bound_execution_blueprints_v1__execution_blueprint_materialization,336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild,run336F_materialize_constraint_bound_execution_blueprints_v1,stage336_execution_blueprint_materialization,run336E_blueprint_queue_to_run336G_review,blueprint_materialization_no_new_trading_kpi,completed_constraint_bound_execution_blueprints_materialized_no_selection,materialized_execution_blueprints_no_model_training_no_mt5_execution_no_forward_decision,research_development_only_stage336F_execution_blueprint_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/03_reviews/run336F_execution_blueprints.md,blueprints=31;run336g_queue_rows=7;goal_achieve_not_claimed.,stage336F_execution_blueprints_materialized_run336G_review_ready_no_selection
run336G_review_constraint_bound_execution_blueprints_v1__execution_blueprint_review,336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild,run336G_review_constraint_bound_execution_blueprints_v1,stage336_execution_blueprint_review,run336F_execution_blueprints_to_run336H_runner_scaffolds,blueprint_review_no_new_trading_kpi,completed_constraint_bound_execution_blueprint_review_no_selection,reviewed_execution_blueprints_accept_runner_scaffold_required_no_model_training_no_mt5_execution_no_forward_decision,research_development_only_stage336G_execution_blueprint_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/03_reviews/run336G_execution_blueprint_review.md,catalog_rows=31;run336h_queue_rows=9;goal_achieve_not_claimed.,stage336G_execution_blueprints_reviewed_run336H_runner_scaffolds_ready_no_selection
run336H_materialize_constraint_bound_runner_scaffolds_v1__runner_scaffold_materialization,336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild,run336H_materialize_constraint_bound_runner_scaffolds_v1,stage336_runner_scaffold_materialization,run336G_accepted_blueprints_to_run336I_review_queue,scaffold_materialization_no_new_trading_kpi,completed_constraint_bound_runner_scaffolds_materialized_no_execution,materialized_runner_scaffolds_no_model_training_no_mt5_execution_no_forward_decision,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/03_reviews/run336H_runner_scaffolds.md,scaffolds=31;run336i_queue_rows=9;goal_achieve_not_claimed.,stage336H_runner_scaffolds_materialized_run336I_review_ready_no_selection
run336I_review_constraint_bound_runner_scaffolds_v1__runner_scaffold_review,336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild,run336I_review_constraint_bound_runner_scaffolds_v1,stage336_runner_scaffold_review,run336H_runner_scaffolds_to_run336J_proxy_mt5_materialization,scaffold_review_no_new_trading_kpi,completed_constraint_bound_runner_scaffold_review_no_execution,reviewed_runner_scaffolds_accept_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_forward_decision,research_development_only_stage336I_runner_scaffold_review_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/03_reviews/run336I_runner_scaffold_review.md,review_groups=9;run336j_queue_rows=7;goal_achieve_not_claimed.,stage336I_runner_scaffolds_reviewed_run336J_proxy_mt5_probe_inputs_ready_no_selection
