preflight_id,branch_id,runtime_subject,required_check,required_log_fields,attempted_at_utc,command_or_tool,terminal_path,settings_path,output_path,exit_status,error_log,blocker,source_schema_sha256,template_status,external_verification_status,runtime_authority_use,claim_boundary
repair_proxy_exclusion_handoff_contract__feature_order_identity,repair_proxy_exclusion_handoff_contract,Python parser to ONNX to MT5 input vector,"feature count, order hash, finite input audit, all-or-skip reason codes",attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__model_bundle_identity,repair_proxy_exclusion_handoff_contract,ONNX bundle and adapter package,Python ONNX inference equals MT5 ONNX output within tolerance,attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__mt5_report_telemetry_identity,repair_proxy_exclusion_handoff_contract,Strategy Tester report and terminal file output,"parseable trade list, equity curve, skips/rejects, and settings",attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__row_level_runtime_parity,repair_proxy_exclusion_handoff_contract,research signal versus MT5 decision,"decision mismatch count, max probability diff, terminal flat gap",attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
repair_proxy_exclusion_handoff_contract__external_verification_status,repair_proxy_exclusion_handoff_contract,future branch claims requiring MT5,attempt command or exact blocker recorded,attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__feature_order_identity,defense_cost_curve_underwater_gate,Python parser to ONNX to MT5 input vector,"feature count, order hash, finite input audit, all-or-skip reason codes",attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__model_bundle_identity,defense_cost_curve_underwater_gate,ONNX bundle and adapter package,Python ONNX inference equals MT5 ONNX output within tolerance,attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__mt5_report_telemetry_identity,defense_cost_curve_underwater_gate,Strategy Tester report and terminal file output,"parseable trade list, equity curve, skips/rejects, and settings",attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__row_level_runtime_parity,defense_cost_curve_underwater_gate,research signal versus MT5 decision,"decision mismatch count, max probability diff, terminal flat gap",attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_cost_curve_underwater_gate__external_verification_status,defense_cost_curve_underwater_gate,future branch claims requiring MT5,attempt command or exact blocker recorded,attempted_at_utc;command_or_tool;terminal_path;settings_path;output_path;exit_status;error_log;blocker,pending_run336K,pending_MT5_strategy_tester_or_exact_blocker,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075,pending_run336K_tester_settings,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_probe_outputs,not_run_in_run336J,none_in_run336J,none_recorded_in_run336J,d6700a01c741022ca4fea34603b624162173069095a6c4b35573a725319a7d61,materialized_for_run336K_attempt_or_block,not_run_in_run336J,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
