control_id,branch_id,target_risk,runner_blueprint,mutation_plan,expected_failure_signature,stop_condition,source_schema,source_sha256,planned_output,execution_phase,expected_result,interpretation_gate,canary_status,mt5_execution_status,selection_use,forward_decision_use,runtime_authority_use,claim_boundary
direction_label_flip_canary,defense_direction_symmetry_negative_control,direction_label_leakage,direction_label_flip_canary_runner,inject_or_assert_direction_label_flip_canary_shortcut_path,shortcut attempt is detected and branch review is blocked,block_candidate_selection_forward_decision_and_runtime_claim,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/negative_control_scaffold_matrix.csv,f9c51ec0e707abf444082a61b2d6e0beb27b927f6d18c2dc05ca12461d21c29c,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_direction_symmetry_negative_control__direction_label_flip_canary_result.csv,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,fail_closed_or_block_result_interpretation,must_pass_before_proxy_or_mt5_result_use,preflight_materialized_pending_run336K_fail_closed_execution,not_run_in_run336J,blocked,blocked,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
promote_m48_plain_canary,offense_m48_plain_density_quality_seed,old_clue_promotion,promote_m48_plain_canary_runner,inject_or_assert_promote_m48_plain_canary_shortcut_path,shortcut attempt is detected and branch review is blocked,block_candidate_selection_forward_decision_and_runtime_claim,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/negative_control_scaffold_matrix.csv,f9c51ec0e707abf444082a61b2d6e0beb27b927f6d18c2dc05ca12461d21c29c,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_m48_plain_density_quality_seed__promote_m48_plain_canary_result.csv,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,fail_closed_or_block_result_interpretation,must_pass_before_proxy_or_mt5_result_use,preflight_materialized_pending_run336K_fail_closed_execution,not_run_in_run336J,blocked,blocked,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
copy_runtime_result_canary,offense_m48_plain_density_quality_seed,runtime_result_copy_overfit,copy_runtime_result_canary_runner,inject_or_assert_copy_runtime_result_canary_shortcut_path,shortcut attempt is detected and branch review is blocked,block_candidate_selection_forward_decision_and_runtime_claim,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/negative_control_scaffold_matrix.csv,f9c51ec0e707abf444082a61b2d6e0beb27b927f6d18c2dc05ca12461d21c29c,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_m48_plain_density_quality_seed__copy_runtime_result_canary_result.csv,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,fail_closed_or_block_result_interpretation,must_pass_before_proxy_or_mt5_result_use,preflight_materialized_pending_run336K_fail_closed_execution,not_run_in_run336J,blocked,blocked,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
entrypoint_copy_canary,runtime_parity_probe_bridge_contract,runtime_entrypoint_identity_drift,entrypoint_copy_canary_runner,inject_or_assert_entrypoint_copy_canary_shortcut_path,shortcut attempt is detected and branch review is blocked,block_candidate_selection_forward_decision_and_runtime_claim,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/negative_control_scaffold_matrix.csv,f9c51ec0e707abf444082a61b2d6e0beb27b927f6d18c2dc05ca12461d21c29c,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/runtime_parity_probe_bridge_contract__entrypoint_copy_canary_result.csv,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,fail_closed_or_block_result_interpretation,must_pass_before_proxy_or_mt5_result_use,preflight_materialized_pending_run336K_fail_closed_execution,not_run_in_run336J,blocked,blocked,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
future_shift_join_canary,cross_branch_data_integrity,lookahead_leakage,future_shift_join_canary_runner,force_future_shift_join_canary_shortcut_attempt,canary detects shortcut and forces not_usable_or_repair_queue,block_positive_or_selection_claim,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/negative_control_scaffold_matrix.csv,f9c51ec0e707abf444082a61b2d6e0beb27b927f6d18c2dc05ca12461d21c29c,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_data_integrity__future_shift_join_canary_result.csv,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,fail_closed_or_block_result_interpretation,must_pass_before_proxy_or_mt5_result_use,preflight_materialized_pending_run336K_fail_closed_execution,not_run_in_run336J,blocked,blocked,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
threshold_lot_freeze_canary,cross_branch_data_integrity,after_result_threshold_or_lot_change,threshold_lot_freeze_canary_runner,force_threshold_lot_freeze_canary_shortcut_attempt,canary detects shortcut and forces not_usable_or_repair_queue,block_positive_or_selection_claim,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/negative_control_scaffold_matrix.csv,f9c51ec0e707abf444082a61b2d6e0beb27b927f6d18c2dc05ca12461d21c29c,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_data_integrity__threshold_lot_freeze_canary_result.csv,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,fail_closed_or_block_result_interpretation,must_pass_before_proxy_or_mt5_result_use,preflight_materialized_pending_run336K_fail_closed_execution,not_run_in_run336J,blocked,blocked,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
old_proxy_rank_canary,repair_proxy_exclusion_handoff_contract,old_proxy_selection_leakage,old_proxy_rank_canary_runner,force_old_proxy_rank_canary_shortcut_attempt,canary detects shortcut and forces not_usable_or_repair_queue,block_positive_or_selection_claim,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/negative_control_scaffold_matrix.csv,f9c51ec0e707abf444082a61b2d6e0beb27b927f6d18c2dc05ca12461d21c29c,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/repair_proxy_exclusion_handoff_contract__old_proxy_rank_canary_result.csv,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,fail_closed_or_block_result_interpretation,must_pass_before_proxy_or_mt5_result_use,preflight_materialized_pending_run336K_fail_closed_execution,not_run_in_run336J,blocked,blocked,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
direct_forward_pocket_filter_canary,defense_cost_curve_underwater_gate,after_result_curve_filtering,direct_forward_pocket_filter_canary_runner,force_direct_forward_pocket_filter_canary_shortcut_attempt,canary detects shortcut and forces not_usable_or_repair_queue,block_positive_or_selection_claim,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/negative_control_scaffold_matrix.csv,f9c51ec0e707abf444082a61b2d6e0beb27b927f6d18c2dc05ca12461d21c29c,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__direct_forward_pocket_filter_canary_result.csv,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,fail_closed_or_block_result_interpretation,must_pass_before_proxy_or_mt5_result_use,preflight_materialized_pending_run336K_fail_closed_execution,not_run_in_run336J,blocked,blocked,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
single_regime_overfit_canary,offense_cost_buffer_feature_interaction_seed,single_slice_overfit,single_regime_overfit_canary_runner,force_single_regime_overfit_canary_shortcut_attempt,canary detects shortcut and forces not_usable_or_repair_queue,block_positive_or_selection_claim,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/negative_control_scaffold_matrix.csv,f9c51ec0e707abf444082a61b2d6e0beb27b927f6d18c2dc05ca12461d21c29c,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_cost_buffer_feature_interaction_seed__single_regime_overfit_canary_result.csv,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,fail_closed_or_block_result_interpretation,must_pass_before_proxy_or_mt5_result_use,preflight_materialized_pending_run336K_fail_closed_execution,not_run_in_run336J,blocked,blocked,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
zero_cost_only_canary,defense_cost_curve_underwater_gate,cost_fragility,zero_cost_only_canary_runner,force_zero_cost_only_canary_shortcut_attempt,canary detects shortcut and forces not_usable_or_repair_queue,block_positive_or_selection_claim,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/negative_control_scaffold_matrix.csv,f9c51ec0e707abf444082a61b2d6e0beb27b927f6d18c2dc05ca12461d21c29c,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/defense_cost_curve_underwater_gate__zero_cost_only_canary_result.csv,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,fail_closed_or_block_result_interpretation,must_pass_before_proxy_or_mt5_result_use,preflight_materialized_pending_run336K_fail_closed_execution,not_run_in_run336J,blocked,blocked,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
