binding_id,artifact_path,artifact_role,must_exist_before_run336K,hash_required,registry_required,current_exists,current_sha256,consumer,can_support_forward_decision,can_support_runtime_authority,claim_boundary
run336J_001,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336J/negative_control_execution_plan.csv,run336J_probe_input_materialization,true,true,true,true,09c21809630e4caaa09af9abc89674ee40c4d25437ed2b7221fc1a1c1d6a239e,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,false,false,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336J_002,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336J/canary_fail_closed_precheck.csv,run336J_probe_input_materialization,true,true,true,true,f10c5e90ff740c36c9a85ed5791ffe9eefed35956c1ab5170497f67a18cf1541,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,false,false,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336J_003,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336J/runtime_identity_preflight_manifest.csv,run336J_probe_input_materialization,true,true,true,true,015642f6c52da5cbfc5159c3a48c586df4898a1904cd77cf9603b433524d1ec9,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,false,false,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336J_004,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336J/row_level_parity_expected_schema.csv,run336J_probe_input_materialization,true,true,true,true,97fd1ae92136ce8c674c8e83cfbe8c6909d74e04b21137dbe5d36564cc7dd698,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,false,false,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336J_005,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336J/external_verification_attempt_log_template.csv,run336J_probe_input_materialization,true,true,true,true,29b60f5851c2ff776f3511f276b35276105a8274872d26fa72f1df0a3df5cea1,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,false,false,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336J_006,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336J/proxy_expected_result_template.csv,run336J_probe_input_materialization,true,true,true,true,46c0538c5ef368626493150419d00a1b9aee2eef932077fc8ac58b665b6012fe,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,false,false,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336J_007,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336J/proxy_expected_source_identity_manifest.json,run336J_probe_input_materialization,true,true,true,true,4e5a59fe2a4aec2e2190a03ba1280141c3df0f47434a4487685c9572913e018e,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,false,false,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336J_008,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336J/mt5_probe_handoff_precheck.csv,run336J_probe_input_materialization,true,true,true,true,5920cf423d199ee77d02adffbcf4798ffc7a0434a990f574924402acfd3a4ccf,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,false,false,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336J_009,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336J/mt5_tester_input_manifest.csv,run336J_probe_input_materialization,true,true,true,true,8096b118407c871fe21266802a2ffd9ad934740aa5f3412feb4c299213f306ea,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,false,false,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336J_010,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336J/mt5_probe_execution_manifest.json,run336J_probe_input_materialization,true,true,true,true,dd5e2d007d215fbcb6d0dcd64628afc9a5907910b76d7f095f1be4053d6031af,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,false,false,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
