plan_source,plan_id,branch_id,gate_or_slice_id,schema_name,required_measurement,bucket_policy,required_metrics,allowed_use,forbidden_use,future_runner_blueprint,future_output_table_name,execution_order,source_schema_sha256,predeclared_use,result_status,mt5_execution_status,claim_boundary
cost_stress,repair_proxy_exclusion_handoff_contract__cost_buffer_gate,repair_proxy_exclusion_handoff_contract,cost_buffer_gate,cost_stress,cost_plus_0_25;cost_plus_0_5;cost_plus_1_0;cost_plus_2_0,,,attribution_and_failure_memory_only,ignore_cost_stress;change_lot_to_hide_cost,cost_buffer_gate_runner,repair_proxy_exclusion_handoff_contract__cost_buffer_gate_table,before_any_branch_comparison,ea20e84d2f0c06c1757683b1206ea4ebd4bf0a35a098e56ef18bcd89e19a7fb4,no_after_result_filtering,pending_run336K_runtime_probe_or_block,not_run_in_run336J,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_stress,defense_cost_curve_underwater_gate__cost_buffer_gate,defense_cost_curve_underwater_gate,cost_buffer_gate,cost_stress,cost_plus_0_25;cost_plus_0_5;cost_plus_1_0;cost_plus_2_0,,,attribution_and_failure_memory_only,ignore_cost_stress;change_lot_to_hide_cost,cost_buffer_gate_runner,defense_cost_curve_underwater_gate__cost_buffer_gate_table,before_any_branch_comparison,ea20e84d2f0c06c1757683b1206ea4ebd4bf0a35a098e56ef18bcd89e19a7fb4,no_after_result_filtering,pending_run336K_runtime_probe_or_block,not_run_in_run336J,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_stress,defense_direction_symmetry_negative_control__cost_buffer_gate,defense_direction_symmetry_negative_control,cost_buffer_gate,cost_stress,cost_plus_0_25;cost_plus_0_5;cost_plus_1_0;cost_plus_2_0,,,attribution_and_failure_memory_only,ignore_cost_stress;change_lot_to_hide_cost,cost_buffer_gate_runner,defense_direction_symmetry_negative_control__cost_buffer_gate_table,before_any_branch_comparison,ea20e84d2f0c06c1757683b1206ea4ebd4bf0a35a098e56ef18bcd89e19a7fb4,no_after_result_filtering,pending_run336K_runtime_probe_or_block,not_run_in_run336J,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_stress,offense_m48_plain_density_quality_seed__cost_buffer_gate,offense_m48_plain_density_quality_seed,cost_buffer_gate,cost_stress,cost_plus_0_25;cost_plus_0_5;cost_plus_1_0;cost_plus_2_0,,,attribution_and_failure_memory_only,ignore_cost_stress;change_lot_to_hide_cost,cost_buffer_gate_runner,offense_m48_plain_density_quality_seed__cost_buffer_gate_table,before_any_branch_comparison,ea20e84d2f0c06c1757683b1206ea4ebd4bf0a35a098e56ef18bcd89e19a7fb4,no_after_result_filtering,pending_run336K_runtime_probe_or_block,not_run_in_run336J,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_stress,offense_cost_buffer_feature_interaction_seed__cost_buffer_gate,offense_cost_buffer_feature_interaction_seed,cost_buffer_gate,cost_stress,cost_plus_0_25;cost_plus_0_5;cost_plus_1_0;cost_plus_2_0,,,attribution_and_failure_memory_only,ignore_cost_stress;change_lot_to_hide_cost,cost_buffer_gate_runner,offense_cost_buffer_feature_interaction_seed__cost_buffer_gate_table,before_any_branch_comparison,ea20e84d2f0c06c1757683b1206ea4ebd4bf0a35a098e56ef18bcd89e19a7fb4,no_after_result_filtering,pending_run336K_runtime_probe_or_block,not_run_in_run336J,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
cost_stress,runtime_parity_probe_bridge_contract__cost_buffer_gate,runtime_parity_probe_bridge_contract,cost_buffer_gate,cost_stress,cost_plus_0_25;cost_plus_0_5;cost_plus_1_0;cost_plus_2_0,,,attribution_and_failure_memory_only,ignore_cost_stress;change_lot_to_hide_cost,cost_buffer_gate_runner,runtime_parity_probe_bridge_contract__cost_buffer_gate_table,before_any_branch_comparison,ea20e84d2f0c06c1757683b1206ea4ebd4bf0a35a098e56ef18bcd89e19a7fb4,no_after_result_filtering,pending_run336K_runtime_probe_or_block,not_run_in_run336J,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
curve_pocket,repair_proxy_exclusion_handoff_contract__curve_pocket_gate,repair_proxy_exclusion_handoff_contract,curve_pocket_gate,curve_pocket,rolling5;rolling10;rolling20;rolling50 worst pocket,,,attribution_and_failure_memory_only,drop_forward_calendar_dates,curve_pocket_gate_runner,repair_proxy_exclusion_handoff_contract__curve_pocket_gate_table,before_any_branch_comparison,f452b01495c14c36749ef9d74098fc3c0bea684b9a7b016be07e4d1c7617e003,no_after_result_filtering,pending_run336K_runtime_probe_or_block,not_run_in_run336J,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
curve_pocket,defense_cost_curve_underwater_gate__curve_pocket_gate,defense_cost_curve_underwater_gate,curve_pocket_gate,curve_pocket,rolling5;rolling10;rolling20;rolling50 worst pocket,,,attribution_and_failure_memory_only,drop_forward_calendar_dates,curve_pocket_gate_runner,defense_cost_curve_underwater_gate__curve_pocket_gate_table,before_any_branch_comparison,f452b01495c14c36749ef9d74098fc3c0bea684b9a7b016be07e4d1c7617e003,no_after_result_filtering,pending_run336K_runtime_probe_or_block,not_run_in_run336J,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
curve_pocket,defense_direction_symmetry_negative_control__curve_pocket_gate,defense_direction_symmetry_negative_control,curve_pocket_gate,curve_pocket,rolling5;rolling10;rolling20;rolling50 worst pocket,,,attribution_and_failure_memory_only,drop_forward_calendar_dates,curve_pocket_gate_runner,defense_direction_symmetry_negative_control__curve_pocket_gate_table,before_any_branch_comparison,f452b01495c14c36749ef9d74098fc3c0bea684b9a7b016be07e4d1c7617e003,no_after_result_filtering,pending_run336K_runtime_probe_or_block,not_run_in_run336J,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
curve_pocket,offense_m48_plain_density_quality_seed__curve_pocket_gate,offense_m48_plain_density_quality_seed,curve_pocket_gate,curve_pocket,rolling5;rolling10;rolling20;rolling50 worst pocket,,,attribution_and_failure_memory_only,drop_forward_calendar_dates,curve_pocket_gate_runner,offense_m48_plain_density_quality_seed__curve_pocket_gate_table,before_any_branch_comparison,f452b01495c14c36749ef9d74098fc3c0bea684b9a7b016be07e4d1c7617e003,no_after_result_filtering,pending_run336K_runtime_probe_or_block,not_run_in_run336J,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
