required_output_id,expected_path,producer_run,consumer_review,must_exist_before_use,hash_required,registry_required,allowed_closeout_if_missing,can_support_forward_decision,can_support_runtime_authority,claim_boundary
negative_control_result.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/negative_control_result.csv,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,run336K_closeout_or_followup_review,true,true,true,blocked_with_exact_attempt_log_only,false,false,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
canary_fail_closed_result.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/canary_fail_closed_result.csv,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,run336K_closeout_or_followup_review,true,true,true,blocked_with_exact_attempt_log_only,false,false,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_expected_result.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/proxy_expected_result.csv,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,run336K_closeout_or_followup_review,true,true,true,blocked_with_exact_attempt_log_only,false,false,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
fresh_mt5_runtime_probe_result.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/fresh_mt5_runtime_probe_result.csv,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,run336K_closeout_or_followup_review,true,true,true,blocked_with_exact_attempt_log_only,false,false,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
mt5_strategy_tester_report.html,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/mt5_strategy_tester_report.html,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,run336K_closeout_or_followup_review,true,true,true,blocked_with_exact_attempt_log_only,false,false,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
mt5_terminal_telemetry.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/mt5_terminal_telemetry.csv,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,run336K_closeout_or_followup_review,true,true,true,blocked_with_exact_attempt_log_only,false,false,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
tester_settings_identity.json,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/tester_settings_identity.json,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,run336K_closeout_or_followup_review,true,true,true,blocked_with_exact_attempt_log_only,false,false,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
row_level_parity_report.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/row_level_parity_report.csv,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,run336K_closeout_or_followup_review,true,true,true,blocked_with_exact_attempt_log_only,false,false,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
proxy_mt5_difference.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/proxy_mt5_difference.csv,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,run336K_closeout_or_followup_review,true,true,true,blocked_with_exact_attempt_log_only,false,false,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
usability_decision.csv,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/usability_decision.csv,run336K_attempt_fresh_mt5_runtime_probe_or_block_v1,run336K_closeout_or_followup_review,true,true,true,blocked_with_exact_attempt_log_only,false,false,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
