package_id,protocol_id,branch_id,branch_name,probe_family,measurement_rows,negative_control_rows,stop_condition_rows,runtime_bridge_rows,proxy_mt5_contract_rows,minimum_outputs_required,forbidden_outputs,payload_path,payload_sha256,package_status,selection_eligible,claim_boundary
run335G_materialize_guarded_branch_probe_inputs_v1__cost_spread_slippage_grid_guard,run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,cost_stress_grid,6,1,6,1,1,"[""probe_input_manifest"", ""measurement_plan"", ""proxy_mt5_comparison_contract"", ""proxy_expected_result_manifest"", ""mt5_runtime_probe_result_or_block"", ""negative_control_plan"", ""stop_condition_plan"", ""runtime_bridge_or_out_of_scope"", ""no_retune_guard""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/probe_input_specs/run335C_b01_cost_spread_slippage_grid_guard.json,e2abf3a2046d4f074cc59c219750a60afd3e7c075e45323d724de22c529ed91c,materialized_probe_input_spec_only,false,research_development_only_stage335G_probe_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335G_materialize_guarded_branch_probe_inputs_v1__curve_noncalendar_state_holdout,run335F_design_guarded_branch_probe_protocols_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,noncalendar_curve_state_holdout,6,1,6,1,1,"[""probe_input_manifest"", ""measurement_plan"", ""proxy_mt5_comparison_contract"", ""proxy_expected_result_manifest"", ""mt5_runtime_probe_result_or_block"", ""negative_control_plan"", ""stop_condition_plan"", ""runtime_bridge_or_out_of_scope"", ""no_retune_guard""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/probe_input_specs/run335C_b02_curve_noncalendar_state_holdout.json,19c83f6a2e06428adda100bc020d85379ccc2f85e4b34f505a33188df0449ee2,materialized_probe_input_spec_only,false,research_development_only_stage335G_probe_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335G_materialize_guarded_branch_probe_inputs_v1__direction_symmetry_no_side_drop,run335F_design_guarded_branch_probe_protocols_v1__direction_symmetry_no_side_drop,run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,direction_symmetry,6,1,6,1,1,"[""probe_input_manifest"", ""measurement_plan"", ""proxy_mt5_comparison_contract"", ""proxy_expected_result_manifest"", ""mt5_runtime_probe_result_or_block"", ""negative_control_plan"", ""stop_condition_plan"", ""runtime_bridge_or_out_of_scope"", ""no_retune_guard""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/probe_input_specs/run335C_b03_direction_symmetry_no_side_drop.json,4acfadbe42706909f8def61c239e5492bb3c81c9ddfeb30988178b0805f11cf8,materialized_probe_input_spec_only,false,research_development_only_stage335G_probe_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335G_materialize_guarded_branch_probe_inputs_v1__drawdown_underwater_recovery_quality,run335F_design_guarded_branch_probe_protocols_v1__drawdown_underwater_recovery_quality,run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,drawdown_path_quality,6,1,6,1,1,"[""probe_input_manifest"", ""measurement_plan"", ""proxy_mt5_comparison_contract"", ""proxy_expected_result_manifest"", ""mt5_runtime_probe_result_or_block"", ""negative_control_plan"", ""stop_condition_plan"", ""runtime_bridge_or_out_of_scope"", ""no_retune_guard""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/probe_input_specs/run335C_b04_drawdown_underwater_recovery_quality.json,703dce86d437d5124501d31659bbb1510af92dcc5137b456433646fc8932d506,materialized_probe_input_spec_only,false,research_development_only_stage335G_probe_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335G_materialize_guarded_branch_probe_inputs_v1__regime_predeclared_macro_state,run335F_design_guarded_branch_probe_protocols_v1__regime_predeclared_macro_state,run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,macro_regime_state,6,1,6,1,1,"[""probe_input_manifest"", ""measurement_plan"", ""proxy_mt5_comparison_contract"", ""proxy_expected_result_manifest"", ""mt5_runtime_probe_result_or_block"", ""negative_control_plan"", ""stop_condition_plan"", ""runtime_bridge_or_out_of_scope"", ""no_retune_guard""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/probe_input_specs/run335C_b05_regime_predeclared_macro_state.json,e690c7e879a7badd742214f095d7505e3e4d6255a3d102fee05f65c7b0ace60c,materialized_probe_input_spec_only,false,research_development_only_stage335G_probe_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335G_materialize_guarded_branch_probe_inputs_v1__runtime_identity_strict_handoff,run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,runtime_identity_gate,6,1,6,5,1,"[""probe_input_manifest"", ""measurement_plan"", ""proxy_mt5_comparison_contract"", ""proxy_expected_result_manifest"", ""mt5_runtime_probe_result_or_block"", ""negative_control_plan"", ""stop_condition_plan"", ""runtime_bridge_or_out_of_scope"", ""no_retune_guard""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/probe_input_specs/run335C_b06_runtime_identity_strict_handoff.json,b901370cf645730940269af592766bb0355d1543bc87cfed323033c8ef8afb52,materialized_probe_input_spec_only,false,research_development_only_stage335G_probe_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335G_materialize_guarded_branch_probe_inputs_v1__cp322a_exact_blocker_control,run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,exact_subject_boundary,6,1,6,5,1,"[""probe_input_manifest"", ""measurement_plan"", ""proxy_mt5_comparison_contract"", ""proxy_expected_result_manifest"", ""mt5_runtime_probe_result_or_block"", ""negative_control_plan"", ""stop_condition_plan"", ""runtime_bridge_or_out_of_scope"", ""no_retune_guard""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/probe_input_specs/run335C_b07_cp322a_exact_blocker_control.json,1cef9ccf5e86723d32a3495df2c04d288f1175681762540d701219ceebb2bdc2,materialized_probe_input_spec_only,false,research_development_only_stage335G_probe_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335G_materialize_guarded_branch_probe_inputs_v1__cost_curve_drawdown_interaction_guard,run335F_design_guarded_branch_probe_protocols_v1__cost_curve_drawdown_interaction_guard,run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction,6,3,6,1,1,"[""probe_input_manifest"", ""measurement_plan"", ""proxy_mt5_comparison_contract"", ""proxy_expected_result_manifest"", ""mt5_runtime_probe_result_or_block"", ""negative_control_plan"", ""stop_condition_plan"", ""runtime_bridge_or_out_of_scope"", ""no_retune_guard""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/probe_input_specs/run335C_b08_cost_curve_drawdown_interaction_guard.json,b97de58ad9ef5ea2d6bf0746581261f04633d28316fb46b343c7ce5a5f8a307a,materialized_probe_input_spec_only,false,research_development_only_stage335G_probe_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335G_materialize_guarded_branch_probe_inputs_v1__regime_direction_interaction_guard,run335F_design_guarded_branch_probe_protocols_v1__regime_direction_interaction_guard,run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,regime_direction_interaction,6,2,6,1,1,"[""probe_input_manifest"", ""measurement_plan"", ""proxy_mt5_comparison_contract"", ""proxy_expected_result_manifest"", ""mt5_runtime_probe_result_or_block"", ""negative_control_plan"", ""stop_condition_plan"", ""runtime_bridge_or_out_of_scope"", ""no_retune_guard""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/probe_input_specs/run335C_b09_regime_direction_interaction_guard.json,fb784e3624b70bf14716f7888a081a441d3936fab9de21e4fd4a58978295d150,materialized_probe_input_spec_only,false,research_development_only_stage335G_probe_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335G_materialize_guarded_branch_probe_inputs_v1__subject_swap_negative_control,run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,subject_swap_negative_control,6,2,6,5,1,"[""probe_input_manifest"", ""measurement_plan"", ""proxy_mt5_comparison_contract"", ""proxy_expected_result_manifest"", ""mt5_runtime_probe_result_or_block"", ""negative_control_plan"", ""stop_condition_plan"", ""runtime_bridge_or_out_of_scope"", ""no_retune_guard""]","[""candidate_signal"", ""threshold_change"", ""lot_change"", ""direct_forward_pocket_filter"", ""runtime_authority_claim"", ""goal_achieve_claim""]",stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/probe_input_specs/run335C_b10_subject_swap_negative_control.json,be9e45ceab6582d9dfacf88328c09f128d62cf7c524af5b79db734abefd8a317,materialized_probe_input_spec_only,false,research_development_only_stage335G_probe_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
