protocol_id,branch_id,branch_name,mt5_runtime_probe_status,mt5_result_available,runtime_bridge_required_rows,required_before,minimum_evidence,blocked_if_later_missing,claim_effect,claim_boundary
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,not_executed_out_of_scope_by_claim_materialization_only,false,0,runtime_or_forward_interpretation_and_proxy_usability_judgment,"[""MT5 tester report"", ""runtime telemetry"", ""set/settings identity"", ""spread/slippage record"", ""subject and handoff identity""]","[""proxy_expected_missing"", ""MT5_runtime_probe_missing_when_runtime_claim_is_needed"", ""difference_unexplained"", ""proxy_positive_but_MT5_risk_shape_negative"", ""MT5_positive_without_matching_subject_or_handoff_identity""]","no runtime probe, no Forward Passed/Failed, no usability positive read in run335G",research_development_only_stage335G_probe_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,not_executed_out_of_scope_by_claim_materialization_only,false,0,runtime_or_forward_interpretation_and_proxy_usability_judgment,"[""MT5 tester report"", ""runtime telemetry"", ""set/settings identity"", ""spread/slippage record"", ""subject and handoff identity""]","[""proxy_expected_missing"", ""MT5_runtime_probe_missing_when_runtime_claim_is_needed"", ""difference_unexplained"", ""proxy_positive_but_MT5_risk_shape_negative"", ""MT5_positive_without_matching_subject_or_handoff_identity""]","no runtime probe, no Forward Passed/Failed, no usability positive read in run335G",research_development_only_stage335G_probe_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__direction_symmetry_no_side_drop,run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,not_executed_out_of_scope_by_claim_materialization_only,false,0,runtime_or_forward_interpretation_and_proxy_usability_judgment,"[""MT5 tester report"", ""runtime telemetry"", ""set/settings identity"", ""spread/slippage record"", ""subject and handoff identity""]","[""proxy_expected_missing"", ""MT5_runtime_probe_missing_when_runtime_claim_is_needed"", ""difference_unexplained"", ""proxy_positive_but_MT5_risk_shape_negative"", ""MT5_positive_without_matching_subject_or_handoff_identity""]","no runtime probe, no Forward Passed/Failed, no usability positive read in run335G",research_development_only_stage335G_probe_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__drawdown_underwater_recovery_quality,run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,not_executed_out_of_scope_by_claim_materialization_only,false,0,runtime_or_forward_interpretation_and_proxy_usability_judgment,"[""MT5 tester report"", ""runtime telemetry"", ""set/settings identity"", ""spread/slippage record"", ""subject and handoff identity""]","[""proxy_expected_missing"", ""MT5_runtime_probe_missing_when_runtime_claim_is_needed"", ""difference_unexplained"", ""proxy_positive_but_MT5_risk_shape_negative"", ""MT5_positive_without_matching_subject_or_handoff_identity""]","no runtime probe, no Forward Passed/Failed, no usability positive read in run335G",research_development_only_stage335G_probe_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__regime_predeclared_macro_state,run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,not_executed_out_of_scope_by_claim_materialization_only,false,0,runtime_or_forward_interpretation_and_proxy_usability_judgment,"[""MT5 tester report"", ""runtime telemetry"", ""set/settings identity"", ""spread/slippage record"", ""subject and handoff identity""]","[""proxy_expected_missing"", ""MT5_runtime_probe_missing_when_runtime_claim_is_needed"", ""difference_unexplained"", ""proxy_positive_but_MT5_risk_shape_negative"", ""MT5_positive_without_matching_subject_or_handoff_identity""]","no runtime probe, no Forward Passed/Failed, no usability positive read in run335G",research_development_only_stage335G_probe_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,not_executed_out_of_scope_by_claim_materialization_only,false,5,runtime_or_forward_interpretation_and_proxy_usability_judgment,"[""MT5 tester report"", ""runtime telemetry"", ""set/settings identity"", ""spread/slippage record"", ""subject and handoff identity""]","[""proxy_expected_missing"", ""MT5_runtime_probe_missing_when_runtime_claim_is_needed"", ""difference_unexplained"", ""proxy_positive_but_MT5_risk_shape_negative"", ""MT5_positive_without_matching_subject_or_handoff_identity""]","no runtime probe, no Forward Passed/Failed, no usability positive read in run335G",research_development_only_stage335G_probe_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,not_executed_out_of_scope_by_claim_materialization_only,false,5,runtime_or_forward_interpretation_and_proxy_usability_judgment,"[""MT5 tester report"", ""runtime telemetry"", ""set/settings identity"", ""spread/slippage record"", ""subject and handoff identity""]","[""proxy_expected_missing"", ""MT5_runtime_probe_missing_when_runtime_claim_is_needed"", ""difference_unexplained"", ""proxy_positive_but_MT5_risk_shape_negative"", ""MT5_positive_without_matching_subject_or_handoff_identity""]","no runtime probe, no Forward Passed/Failed, no usability positive read in run335G",research_development_only_stage335G_probe_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cost_curve_drawdown_interaction_guard,run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,not_executed_out_of_scope_by_claim_materialization_only,false,0,runtime_or_forward_interpretation_and_proxy_usability_judgment,"[""MT5 tester report"", ""runtime telemetry"", ""set/settings identity"", ""spread/slippage record"", ""subject and handoff identity""]","[""proxy_expected_missing"", ""MT5_runtime_probe_missing_when_runtime_claim_is_needed"", ""difference_unexplained"", ""proxy_positive_but_MT5_risk_shape_negative"", ""MT5_positive_without_matching_subject_or_handoff_identity""]","no runtime probe, no Forward Passed/Failed, no usability positive read in run335G",research_development_only_stage335G_probe_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__regime_direction_interaction_guard,run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,not_executed_out_of_scope_by_claim_materialization_only,false,0,runtime_or_forward_interpretation_and_proxy_usability_judgment,"[""MT5 tester report"", ""runtime telemetry"", ""set/settings identity"", ""spread/slippage record"", ""subject and handoff identity""]","[""proxy_expected_missing"", ""MT5_runtime_probe_missing_when_runtime_claim_is_needed"", ""difference_unexplained"", ""proxy_positive_but_MT5_risk_shape_negative"", ""MT5_positive_without_matching_subject_or_handoff_identity""]","no runtime probe, no Forward Passed/Failed, no usability positive read in run335G",research_development_only_stage335G_probe_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,not_executed_out_of_scope_by_claim_materialization_only,false,5,runtime_or_forward_interpretation_and_proxy_usability_judgment,"[""MT5 tester report"", ""runtime telemetry"", ""set/settings identity"", ""spread/slippage record"", ""subject and handoff identity""]","[""proxy_expected_missing"", ""MT5_runtime_probe_missing_when_runtime_claim_is_needed"", ""difference_unexplained"", ""proxy_positive_but_MT5_risk_shape_negative"", ""MT5_positive_without_matching_subject_or_handoff_identity""]","no runtime probe, no Forward Passed/Failed, no usability positive read in run335G",research_development_only_stage335G_probe_input_materialization_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
