review_queue_id,protocol_id,branch_id,branch_name,review_action,required_payload,required_checks,block_if_missing,selection_eligible,next_status_planned
run335H_review_guarded_branch_probe_input_materialization_v1__cost_spread_slippage_grid_guard,run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,review_probe_input_package_and_proxy_mt5_readiness_only,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/probe_input_specs/run335C_b01_cost_spread_slippage_grid_guard.json,"[""payload_exists"", ""measurement_inputs_present"", ""proxy_expected_manifest_present"", ""mt5_runtime_probe_result_or_block_present"", ""proxy_mt5_readiness_not_claimed_usable"", ""negative_controls_present"", ""stop_conditions_present"", ""runtime_bridge_present_or_out_of_scope"", ""no_retune_guard_locked"", ""forbidden_claims_absent""]","payload, proxy expected manifest, MT5 result-or-block, comparison readiness, or no-retune guard",false,review_probe_input_materialization_only_no_candidate_selection
run335H_review_guarded_branch_probe_input_materialization_v1__curve_noncalendar_state_holdout,run335F_design_guarded_branch_probe_protocols_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,review_probe_input_package_and_proxy_mt5_readiness_only,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/probe_input_specs/run335C_b02_curve_noncalendar_state_holdout.json,"[""payload_exists"", ""measurement_inputs_present"", ""proxy_expected_manifest_present"", ""mt5_runtime_probe_result_or_block_present"", ""proxy_mt5_readiness_not_claimed_usable"", ""negative_controls_present"", ""stop_conditions_present"", ""runtime_bridge_present_or_out_of_scope"", ""no_retune_guard_locked"", ""forbidden_claims_absent""]","payload, proxy expected manifest, MT5 result-or-block, comparison readiness, or no-retune guard",false,review_probe_input_materialization_only_no_candidate_selection
run335H_review_guarded_branch_probe_input_materialization_v1__direction_symmetry_no_side_drop,run335F_design_guarded_branch_probe_protocols_v1__direction_symmetry_no_side_drop,run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,review_probe_input_package_and_proxy_mt5_readiness_only,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/probe_input_specs/run335C_b03_direction_symmetry_no_side_drop.json,"[""payload_exists"", ""measurement_inputs_present"", ""proxy_expected_manifest_present"", ""mt5_runtime_probe_result_or_block_present"", ""proxy_mt5_readiness_not_claimed_usable"", ""negative_controls_present"", ""stop_conditions_present"", ""runtime_bridge_present_or_out_of_scope"", ""no_retune_guard_locked"", ""forbidden_claims_absent""]","payload, proxy expected manifest, MT5 result-or-block, comparison readiness, or no-retune guard",false,review_probe_input_materialization_only_no_candidate_selection
run335H_review_guarded_branch_probe_input_materialization_v1__drawdown_underwater_recovery_quality,run335F_design_guarded_branch_probe_protocols_v1__drawdown_underwater_recovery_quality,run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,review_probe_input_package_and_proxy_mt5_readiness_only,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/probe_input_specs/run335C_b04_drawdown_underwater_recovery_quality.json,"[""payload_exists"", ""measurement_inputs_present"", ""proxy_expected_manifest_present"", ""mt5_runtime_probe_result_or_block_present"", ""proxy_mt5_readiness_not_claimed_usable"", ""negative_controls_present"", ""stop_conditions_present"", ""runtime_bridge_present_or_out_of_scope"", ""no_retune_guard_locked"", ""forbidden_claims_absent""]","payload, proxy expected manifest, MT5 result-or-block, comparison readiness, or no-retune guard",false,review_probe_input_materialization_only_no_candidate_selection
run335H_review_guarded_branch_probe_input_materialization_v1__regime_predeclared_macro_state,run335F_design_guarded_branch_probe_protocols_v1__regime_predeclared_macro_state,run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,review_probe_input_package_and_proxy_mt5_readiness_only,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/probe_input_specs/run335C_b05_regime_predeclared_macro_state.json,"[""payload_exists"", ""measurement_inputs_present"", ""proxy_expected_manifest_present"", ""mt5_runtime_probe_result_or_block_present"", ""proxy_mt5_readiness_not_claimed_usable"", ""negative_controls_present"", ""stop_conditions_present"", ""runtime_bridge_present_or_out_of_scope"", ""no_retune_guard_locked"", ""forbidden_claims_absent""]","payload, proxy expected manifest, MT5 result-or-block, comparison readiness, or no-retune guard",false,review_probe_input_materialization_only_no_candidate_selection
run335H_review_guarded_branch_probe_input_materialization_v1__runtime_identity_strict_handoff,run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,review_probe_input_package_and_proxy_mt5_readiness_only,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/probe_input_specs/run335C_b06_runtime_identity_strict_handoff.json,"[""payload_exists"", ""measurement_inputs_present"", ""proxy_expected_manifest_present"", ""mt5_runtime_probe_result_or_block_present"", ""proxy_mt5_readiness_not_claimed_usable"", ""negative_controls_present"", ""stop_conditions_present"", ""runtime_bridge_present_or_out_of_scope"", ""no_retune_guard_locked"", ""forbidden_claims_absent""]","payload, proxy expected manifest, MT5 result-or-block, comparison readiness, or no-retune guard",false,review_probe_input_materialization_only_no_candidate_selection
run335H_review_guarded_branch_probe_input_materialization_v1__cp322a_exact_blocker_control,run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,review_probe_input_package_and_proxy_mt5_readiness_only,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/probe_input_specs/run335C_b07_cp322a_exact_blocker_control.json,"[""payload_exists"", ""measurement_inputs_present"", ""proxy_expected_manifest_present"", ""mt5_runtime_probe_result_or_block_present"", ""proxy_mt5_readiness_not_claimed_usable"", ""negative_controls_present"", ""stop_conditions_present"", ""runtime_bridge_present_or_out_of_scope"", ""no_retune_guard_locked"", ""forbidden_claims_absent""]","payload, proxy expected manifest, MT5 result-or-block, comparison readiness, or no-retune guard",false,review_probe_input_materialization_only_no_candidate_selection
run335H_review_guarded_branch_probe_input_materialization_v1__cost_curve_drawdown_interaction_guard,run335F_design_guarded_branch_probe_protocols_v1__cost_curve_drawdown_interaction_guard,run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,review_probe_input_package_and_proxy_mt5_readiness_only,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/probe_input_specs/run335C_b08_cost_curve_drawdown_interaction_guard.json,"[""payload_exists"", ""measurement_inputs_present"", ""proxy_expected_manifest_present"", ""mt5_runtime_probe_result_or_block_present"", ""proxy_mt5_readiness_not_claimed_usable"", ""negative_controls_present"", ""stop_conditions_present"", ""runtime_bridge_present_or_out_of_scope"", ""no_retune_guard_locked"", ""forbidden_claims_absent""]","payload, proxy expected manifest, MT5 result-or-block, comparison readiness, or no-retune guard",false,review_probe_input_materialization_only_no_candidate_selection
run335H_review_guarded_branch_probe_input_materialization_v1__regime_direction_interaction_guard,run335F_design_guarded_branch_probe_protocols_v1__regime_direction_interaction_guard,run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,review_probe_input_package_and_proxy_mt5_readiness_only,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/probe_input_specs/run335C_b09_regime_direction_interaction_guard.json,"[""payload_exists"", ""measurement_inputs_present"", ""proxy_expected_manifest_present"", ""mt5_runtime_probe_result_or_block_present"", ""proxy_mt5_readiness_not_claimed_usable"", ""negative_controls_present"", ""stop_conditions_present"", ""runtime_bridge_present_or_out_of_scope"", ""no_retune_guard_locked"", ""forbidden_claims_absent""]","payload, proxy expected manifest, MT5 result-or-block, comparison readiness, or no-retune guard",false,review_probe_input_materialization_only_no_candidate_selection
run335H_review_guarded_branch_probe_input_materialization_v1__subject_swap_negative_control,run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,review_probe_input_package_and_proxy_mt5_readiness_only,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/probe_input_specs/run335C_b10_subject_swap_negative_control.json,"[""payload_exists"", ""measurement_inputs_present"", ""proxy_expected_manifest_present"", ""mt5_runtime_probe_result_or_block_present"", ""proxy_mt5_readiness_not_claimed_usable"", ""negative_controls_present"", ""stop_conditions_present"", ""runtime_bridge_present_or_out_of_scope"", ""no_retune_guard_locked"", ""forbidden_claims_absent""]","payload, proxy expected manifest, MT5 result-or-block, comparison readiness, or no-retune guard",false,review_probe_input_materialization_only_no_candidate_selection
