protocol_id,branch_id,branch_name,forbidden_outputs,threshold_policy,lot_policy,direct_forward_pocket_filter_policy,runtime_authority_policy,guard_status,claim_boundary,run335G_status,materialization_effect
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,"[""candidate_signal"", ""direct_forward_pocket_filter"", ""lot_change"", ""runtime_authority_claim"", ""threshold_change""]",unchanged_no_search,unchanged_no_optimization,forbidden,forbidden_without_MT5_tester_report_and_telemetry,locked,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,locked,prevents proxy or MT5 result from becoming a retune instruction
run335F_design_guarded_branch_probe_protocols_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,"[""candidate_signal"", ""direct_forward_pocket_filter"", ""lot_change"", ""runtime_authority_claim"", ""threshold_change""]",unchanged_no_search,unchanged_no_optimization,forbidden,forbidden_without_MT5_tester_report_and_telemetry,locked,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,locked,prevents proxy or MT5 result from becoming a retune instruction
run335F_design_guarded_branch_probe_protocols_v1__direction_symmetry_no_side_drop,run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,"[""candidate_signal"", ""direct_forward_pocket_filter"", ""lot_change"", ""runtime_authority_claim"", ""threshold_change""]",unchanged_no_search,unchanged_no_optimization,forbidden,forbidden_without_MT5_tester_report_and_telemetry,locked,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,locked,prevents proxy or MT5 result from becoming a retune instruction
run335F_design_guarded_branch_probe_protocols_v1__drawdown_underwater_recovery_quality,run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,"[""candidate_signal"", ""direct_forward_pocket_filter"", ""lot_change"", ""runtime_authority_claim"", ""threshold_change""]",unchanged_no_search,unchanged_no_optimization,forbidden,forbidden_without_MT5_tester_report_and_telemetry,locked,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,locked,prevents proxy or MT5 result from becoming a retune instruction
run335F_design_guarded_branch_probe_protocols_v1__regime_predeclared_macro_state,run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,"[""candidate_signal"", ""direct_forward_pocket_filter"", ""lot_change"", ""runtime_authority_claim"", ""threshold_change""]",unchanged_no_search,unchanged_no_optimization,forbidden,forbidden_without_MT5_tester_report_and_telemetry,locked,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,locked,prevents proxy or MT5 result from becoming a retune instruction
run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,"[""candidate_signal"", ""direct_forward_pocket_filter"", ""lot_change"", ""runtime_authority_claim"", ""threshold_change""]",unchanged_no_search,unchanged_no_optimization,forbidden,forbidden_without_MT5_tester_report_and_telemetry,locked,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,locked,prevents proxy or MT5 result from becoming a retune instruction
run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,"[""candidate_signal"", ""direct_forward_pocket_filter"", ""lot_change"", ""runtime_authority_claim"", ""threshold_change""]",unchanged_no_search,unchanged_no_optimization,forbidden,forbidden_without_MT5_tester_report_and_telemetry,locked,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,locked,prevents proxy or MT5 result from becoming a retune instruction
run335F_design_guarded_branch_probe_protocols_v1__cost_curve_drawdown_interaction_guard,run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,"[""candidate_signal"", ""direct_forward_pocket_filter"", ""lot_change"", ""runtime_authority_claim"", ""threshold_change""]",unchanged_no_search,unchanged_no_optimization,forbidden,forbidden_without_MT5_tester_report_and_telemetry,locked,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,locked,prevents proxy or MT5 result from becoming a retune instruction
run335F_design_guarded_branch_probe_protocols_v1__regime_direction_interaction_guard,run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,"[""candidate_signal"", ""direct_forward_pocket_filter"", ""lot_change"", ""runtime_authority_claim"", ""threshold_change""]",unchanged_no_search,unchanged_no_optimization,forbidden,forbidden_without_MT5_tester_report_and_telemetry,locked,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,locked,prevents proxy or MT5 result from becoming a retune instruction
run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,"[""candidate_signal"", ""direct_forward_pocket_filter"", ""lot_change"", ""runtime_authority_claim"", ""threshold_change""]",unchanged_no_search,unchanged_no_optimization,forbidden,forbidden_without_MT5_tester_report_and_telemetry,locked,research_development_only_stage335F_probe_protocol_design_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve,locked,prevents proxy or MT5 result from becoming a retune instruction
