gap_id,protocol_id,branch_id,branch_name,gap_type,gap_status,required_action,claim_effect
run335C_b01_cost_spread_slippage_grid_guard__proxy_expected_numeric_result_missing,run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,proxy_expected_numeric_result_missing,planned_missing_evidence_not_materialization_failure,generate proxy expected values before MT5 comparison interpretation,"no usability claim, no Forward Passed/Failed, no runtime authority"
run335C_b01_cost_spread_slippage_grid_guard__mt5_runtime_probe_result_missing,run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,mt5_runtime_probe_result_missing,planned_missing_evidence_not_materialization_failure,run or explicitly block MT5 runtime probe before usability or forward interpretation,"no usability claim, no Forward Passed/Failed, no runtime authority"
run335C_b02_curve_noncalendar_state_holdout__proxy_expected_numeric_result_missing,run335F_design_guarded_branch_probe_protocols_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,proxy_expected_numeric_result_missing,planned_missing_evidence_not_materialization_failure,generate proxy expected values before MT5 comparison interpretation,"no usability claim, no Forward Passed/Failed, no runtime authority"
run335C_b02_curve_noncalendar_state_holdout__mt5_runtime_probe_result_missing,run335F_design_guarded_branch_probe_protocols_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,mt5_runtime_probe_result_missing,planned_missing_evidence_not_materialization_failure,run or explicitly block MT5 runtime probe before usability or forward interpretation,"no usability claim, no Forward Passed/Failed, no runtime authority"
run335C_b03_direction_symmetry_no_side_drop__proxy_expected_numeric_result_missing,run335F_design_guarded_branch_probe_protocols_v1__direction_symmetry_no_side_drop,run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,proxy_expected_numeric_result_missing,planned_missing_evidence_not_materialization_failure,generate proxy expected values before MT5 comparison interpretation,"no usability claim, no Forward Passed/Failed, no runtime authority"
run335C_b03_direction_symmetry_no_side_drop__mt5_runtime_probe_result_missing,run335F_design_guarded_branch_probe_protocols_v1__direction_symmetry_no_side_drop,run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,mt5_runtime_probe_result_missing,planned_missing_evidence_not_materialization_failure,run or explicitly block MT5 runtime probe before usability or forward interpretation,"no usability claim, no Forward Passed/Failed, no runtime authority"
run335C_b04_drawdown_underwater_recovery_quality__proxy_expected_numeric_result_missing,run335F_design_guarded_branch_probe_protocols_v1__drawdown_underwater_recovery_quality,run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,proxy_expected_numeric_result_missing,planned_missing_evidence_not_materialization_failure,generate proxy expected values before MT5 comparison interpretation,"no usability claim, no Forward Passed/Failed, no runtime authority"
run335C_b04_drawdown_underwater_recovery_quality__mt5_runtime_probe_result_missing,run335F_design_guarded_branch_probe_protocols_v1__drawdown_underwater_recovery_quality,run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,mt5_runtime_probe_result_missing,planned_missing_evidence_not_materialization_failure,run or explicitly block MT5 runtime probe before usability or forward interpretation,"no usability claim, no Forward Passed/Failed, no runtime authority"
run335C_b05_regime_predeclared_macro_state__proxy_expected_numeric_result_missing,run335F_design_guarded_branch_probe_protocols_v1__regime_predeclared_macro_state,run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,proxy_expected_numeric_result_missing,planned_missing_evidence_not_materialization_failure,generate proxy expected values before MT5 comparison interpretation,"no usability claim, no Forward Passed/Failed, no runtime authority"
run335C_b05_regime_predeclared_macro_state__mt5_runtime_probe_result_missing,run335F_design_guarded_branch_probe_protocols_v1__regime_predeclared_macro_state,run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,mt5_runtime_probe_result_missing,planned_missing_evidence_not_materialization_failure,run or explicitly block MT5 runtime probe before usability or forward interpretation,"no usability claim, no Forward Passed/Failed, no runtime authority"
run335C_b06_runtime_identity_strict_handoff__proxy_expected_numeric_result_missing,run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,proxy_expected_numeric_result_missing,planned_missing_evidence_not_materialization_failure,generate proxy expected values before MT5 comparison interpretation,"no usability claim, no Forward Passed/Failed, no runtime authority"
run335C_b06_runtime_identity_strict_handoff__mt5_runtime_probe_result_missing,run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,mt5_runtime_probe_result_missing,planned_missing_evidence_not_materialization_failure,run or explicitly block MT5 runtime probe before usability or forward interpretation,"no usability claim, no Forward Passed/Failed, no runtime authority"
run335C_b07_cp322a_exact_blocker_control__proxy_expected_numeric_result_missing,run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,proxy_expected_numeric_result_missing,planned_missing_evidence_not_materialization_failure,generate proxy expected values before MT5 comparison interpretation,"no usability claim, no Forward Passed/Failed, no runtime authority"
run335C_b07_cp322a_exact_blocker_control__mt5_runtime_probe_result_missing,run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,mt5_runtime_probe_result_missing,planned_missing_evidence_not_materialization_failure,run or explicitly block MT5 runtime probe before usability or forward interpretation,"no usability claim, no Forward Passed/Failed, no runtime authority"
run335C_b08_cost_curve_drawdown_interaction_guard__proxy_expected_numeric_result_missing,run335F_design_guarded_branch_probe_protocols_v1__cost_curve_drawdown_interaction_guard,run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,proxy_expected_numeric_result_missing,planned_missing_evidence_not_materialization_failure,generate proxy expected values before MT5 comparison interpretation,"no usability claim, no Forward Passed/Failed, no runtime authority"
run335C_b08_cost_curve_drawdown_interaction_guard__mt5_runtime_probe_result_missing,run335F_design_guarded_branch_probe_protocols_v1__cost_curve_drawdown_interaction_guard,run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,mt5_runtime_probe_result_missing,planned_missing_evidence_not_materialization_failure,run or explicitly block MT5 runtime probe before usability or forward interpretation,"no usability claim, no Forward Passed/Failed, no runtime authority"
run335C_b09_regime_direction_interaction_guard__proxy_expected_numeric_result_missing,run335F_design_guarded_branch_probe_protocols_v1__regime_direction_interaction_guard,run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,proxy_expected_numeric_result_missing,planned_missing_evidence_not_materialization_failure,generate proxy expected values before MT5 comparison interpretation,"no usability claim, no Forward Passed/Failed, no runtime authority"
