protocol_id,branch_id,branch_name,payload_exists,payload_sha256_match,payload_schema_keys_present,measurement_inputs_present,proxy_expected_manifest_present,mt5_runtime_probe_result_or_block_present,proxy_mt5_readiness_not_claimed_usable,negative_controls_present,stop_conditions_present,runtime_bridge_present_or_out_of_scope,no_retune_guard_locked,queue_selection_ineligible,forbidden_claims_absent,all_checks_passed,review_status,current_usability_judgment,next_action,claim_boundary
run335F_design_guarded_branch_probe_protocols_v1__cost_spread_slippage_grid_guard,run335C_b01_cost_spread_slippage_grid_guard,cost_spread_slippage_grid_guard,true,true,true,true,true,true,true,true,true,true,true,true,true,true,reviewed_ready_for_proxy_mt5_execution_or_block_design,not_usable_yet,run335I_design_proxy_expected_and_mt5_runtime_probe_or_block_v1,research_development_only_stage335H_probe_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__curve_noncalendar_state_holdout,run335C_b02_curve_noncalendar_state_holdout,curve_noncalendar_state_holdout,true,true,true,true,true,true,true,true,true,true,true,true,true,true,reviewed_ready_for_proxy_mt5_execution_or_block_design,not_usable_yet,run335I_design_proxy_expected_and_mt5_runtime_probe_or_block_v1,research_development_only_stage335H_probe_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__direction_symmetry_no_side_drop,run335C_b03_direction_symmetry_no_side_drop,direction_symmetry_no_side_drop,true,true,true,true,true,true,true,true,true,true,true,true,true,true,reviewed_ready_for_proxy_mt5_execution_or_block_design,not_usable_yet,run335I_design_proxy_expected_and_mt5_runtime_probe_or_block_v1,research_development_only_stage335H_probe_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__drawdown_underwater_recovery_quality,run335C_b04_drawdown_underwater_recovery_quality,drawdown_underwater_recovery_quality,true,true,true,true,true,true,true,true,true,true,true,true,true,true,reviewed_ready_for_proxy_mt5_execution_or_block_design,not_usable_yet,run335I_design_proxy_expected_and_mt5_runtime_probe_or_block_v1,research_development_only_stage335H_probe_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__regime_predeclared_macro_state,run335C_b05_regime_predeclared_macro_state,regime_predeclared_macro_state,true,true,true,true,true,true,true,true,true,true,true,true,true,true,reviewed_ready_for_proxy_mt5_execution_or_block_design,not_usable_yet,run335I_design_proxy_expected_and_mt5_runtime_probe_or_block_v1,research_development_only_stage335H_probe_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__runtime_identity_strict_handoff,run335C_b06_runtime_identity_strict_handoff,runtime_identity_strict_handoff,true,true,true,true,true,true,true,true,true,true,true,true,true,true,reviewed_ready_for_proxy_mt5_execution_or_block_design,not_usable_yet,run335I_design_proxy_expected_and_mt5_runtime_probe_or_block_v1,research_development_only_stage335H_probe_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cp322a_exact_blocker_control,run335C_b07_cp322a_exact_blocker_control,cp322a_exact_blocker_control,true,true,true,true,true,true,true,true,true,true,true,true,true,true,reviewed_ready_for_proxy_mt5_execution_or_block_design,not_usable_yet,run335I_design_proxy_expected_and_mt5_runtime_probe_or_block_v1,research_development_only_stage335H_probe_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__cost_curve_drawdown_interaction_guard,run335C_b08_cost_curve_drawdown_interaction_guard,cost_curve_drawdown_interaction_guard,true,true,true,true,true,true,true,true,true,true,true,true,true,true,reviewed_ready_for_proxy_mt5_execution_or_block_design,not_usable_yet,run335I_design_proxy_expected_and_mt5_runtime_probe_or_block_v1,research_development_only_stage335H_probe_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__regime_direction_interaction_guard,run335C_b09_regime_direction_interaction_guard,regime_direction_interaction_guard,true,true,true,true,true,true,true,true,true,true,true,true,true,true,reviewed_ready_for_proxy_mt5_execution_or_block_design,not_usable_yet,run335I_design_proxy_expected_and_mt5_runtime_probe_or_block_v1,research_development_only_stage335H_probe_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run335F_design_guarded_branch_probe_protocols_v1__subject_swap_negative_control,run335C_b10_subject_swap_negative_control,subject_swap_negative_control,true,true,true,true,true,true,true,true,true,true,true,true,true,true,reviewed_ready_for_proxy_mt5_execution_or_block_design,not_usable_yet,run335I_design_proxy_expected_and_mt5_runtime_probe_or_block_v1,research_development_only_stage335H_probe_input_review_no_model_training_no_threshold_retuning_no_lot_optimization_no_direct_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
