gate,status,evidence_path,detail
parent_materialization_loaded,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/probe_input_package_manifest.csv,packages=11;parent_failed_gates=0
scope_completion_gate,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335H/probe_input_review_matrix.csv,review_rows=11;failed_reviews=0
payload_schema_audit,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335H/payload_schema_audit.csv,schema_rows=11;failed_schema=0
proxy_expected_schema_review,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335H/proxy_expected_readiness_review.csv,proxy_rows=11;failed_proxy=0
mt5_runtime_result_or_block_review,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335H/mt5_runtime_result_or_block_review.csv,mt5_rows=11;failed_mt5=0
proxy_mt5_usability_guard,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335H/proxy_mt5_usability_review.csv,usability_rows=11;failed_usability=0;all_not_usable_yet=true
external_evidence_gap_recorded,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335H/proxy_mt5_evidence_gap_register.csv,gap_rows=22;expected=22
kpi_contract_audit,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/measurement_input_manifest.csv,measurement_rows=66;expected=66
runtime_bridge_boundary_review,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335G/runtime_bridge_input_manifest.csv,runtime_bridge_rows=27;expected=27
forbidden_claim_guard,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335H/forbidden_claim_review.csv,failed_forbidden=0
required_gate_coverage_audit,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335H/run335I_proxy_mt5_execution_or_block_design_queue.csv,next_queue_rows=11;expected=11
skill_receipt_lint,passed,stages/335_overfit_guard__failure_memory_constrained_research_handoff/02_runs/run335H/run_evidence_system_receipt.json,"run evidence, data integrity, runtime parity, artifact lineage, result judgment, and claim discipline receipts emitted"
